,creation,namespace,nova_aa,aa_original,id_estante,id_aplicada
0,2021-06-22,colegioup,164109,159220,,164109.0
1,2021-06-22,integradaeducativa,164151,164139,,164151.0
2,2021-06-22,integradaeducativa,164152,164151,,164152.0
3,2021-06-22,maplebearslz,164193,163446,,164193.0
4,2021-06-22,ceespacolivre,164209,160209,,164209.0
5,2021-06-22,colegiobatistaindependente,164217,99474,,
6,2021-06-22,colegioup,164221,163677,,164221.0
7,2021-06-22,poliedro,164235,162919,,
8,2021-06-22,poliedro,164241,162965,,
9,2021-06-22,poliedro,164242,163000,,
10,2021-06-22,poliedro,164246,163645,,
11,2021-06-22,colegiobatistaindependente,164257,158324,,
12,2021-06-22,colegioup,164261,163679,,164261.0
13,2021-06-22,colegiobatistaindependente,164266,164058,,
14,2021-06-22,teste,164268,63430,,
15,2021-06-22,colegioup,164276,162578,,164276.0
16,2021-06-22,provaspoliedro,164281,164234,,164281.0
17,2021-06-22,colegioup,164284,160282,,164284.0
18,2021-06-22,colegioup,164293,162992,,164293.0
19,2021-06-22,colegiofuturageracao,164294,152760,,164294.0
20,2021-06-22,colegioup,164301,160283,,164301.0
21,2021-06-22,qescola,164302,160108,,
22,2021-06-22,sasadapt,164310,164309,,164310.0
23,2021-06-22,colegioup,164313,155866,,164313.0
24,2021-06-22,colegioup,164315,161512,,164315.0
25,2021-06-22,ceespacolivre,164316,160432,,164316.0
26,2021-06-22,colegioup,164323,161657,,164323.0
27,2021-06-22,stellamarisxaxim,164326,164203,,164326.0
28,2021-06-22,qescola,164329,150460,,
29,2021-06-22,qescola,164332,160092,,
30,2021-06-22,porto,164334,163404,,164334.0
31,2021-06-22,spdacruz,164338,164328,,164338.0
32,2021-06-22,stellamarisxaxim,164339,164213,,164339.0
33,2021-06-22,escolamaster,164342,162645,,
34,2021-06-22,psantagema,164343,48586,,
35,2021-06-22,colegioup,164348,163026,,164348.0
36,2021-06-22,stellamarisxaxim,164352,164245,,164352.0
37,2021-06-22,colegioup,164353,162791,,164353.0
38,2021-06-22,psantagema,164358,164346,,
39,2021-06-22,psantagema,164368,164346,,164368.0
40,2021-06-22,psantagema,164369,164052,,164369.0
41,2021-06-22,crb,164371,159891,,164371.0
42,2021-06-22,colegioup,164372,163030,,164372.0
43,2021-06-22,ceespacolivre,164374,160410,,164374.0
44,2021-06-22,pioxi,164375,159213,,164375.0
45,2021-06-22,pioxi,164376,159216,,164376.0
46,2021-06-22,ceespacolivre,164377,160399,,164377.0
47,2021-06-22,colegiojoaopaulo,164378,164355,,164378.0
48,2021-06-22,pioxi,164379,159196,,164379.0
49,2021-06-22,qescola,164381,164263,,
50,2021-06-22,pioxi,164384,159183,,164384.0
51,2021-06-22,stellamarisxaxim,164390,164230,,164390.0
52,2021-06-22,provaspoliedro,164391,164383,,164391.0
53,2021-06-22,colegioup,164394,162829,,164394.0
54,2021-06-22,stellamarisxaxim,164398,164222,,164398.0
55,2021-06-22,colegioup,164428,164411,,164428.0
56,2021-06-22,provaspoliedro,164447,164366,,164447.0
57,2021-06-22,colegioup,164468,164441,,164468.0
58,2021-06-22,qescola,164487,160092,,
59,2021-06-22,overabelcabral,164492,164481,,164492.0
60,2021-06-22,villalobos,164496,155452,,164496.0
61,2021-06-22,magister,164503,152949,,164503.0
62,2021-06-22,porto,164505,163483,,164505.0
63,2021-06-22,escolaceciliameireles,164529,158110,,
64,2021-06-22,crb,164532,159861,,164532.0
65,2021-06-22,spdacruz,164552,164521,,164552.0
66,2021-06-22,colegioup,164554,164543,,164554.0
67,2021-06-22,crb,164557,157520,,164557.0
68,2021-06-22,master,164566,160537,,164566.0
69,2021-06-22,overabelcabral,164567,107883,,164567.0
70,2021-06-22,spdacruz,164582,164580,,164582.0
71,2021-06-22,integra,164587,162523,,164587.0
72,2021-06-22,crb,164588,159843,,164588.0
73,2021-06-22,crb,164597,159831,,164597.0
74,2021-06-22,stellamarisjuveve,164598,163923,,164598.0
75,2021-06-22,spdacruz,164600,164599,,164600.0
76,2021-06-22,crb,164607,159855,,164607.0
77,2021-06-22,crb,164609,159882,,164609.0
78,2021-06-22,master,164610,160687,,164610.0
79,2021-06-22,master,164613,160615,,164613.0
80,2021-06-22,nucleocriativo,164616,160998,,164616.0
81,2021-06-22,crb,164621,159957,,164621.0
82,2021-06-22,overjoaopessoa,164623,162612,,
83,2021-06-22,master,164627,160504,,164627.0
84,2021-06-22,crb,164636,159872,,164636.0
85,2021-06-22,crb,164647,159883,,164647.0
86,2021-06-22,colegiobatistaindependente,164650,164257,,
87,2021-06-22,porto,164653,153105,,
88,2021-06-22,porto,164654,160356,,
89,2021-06-22,overmossoro,164660,139079,,
90,2021-06-22,overmossoro,164667,161035,,
91,2021-06-22,porto,164668,153081,,
92,2021-06-22,porto,164669,145791,,
93,2021-06-22,overmossoro,164674,161035,,164674.0
94,2021-06-22,crb,164679,157522,,164679.0
95,2021-06-22,overmossoro,164680,160443,,164680.0
96,2021-06-22,crb,164684,160029,,164684.0
97,2021-06-22,porto,164687,160326,,
98,2021-06-22,porto,164688,153096,,
99,2021-06-22,porto,164689,145858,,
0,2021-06-23,institutocristao,164707,162068,,164707.0
1,2021-06-23,colegioup,164708,161474,,164708.0
2,2021-06-23,institutocristao,164713,158670,,164713.0
3,2021-06-23,institutocristao,164714,159256,,164714.0
4,2021-06-23,institutocristao,164715,160463,,164715.0
5,2021-06-23,institutocristao,164717,158468,,164717.0
6,2021-06-23,colegiobatistaindependente,164719,163324,,
7,2021-06-23,colegiobatistaindependente,164720,163324,,
8,2021-06-23,integradaeducativa,164728,162257,,164728.0
9,2021-06-23,colegiobatistaindependente,164733,164071,,
10,2021-06-23,integradaeducativa,164742,162259,,164742.0
11,2021-06-23,colegioglobal,164756,161036,,
12,2021-06-23,maplebearslz,164774,164772,,
13,2021-06-23,maplebearslz,164775,164774,,
14,2021-06-23,maplebearslz,164776,164774,,
15,2021-06-23,crb,164793,159974,,164793.0
16,2021-06-23,casdinhosjc,164801,164797,,
17,2021-06-23,integradaeducativa,164802,162257,,164802.0
18,2021-06-23,integradaeducativa,164803,164742,,164803.0
19,2021-06-23,integradaeducativa,164804,162258,,164804.0
20,2021-06-23,integradaeducativa,164805,162258,,164805.0
21,2021-06-23,institutocristao,164808,158534,,164808.0
22,2021-06-23,institutocristao,164812,158545,,164812.0
23,2021-06-23,colegioup,164824,164816,,164824.0
24,2021-06-23,sas,164829,156055,,164829.0
25,2021-06-23,sas,164830,156794,,164830.0
26,2021-06-23,sas,164832,150376,,164832.0
27,2021-06-23,sas,164831,156805,,164831.0
28,2021-06-23,colegioup,164839,164826,,164839.0
29,2021-06-23,faculdadeflamingo,164850,156058,,164850.0
30,2021-06-23,crb,164880,159866,,164880.0
31,2021-06-23,acessosantafelicidade,164917,164916,,164917.0
32,2021-06-23,master,164921,161364,,164921.0
33,2021-06-23,acessosantafelicidade,164928,164920,,164928.0
34,2021-06-23,provaspoliedro,164941,163579,,164941.0
35,2021-06-23,colegioup,164946,160297,,164946.0
36,2021-06-23,colegioup,164950,160929,,164950.0
37,2021-06-23,acessoboqueirao,164956,164955,,164956.0
38,2021-06-23,eccos,164960,164959,,164960.0
39,2021-06-23,ceespacolivre,164967,157864,,164967.0
40,2021-06-23,qescola,164986,160003,,
41,2021-06-23,spdacruz,164989,42255,,164989.0
42,2021-06-23,colegioup,164990,156488,,164990.0
43,2021-06-23,spdacruz,164994,164989,,164994.0
44,2021-06-23,spdacruz,164998,42328,,164998.0
45,2021-06-23,spdacruz,165005,43228,,165005.0
46,2021-06-23,colegioplanck,165010,163658,,165010.0
47,2021-06-23,colegioup,165018,163546,,165018.0
48,2021-06-23,colegioplanck,165020,163658,,165020.0
49,2021-06-23,colegioup,165029,159315,,165029.0
50,2021-06-23,colegioup,165053,163563,,165053.0
51,2021-06-23,porto,165057,164980,,165057.0
52,2021-06-23,colegioiguatemy,165058,162105,,
53,2021-06-23,colegioiguatemy,165059,152833,,165059.0
54,2021-06-23,integradaeducativa,165063,162260,,165063.0
55,2021-06-23,integradaeducativa,165064,165063,,165064.0
56,2021-06-23,mariliamattoso,165072,165071,,165072.0
57,2021-06-23,master,165074,162367,,165074.0
58,2021-06-23,crb,165098,159863,,165098.0
59,2021-06-23,overabelcabral,165101,161420,,
60,2021-06-23,acessohauer,165104,163822,,165104.0
61,2021-06-23,crb,165106,159867,,165106.0
62,2021-06-23,institutocristao,165107,156519,,165107.0
63,2021-06-23,progressaoig,165113,165112,,
64,2021-06-23,universobarcarena,165125,142761,,165125.0
65,2021-06-23,colegiobetelbrasileirosp,165162,147794,,165162.0
66,2021-06-23,colegiobetelbrasileirosp,165168,147805,,165168.0
67,2021-06-23,crb,165170,159959,,165170.0
68,2021-06-23,physicsumarizal,165176,144798,,
69,2021-06-23,colegionovopatio,165179,155517,,165179.0
70,2021-06-23,colegiobatistaindependente,165221,165212,,165221.0
0,2021-06-24,crb,165252,159833,,165252.0
1,2021-06-24,crb,165255,159848,,165255.0
2,2021-06-24,mariliamattoso,165273,165272,,165273.0
3,2021-06-24,colegiobetelbrasileirosp,165297,147400,,165297.0
4,2021-06-24,porto,165305,165303,,165305.0
5,2021-06-24,porto,165306,165303,,165306.0
6,2021-06-24,porto,165307,165303,,165307.0
7,2021-06-24,porto,165313,165311,,165313.0
8,2021-06-24,porto,165315,165313,,165315.0
9,2021-06-24,porto,165316,165315,,165316.0
10,2021-06-24,spdacruz,165328,164989,,165328.0
11,2021-06-24,spdacruz,165329,165328,,165329.0
12,2021-06-24,spdacruz,165331,164998,,165331.0
13,2021-06-24,spdacruz,165332,165005,,165332.0
14,2021-06-24,colegioeducallis,165344,164596,,
15,2021-06-24,psantagema,165374,165264,,
16,2021-06-24,qescola,165417,165337,,165417.0
17,2021-06-24,qescola,165418,165337,,165418.0
18,2021-06-24,qescola,165419,165337,,165419.0
19,2021-06-24,qescola,165420,165337,,165420.0
20,2021-06-24,qescola,165421,165337,,165421.0
21,2021-06-24,qescola,165422,165346,,165422.0
22,2021-06-24,qescola,165428,165346,,165428.0
23,2021-06-24,qescola,165423,165346,,165423.0
24,2021-06-24,qescola,165425,165346,,165425.0
25,2021-06-24,qescola,165426,165346,,165426.0
26,2021-06-24,qescola,165427,165346,,165427.0
27,2021-06-24,qescola,165429,165352,,165429.0
28,2021-06-24,qescola,165430,165352,,165430.0
29,2021-06-24,qescola,165431,165352,,165431.0
30,2021-06-24,qescola,165432,165352,,165432.0
31,2021-06-24,qescola,165433,165352,,165433.0
32,2021-06-24,qescola,165434,165352,,165434.0
33,2021-06-24,qescola,165435,165355,,165435.0
34,2021-06-24,qescola,165436,165355,,165436.0
35,2021-06-24,qescola,165437,165380,,165437.0
36,2021-06-24,qescola,165438,165380,,165438.0
37,2021-06-24,qescola,165439,165380,,165439.0
38,2021-06-24,maplebearslz,165455,155336,,165455.0
39,2021-06-24,maplebearslz,165458,155384,,165458.0
40,2021-06-24,colegiobrasilia,165459,161517,,165459.0
41,2021-06-24,stellamarisjuveve,165460,165341,,165460.0
42,2021-06-24,stellamarisjuveve,165464,165339,,165464.0
43,2021-06-24,physicsumarizal,165465,144809,,165465.0
44,2021-06-24,stellamarisjuveve,165467,165336,,165467.0
45,2021-06-24,stellamarisjuveve,165468,165338,,165468.0
46,2021-06-24,colegiobrasilia,165477,165476,,
47,2021-06-24,aescobjetivo,165492,129512,,165492.0
48,2021-06-24,colegiobrasilia,165495,161253,,165495.0
49,2021-06-24,porto,165497,153889,,165497.0
50,2021-06-24,physicsconselheirofurtado,165502,165388,,165502.0
51,2021-06-24,master,165503,163986,,165503.0
52,2021-06-24,master,165506,161705,,165506.0
53,2021-06-24,master,165509,164566,,165509.0
54,2021-06-24,master,165510,160537,,165510.0
55,2021-06-24,colegiobetelbrasileirosp,165562,147403,,165562.0
56,2021-06-24,prismapatrocinio,165563,165556,,165563.0
57,2021-06-24,colegiobetelbrasileirosp,165573,147420,,165573.0
58,2021-06-24,qescola,165597,165512,,165597.0
59,2021-06-24,qescola,165598,165512,,165598.0
60,2021-06-24,qescola,165599,165512,,165599.0
61,2021-06-24,qescola,165600,165512,,165600.0
62,2021-06-24,qescola,165601,165539,,165601.0
63,2021-06-24,qescola,165602,165539,,165602.0
64,2021-06-24,qescola,165603,165539,,165603.0
65,2021-06-24,qescola,165604,165539,,165604.0
66,2021-06-24,qescola,165605,165539,,165605.0
67,2021-06-24,qescola,165606,165539,,165606.0
68,2021-06-24,qescola,165607,165528,,165607.0
69,2021-06-24,qescola,165608,165528,,165608.0
70,2021-06-24,qescola,165609,165528,,
71,2021-06-24,qescola,165610,165528,,165610.0
72,2021-06-24,qescola,165611,165528,,165611.0
73,2021-06-24,qescola,165612,165528,,165612.0
74,2021-06-24,qescola,165616,165514,,165616.0
75,2021-06-24,qescola,165613,165514,,165613.0
76,2021-06-24,qescola,165614,165514,,165614.0
77,2021-06-24,qescola,165615,165514,,165615.0
78,2021-06-24,qescola,165617,165524,,165617.0
79,2021-06-24,qescola,165618,165524,,165618.0
80,2021-06-24,qescola,165619,165524,,165619.0
81,2021-06-24,qescola,165620,165524,,165620.0
82,2021-06-24,qescola,165621,165524,,165621.0
83,2021-06-24,qescola,165622,165524,,165622.0
84,2021-06-24,qescola,165623,165535,,165623.0
85,2021-06-24,qescola,165624,165535,,165624.0
86,2021-06-24,qescola,165625,165535,,165625.0
87,2021-06-24,qescola,165626,165535,,
88,2021-06-24,qescola,165627,165535,,165627.0
89,2021-06-24,qescola,165628,165535,,165628.0
90,2021-06-24,qescola,165629,165554,,165629.0
91,2021-06-24,qescola,165630,165554,,165630.0
92,2021-06-24,qescola,165631,165554,,165631.0
93,2021-06-24,qescola,165632,165554,,165632.0
94,2021-06-24,qescola,165633,165545,,165633.0
95,2021-06-24,qescola,165634,165545,,165634.0
96,2021-06-24,qescola,165635,165545,,165635.0
97,2021-06-24,qescola,165636,165545,,165636.0
98,2021-06-24,qescola,165637,165545,,165637.0
99,2021-06-24,qescola,165638,165545,,165638.0
100,2021-06-24,qescola,165639,165572,,165639.0
101,2021-06-24,qescola,165640,165572,,165640.0
102,2021-06-24,qescola,165641,165572,,165641.0
103,2021-06-24,qescola,165642,165572,,
104,2021-06-24,qescola,165643,165572,,165643.0
105,2021-06-24,qescola,165644,165572,,165644.0
106,2021-06-24,qescola,165645,165521,,165645.0
107,2021-06-24,qescola,165646,165521,,165646.0
108,2021-06-24,qescola,165647,165521,,165647.0
109,2021-06-24,qescola,165648,165521,,165648.0
110,2021-06-24,qescola,165649,165540,,165649.0
111,2021-06-24,qescola,165650,165540,,165650.0
112,2021-06-24,qescola,165651,165540,,165651.0
113,2021-06-24,qescola,165652,165540,,165652.0
114,2021-06-24,qescola,165653,165540,,165653.0
115,2021-06-24,qescola,165654,165540,,
116,2021-06-24,qescola,165655,165538,,165655.0
117,2021-06-24,qescola,165656,165538,,165656.0
118,2021-06-24,qescola,165657,165538,,165657.0
119,2021-06-24,qescola,165658,165538,,
