,namespace,grade,gerados
1015,sas,0,404.0
1068,testevictorhugo,em 1a serie,150.0
92,aescobjetivo,em 1a serie,120.0
93,aescobjetivo,em 2a serie,108.0
1011,santoamerico,em 3a serie,90.0
573,equipe,0,88.0
1009,santoamerico,em 1a serie,45.0
687,master,ef 9o ano,15.833333333333334
685,master,ef 7o ano,8.0
684,master,ef 6o ano,7.68
984,qescola,ef 6o ano,5.0
991,rede,ef 9o ano,2.5
681,master,ef 3o ano,0.8333333333333334
728,objetivoteresina,0,0.0
751,overlimaesilva,ef 1o ano,0.0
729,oficinadoestudante,outro,0.0
730,osequim,0,0.0
731,overabelcabral,0,0.0
749,overjoaopessoa,outro,0.0
732,overabelcabral,ef 1o ano,0.0
733,overabelcabral,ef 2o ano,0.0
734,overabelcabral,ef 3o ano,0.0
750,overlimaesilva,0,0.0
727,objetivolorena,outro,0.0
735,overabelcabral,ef 4o ano,0.0
746,overjoaopessoa,em 1a serie,0.0
736,overabelcabral,ef 5o ano,0.0
748,overjoaopessoa,em 3a serie,0.0
737,overabelcabral,ef 6o ano,0.0
725,objetivolorena,em 2a serie,0.0
738,overabelcabral,ef 7o ano,0.0
747,overjoaopessoa,em 2a serie,0.0
739,overabelcabral,ef 8o ano,0.0
740,overabelcabral,ef 9o ano,0.0
741,overabelcabral,em 1a serie,0.0
742,overabelcabral,em 2a serie,0.0
743,overabelcabral,em 3a serie,0.0
744,overjoaopessoa,0,0.0
745,overjoaopessoa,ef 9o ano,0.0
726,objetivolorena,em 3a serie,0.0
721,objetivolorena,ef 7o ano,0.0
724,objetivolorena,em 1a serie,0.0
707,nucleocriativo,ef 2o ano,0.0
693,minhalista,0,0.0
694,minhalista,outro,0.0
695,moaciralves,ef 8o ano,0.0
696,moaciralves,ef 9o ano,0.0
697,montessori,em 1a serie,0.0
698,montessori,em 2a serie,0.0
699,montessori,em 3a serie,0.0
700,murilorocha,0,0.0
701,navegasas,ef 5o ano,0.0
702,novotempo,ef 9o ano,0.0
703,novotempo,em 1a serie,0.0
704,novotempo,em 2a serie,0.0
705,novotempo,em 3a serie,0.0
706,nucleocriativo,ef 1o ano,0.0
708,nucleocriativo,ef 3o ano,0.0
723,objetivolorena,ef 9o ano,0.0
709,nucleocriativo,ef 4o ano,0.0
710,nucleocriativo,ef 5o ano,0.0
711,nucleocriativo,ef 6o ano,0.0
712,nucleocriativo,ef 7o ano,0.0
713,nucleocriativo,ef 8o ano,0.0
714,nucleocriativo,ef 9o ano,0.0
715,nucleocriativo,em 1a serie,0.0
716,nucleopva,0,0.0
717,objetivolorena,0,0.0
718,objetivolorena,ef 4o ano,0.0
719,objetivolorena,ef 5o ano,0.0
720,objetivolorena,ef 6o ano,0.0
753,overlimaesilva,ef 3o ano,0.0
722,objetivolorena,ef 8o ano,0.0
752,overlimaesilva,ef 2o ano,0.0
754,overlimaesilva,ef 4o ano,0.0
691,master,outro,0.0
799,overzonanorte,ef 7o ano,0.0
805,overzonanorte,outro,0.0
804,overzonanorte,em 3a serie,0.0
803,overzonanorte,em 2a serie,0.0
802,overzonanorte,em 1a serie,0.0
801,overzonanorte,ef 9o ano,0.0
800,overzonanorte,ef 8o ano,0.0
798,overzonanorte,ef 6o ano,0.0
807,pearson,em 3a serie,0.0
797,overzonanorte,ef 5o ano,0.0
796,overzonanorte,ef 4o ano,0.0
795,overzonanorte,ef 3o ano,0.0
794,overzonanorte,ef 2o ano,0.0
793,overzonanorte,ef 1o ano,0.0
792,overzonanorte,0,0.0
806,pauloviana,ef 9o ano,0.0
808,pesenglish,0,0.0
790,overpontanegra,em 2a serie,0.0
817,physicsalmirantebarroso,ef 4o ano,0.0
823,physicsalmirantebarroso,em 1a serie,0.0
822,physicsalmirantebarroso,ef 9o ano,0.0
821,physicsalmirantebarroso,ef 8o ano,0.0
820,physicsalmirantebarroso,ef 7o ano,0.0
819,physicsalmirantebarroso,ef 6o ano,0.0
818,physicsalmirantebarroso,ef 5o ano,0.0
816,physicsalmirantebarroso,ef 3o ano,0.0
809,physicsalcindocacela,0,0.0
815,physicsalmirantebarroso,ef 2o ano,0.0
814,physicsalcindocacela,outro,0.0
813,physicsalcindocacela,em 3a serie,0.0
812,physicsalcindocacela,em 2a serie,0.0
811,physicsalcindocacela,em 1a serie,0.0
810,physicsalcindocacela,ef 9o ano,0.0
791,overpontanegra,em 3a serie,0.0
789,overpontanegra,em 1a serie,0.0
755,overlimaesilva,ef 5o ano,0.0
763,overmarciliofurtado,em 3a serie,0.0
769,overmossoro,ef 6o ano,0.0
768,overmossoro,ef 5o ano,0.0
767,overmossoro,ef 4o ano,0.0
766,overmossoro,ef 2o ano,0.0
765,overmossoro,ef 1o ano,0.0
764,overmossoro,0,0.0
762,overmarciliofurtado,em 2a serie,0.0
771,overmossoro,ef 8o ano,0.0
761,overmarciliofurtado,em 1a serie,0.0
760,overmarciliofurtado,ef 9o ano,0.0
759,overmarciliofurtado,ef 8o ano,0.0
758,overmarciliofurtado,ef 7o ano,0.0
757,overmarciliofurtado,ef 6o ano,0.0
756,overmarciliofurtado,0,0.0
770,overmossoro,ef 7o ano,0.0
772,overmossoro,ef 9o ano,0.0
788,overpontanegra,ef 9o ano,0.0
781,overpontanegra,ef 2o ano,0.0
787,overpontanegra,ef 8o ano,0.0
786,overpontanegra,ef 7o ano,0.0
785,overpontanegra,ef 6o ano,0.0
784,overpontanegra,ef 5o ano,0.0
783,overpontanegra,ef 4o ano,0.0
782,overpontanegra,ef 3o ano,0.0
780,overpontanegra,ef 1o ano,0.0
773,overmossoro,em 1a serie,0.0
779,overpontanegra,0,0.0
778,overnascimentodecastro,outro,0.0
777,overnascimentodecastro,0,0.0
776,overmossoro,outro,0.0
775,overmossoro,em 3a serie,0.0
774,overmossoro,em 2a serie,0.0
692,meta,0,0.0
0,acessoalmirantetamandare,ef 2o ano,0.0
690,master,em 3a serie,0.0
603,institutocristao,ef 7o ano,0.0
589,francobrasileiro,em 3a serie,0.0
590,fundacaobradesco,0,0.0
591,galois,0,0.0
592,garra,0,0.0
593,gerabixo,outro,0.0
594,idaam,em 3a serie,0.0
595,implantacao,outro,0.0
596,insa,em 1a serie,0.0
597,insa,em 2a serie,0.0
598,insa,em 3a serie,0.0
599,institutoauxiliadoradf,em 1a serie,0.0
600,institutoauxiliadoradf,em 2a serie,0.0
601,institutoauxiliadoradf,em 3a serie,0.0
602,institutocristao,ef 6o ano,0.0
604,institutocristao,ef 9o ano,0.0
620,integradaeducativa,ef 6o ano,0.0
605,institutocristao,em 2a serie,0.0
606,institutocristao,em 3a serie,0.0
607,institutoeurofarma,outro,0.0
608,institutosaojose,em 1a serie,0.0
609,institutosaojose,em 2a serie,0.0
610,institutosaojose,em 3a serie,0.0
611,integra,ef 1o ano,0.0
612,integra,ef 2o ano,0.0
613,integra,ef 3o ano,0.0
614,integra,ef 4o ano,0.0
615,integra,ef 5o ano,0.0
616,integra,ef 6o ano,0.0
617,integra,ef 7o ano,0.0
618,integra,ef 8o ano,0.0
588,fleming,0,0.0
587,faculdadeflamingo,outro,0.0
586,faculdadeflamingo,0,0.0
585,estantemagica,outro,0.0
555,educandarioterciocorreia,ef 7o ano,0.0
556,educandarioterciocorreia,ef 8o ano,0.0
557,educandarioterciocorreia,ef 9o ano,0.0
558,educarse,outro,0.0
559,eduqo,0,0.0
560,einsteinassis,ef 6o ano,0.0
561,einsteinassis,ef 7o ano,0.0
562,einsteinassis,ef 8o ano,0.0
563,einsteinassis,ef 9o ano,0.0
564,einsteinassis,em 1a serie,0.0
565,einsteinassis,em 2a serie,0.0
566,einsteinassis,em 3a serie,0.0
567,elitecuritibaemilianoperneta,em 1a serie,0.0
568,elitecuritibaemilianoperneta,em 2a serie,0.0
569,elitecuritibaemilianoperneta,em 3a serie,0.0
570,elitecuritibaemilianoperneta,outro,0.0
571,eluneonline,0,0.0
572,eluneonline,em 1a serie,0.0
574,escola,ef 4o ano,0.0
575,escolaceciliameireles,ef 2o ano,0.0
576,escolaceciliameireles,ef 3o ano,0.0
577,escolaceciliameireles,ef 4o ano,0.0
578,escolaceciliameireles,ef 5o ano,0.0
579,escolaceciliameireles,ef 6o ano,0.0
580,escoladeimpacto,0,0.0
581,escolamaster,em 1a serie,0.0
582,escolamaster,em 2a serie,0.0
583,escolamaster,em 3a serie,0.0
584,esperanza,0,0.0
619,integradaeducativa,0,0.0
621,integradaeducativa,ef 7o ano,0.0
689,master,em 2a serie,0.0
670,mariliamattoso,0,0.0
656,magister,ef 5o ano,0.0
657,magister,outro,0.0
658,maplebearslz,0,0.0
659,maplebearslz,ef 2o ano,0.0
660,maplebearslz,ef 3o ano,0.0
661,maplebearslz,ef 4o ano,0.0
662,maplebearslz,ef 5o ano,0.0
663,maplebearslz,ef 6o ano,0.0
664,maplebearslz,ef 7o ano,0.0
665,maplebearslz,ef 8o ano,0.0
666,maplebearslz,ef 9o ano,0.0
667,maplebearslz,em 1a serie,0.0
668,maplebearslz,em 2a serie,0.0
669,maplebearslz,outro,0.0
671,mariliamattoso,ef 5o ano,0.0
622,integradaeducativa,ef 8o ano,0.0
672,mariliamattoso,ef 6o ano,0.0
673,mariliamattoso,ef 7o ano,0.0
674,mariliamattoso,ef 8o ano,0.0
675,mariliamattoso,ef 9o ano,0.0
676,mariliamattoso,em 1a serie,0.0
677,mariliamattoso,em 2a serie,0.0
678,mariliamattoso,em 3a serie,0.0
679,master,ef 1o ano,0.0
680,master,ef 2o ano,0.0
682,master,ef 4o ano,0.0
683,master,ef 5o ano,0.0
825,physicsalmirantebarroso,em 3a serie,0.0
686,master,ef 8o ano,0.0
688,master,em 1a serie,0.0
655,magister,ef 4o ano,0.0
654,magister,ef 3o ano,0.0
653,magister,0,0.0
652,macvest,outro,0.0
