,namespace,grade,Porcentagem de exercícios de AAs em relatórios de AD
0,aescobjetivo,em 2a serie,0.21
1,sas,0,0.29
2,master,ef 9o ano,0.11
3,santoamerico,em 3a serie,0.08
4,aescobjetivo,em 1a serie,0.46
5,master,ef 7o ano,0.11
6,master,ef 6o ano,0.1
7,santoamerico,em 1a serie,0.04
8,testevictorhugo,em 1a serie,1.0
9,equipe,0,1.0
10,master,ef 3o ano,0.01
11,qescola,ef 6o ano,0.23
12,rede,ef 9o ano,0.5
13,overjoaopessoa,0,0.0
14,overabelcabral,em 3a serie,0.0
15,objetivolorena,outro,0.0
16,objetivoteresina,0,0.0
17,overlimaesilva,ef 1o ano,0.0
18,oficinadoestudante,outro,0.0
19,osequim,0,0.0
20,overabelcabral,0,0.0
21,overabelcabral,ef 1o ano,0.0
22,overabelcabral,ef 2o ano,0.0
23,overabelcabral,ef 3o ano,0.0
24,overlimaesilva,0,0.0
25,overabelcabral,ef 4o ano,0.0
26,overjoaopessoa,outro,0.0
27,overjoaopessoa,ef 9o ano,0.0
28,overabelcabral,ef 5o ano,0.0
29,overjoaopessoa,em 3a serie,0.0
30,overjoaopessoa,em 2a serie,0.0
31,overabelcabral,ef 6o ano,0.0
32,objetivolorena,em 2a serie,0.0
33,overabelcabral,ef 7o ano,0.0
34,overjoaopessoa,em 1a serie,0.0
35,overabelcabral,ef 8o ano,0.0
36,overabelcabral,ef 9o ano,0.0
37,overabelcabral,em 1a serie,0.0
38,overabelcabral,em 2a serie,0.0
39,objetivolorena,em 3a serie,0.0
40,objetivolorena,ef 7o ano,0.0
41,objetivolorena,em 1a serie,0.0
42,nucleocriativo,ef 2o ano,0.0
43,minhalista,0,0.0
44,minhalista,outro,0.0
45,moaciralves,ef 8o ano,0.0
46,moaciralves,ef 9o ano,0.0
47,montessori,em 1a serie,0.0
48,montessori,em 2a serie,0.0
49,montessori,em 3a serie,0.0
50,murilorocha,0,0.0
51,navegasas,ef 5o ano,0.0
52,novotempo,ef 9o ano,0.0
53,novotempo,em 1a serie,0.0
54,novotempo,em 2a serie,0.0
55,novotempo,em 3a serie,0.0
56,nucleocriativo,ef 1o ano,0.0
57,nucleocriativo,ef 3o ano,0.0
58,objetivolorena,ef 9o ano,0.0
59,nucleocriativo,ef 4o ano,0.0
60,nucleocriativo,ef 5o ano,0.0
61,nucleocriativo,ef 6o ano,0.0
62,nucleocriativo,ef 7o ano,0.0
63,nucleocriativo,ef 8o ano,0.0
64,nucleocriativo,ef 9o ano,0.0
65,nucleocriativo,em 1a serie,0.0
66,nucleopva,0,0.0
67,objetivolorena,0,0.0
68,objetivolorena,ef 4o ano,0.0
69,objetivolorena,ef 5o ano,0.0
70,objetivolorena,ef 6o ano,0.0
71,overlimaesilva,ef 3o ano,0.0
72,objetivolorena,ef 8o ano,0.0
73,overlimaesilva,ef 2o ano,0.0
74,overlimaesilva,ef 4o ano,0.0
75,master,outro,0.0
76,overzonanorte,ef 7o ano,0.0
77,overzonanorte,outro,0.0
78,overzonanorte,em 3a serie,0.0
79,overzonanorte,em 2a serie,0.0
80,overzonanorte,em 1a serie,0.0
81,overzonanorte,ef 9o ano,0.0
82,overzonanorte,ef 8o ano,0.0
83,overzonanorte,ef 6o ano,0.0
