,namespace,grade,Porcentagem de visualização dos relatórios de AD por alunos
0,colegiocb,ef 3o ano,0.7327586206896551
1,colegioplanck,ef 8o ano,0.4
2,colegioplanck,ef 6o ano,0.2777777777777778
3,colegioplanck,ef 9o ano,0.2727272727272727
4,colegioplanck,em 1a serie,0.25
5,santoamerico,em 1a serie,0.2076923076923077
6,santoamerico,outro,0.14619883040935672
7,master,ef 7o ano,0.125
8,sas,infantil iv,0.11904761904761904
9,santoamerico,em 2a serie,0.11320754716981132
10,dommga,em 3a serie,0.10526315789473684
11,santoamerico,em 3a serie,0.1
12,master,ef 6o ano,0.09726027397260274
13,master,outro,0.09613869188337273
14,francobrasileiro,em 3a serie,0.09523809523809523
15,colegioplanck,ef 7o ano,0.09090909090909091
16,master,ef 9o ano,0.07977207977207977
17,master,ef 5o ano,0.07295173961840627
18,master,ef 8o ano,0.07196029776674938
19,magister,ef 3o ano,0.06329113924050633
20,master,em 2a serie,0.060810810810810814
21,master,em 1a serie,0.05904059040590406
22,master,ef 2o ano,0.05714285714285714
23,aescobjetivo,em 3a serie,0.05357142857142857
24,master,ef 1o ano,0.05232558139534884
25,aescobjetivo,em 1a serie,0.05161290322580645
26,aescobjetivo,em 2a serie,0.0480225988700565
27,master,ef 4o ano,0.04753086419753086
28,magister,ef 5o ano,0.045454545454545456
29,aescobjetivo,ef 9o ano,0.0425531914893617
30,testevictorhugo,em 1a serie,0.03333333333333333
31,porto,em 1a serie,0.025362318840579712
32,magister,ef 4o ano,0.011627906976744186
33,colegiomundial,ef 6o ano,0.009174311926605505
34,physicsalmirantebarroso,ef 9o ano,0.008620689655172414
35,jardimsaopaulo,em 1a serie,0.0
36,saberviver,ef 5o ano,0.0
37,qescola,ef 2o ano,0.0
38,qescola,ef 6o ano,0.0
39,qescola,em 1a serie,0.0
40,qescola,em 3a serie,0.0
41,qescola,infantil iv,0.0
42,qescola,outro,0.0
43,rede,ef 9o ano,0.0
44,saberviver,ef 4o ano,0.0
45,santoamerico,ef 1o ano,0.0
46,jardimsaopaulo,infantil iv,0.0
47,colegiodompedrosegundo,outro,0.0
48,colegiodompedrosegundo,em 3a serie,0.0
49,colegiodompedrosegundo,em 2a serie,0.0
50,colegiodompedrosegundo,em 1a serie,0.0
51,sas,em 1a serie,0.0
52,sas,em 3a serie,0.0
53,beityaacov,em 3a serie,0.0
54,testevictorhugo,ef 7o ano,0.0
55,equipe,ef 7o ano,0.0
56,physicscidadenova,ef 9o ano,0.0
57,physicscidadenova,ef 8o ano,0.0
58,equipe,infantil iv,0.0
59,colegioplanck,outro,0.0
60,colegionovageracao,ef 5o ano,0.0
61,colegionovageracao,ef 4o ano,0.0
62,colegionovageracao,ef 3o ano,0.0
63,colegionovageracao,ef 2o ano,0.0
64,master,ef 3o ano,0.0
65,colegiomundial,outro,0.0
66,colegiomundial,em 3a serie,0.0
67,colegiomundial,em 2a serie,0.0
68,colegiomundial,em 1a serie,0.0
69,colegiomundial,ef 9o ano,0.0
70,colegiomundial,ef 8o ano,0.0
71,colegiomundial,ef 7o ano,0.0
72,jardimsaopaulo,ef 7o ano,0.0
73,master,em 3a serie,0.0
74,colegiomundial,ef 5o ano,0.0
75,physicsalmirantebarroso,ef 8o ano,0.0
76,equipe,em 1a serie,0.0
