,namespace,Porcentagem de exercícios de AAs em relatórios de AD,Média de exercícios em relatórios de AD por turma,Nº de AAs aplicadas da estante,Porcentagem de AAs com classificação de habilidades iniciada,Porcentagem de AAs com classificação de habilidades finalizada,Porcentagem de AAs com classificação de habilidades finalizada (ao menos foi iniciada),Porcentagem de visualização dos relatórios de AD por alunos,Porcentagem de professores que visualizaram relatórios de AD,Porcentagem de administradores que visualizaram relatórios de AD
0,aescobjetivo,0.1,32.142857142857146,0.0,0.0095238095238095,0.0,0.0,0.029157667386609,0.0377358490566037,0.2631578947368421
1,master,0.02,2.8,0.0,0.0081967213114754,0.0,0.0,0.0739429695181907,0.0114942528735632,0.086021505376344
2,santoamerico,0.02,8.059701492537313,0.0,0.0,0.0,0.0,0.1453488372093023,0.0283018867924528,0.1428571428571428
3,sas,0.29,202.0,0.0,0.0,0.0,0.0,0.0185185185185185,0.0,0.1111111111111111
4,testevictorhugo,1.0,30.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0
5,equipe,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
6,qescola,0.01,0.2127659574468085,0.0,0.0,0.0,0.0,0.0,0.0068337129840546,0.0
7,rede,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,acessoalmirantetamandare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1034482758620689
9,moaciralves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,murilorocha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,montessori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,meta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,minhalista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,novotempo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089285714285714
15,mariliamattoso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0
16,maplebearslz,0.0,0.0,0.0,0.0211267605633802,0.0,0.0,0.0,0.0,0.0
17,navegasas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,nucleopva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,nucleocriativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,macvest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,objetivolorena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,objetivoteresina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,oficinadoestudante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,osequim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,overabelcabral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333
26,overjoaopessoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652
27,overlimaesilva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,overmarciliofurtado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,overmossoro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,overnascimentodecastro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,overpontanegra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,magister,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0714285714285714,0.1875
33,joaobelem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,litteratus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,institutoauxiliadoradf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,faculdadeflamingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,fleming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,francobrasileiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,0.25
39,fundacaobradesco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,galois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,garra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,gerabixo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,idaam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,implantacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,insa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,institutocristao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,lasalleaguasclaras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,institutoeurofarma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
49,institutosaojose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,integra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,integradaeducativa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,invictus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,iracemarufino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,isem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,itamarati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,jazzvestibular,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,pauloviana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,overzonanorte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,physicsalmirantebarroso,0.0,0.0,0.0,0.0,0.0,0.0,0.0086206896551724,0.0,0.1111111111111111
60,pearson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,provaspoliedro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,qescola.qmagico.com.br,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,saberviver,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
64,saea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,sagradafamilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,santadoroteia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,santamariacn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,santoantonio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,sasadapt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,sasadaptem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,seletivoeducallis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,simbios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,simuladoita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,sobral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,souhabilis,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,1.0,0.0,0.0,0.1428571428571428
76,spdacruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1111111111111111
77,stellamarisaguaverde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0454545454545454
78,stellamarisjuveve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0350877192982456,0.1052631578947368
79,stellamarisxaxim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0
80,studos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,universitariolondrina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423728813559322,0.0816326530612244
82,universobarcarena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,villalobos,0.0,0.0,0.0,0.0224719101123595,0.0,0.0,0.0,0.0,0.0
84,vitae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,psantagema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,progressaoig,0.0,0.0,0.0,0.0087719298245614,0.0,0.0,0.0,0.0,0.0
87,pesenglish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,progressaodc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,physicsalcindocacela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153846153846153
90,esperanza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,physicsaugustomontenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266666666666666,0.0
92,physicsbatistacampos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,physicscidadenova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106382978723404,0.15625
94,physicsconselheirofurtado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153846153846153
95,physicsmacapa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565217391304
96,physicsumarizal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
97,pioxi,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
98,pioxiicolegio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,plannetaosasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,plannetataboao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,poliedro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,poliedropv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,poliedrotreinamento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,portinari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.1111111111111111
105,porto,0.0,0.0,0.0,0.1157024793388429,0.0495867768595041,0.4285714285714285,0.0253623188405797,0.0147058823529411,0.75
106,portoseguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,positivoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,prevest,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,primeirodemaio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,prismapatrocinio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,profederal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,estantemagica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
