,namespace,gerados
205,sas,202.0
108,equipe,88.0
10,aescobjetivo,32.142857142857146
218,testevictorhugo,30.0
203,santoamerico,8.059701492537313
143,master,2.8
197,rede,2.5
195,qescola,0.2127659574468085
0,acessoalmirantetamandare,0.0
146,moaciralves,0.0
148,murilorocha,0.0
147,montessori,0.0
144,meta,0.0
145,minhalista,0.0
150,novotempo,0.0
142,mariliamattoso,0.0
141,maplebearslz,0.0
149,navegasas,0.0
152,nucleopva,0.0
151,nucleocriativo,0.0
139,macvest,0.0
153,objetivolorena,0.0
154,objetivoteresina,0.0
155,oficinadoestudante,0.0
156,osequim,0.0
157,overabelcabral,0.0
158,overjoaopessoa,0.0
159,overlimaesilva,0.0
160,overmarciliofurtado,0.0
161,overmossoro,0.0
162,overnascimentodecastro,0.0
163,overpontanegra,0.0
140,magister,0.0
136,joaobelem,0.0
138,litteratus,0.0
125,institutoauxiliadoradf,0.0
115,faculdadeflamingo,0.0
116,fleming,0.0
117,francobrasileiro,0.0
118,fundacaobradesco,0.0
119,galois,0.0
120,garra,0.0
121,gerabixo,0.0
122,idaam,0.0
123,implantacao,0.0
124,insa,0.0
126,institutocristao,0.0
137,lasalleaguasclaras,0.0
127,institutoeurofarma,0.0
128,institutosaojose,0.0
129,integra,0.0
130,integradaeducativa,0.0
131,invictus,0.0
132,iracemarufino,0.0
133,isem,0.0
134,itamarati,0.0
135,jazzvestibular,0.0
165,pauloviana,0.0
164,overzonanorte,0.0
169,physicsalmirantebarroso,0.0
166,pearson,0.0
193,provaspoliedro,0.0
196,qescola.qmagico.com.br,0.0
198,saberviver,0.0
199,saea,0.0
200,sagradafamilia,0.0
201,santadoroteia,0.0
202,santamariacn,0.0
204,santoantonio,0.0
206,sasadapt,0.0
207,sasadaptem,0.0
208,seletivoeducallis,0.0
209,simbios,0.0
210,simuladoita,0.0
211,sobral,0.0
212,souhabilis,0.0
213,spdacruz,0.0
214,stellamarisaguaverde,0.0
215,stellamarisjuveve,0.0
216,stellamarisxaxim,0.0
217,studos,0.0
219,universitariolondrina,0.0
220,universobarcarena,0.0
221,villalobos,0.0
222,vitae,0.0
194,psantagema,0.0
192,progressaoig,0.0
167,pesenglish,0.0
191,progressaodc,0.0
168,physicsalcindocacela,0.0
113,esperanza,0.0
170,physicsaugustomontenegro,0.0
171,physicsbatistacampos,0.0
172,physicscidadenova,0.0
173,physicsconselheirofurtado,0.0
174,physicsmacapa,0.0
175,physicsumarizal,0.0
176,pioxi,0.0
177,pioxiicolegio,0.0
178,plannetaosasco,0.0
179,plannetataboao,0.0
180,poliedro,0.0
181,poliedropv,0.0
182,poliedrotreinamento,0.0
183,portinari,0.0
184,porto,0.0
185,portoseguro,0.0
186,positivoon,0.0
187,prevest,0.0
188,primeirodemaio,0.0
189,prismapatrocinio,0.0
190,profederal,0.0
114,estantemagica,0.0
112,escolamaster,0.0
1,acessoboqueirao,0.0
42,colegiobatistaindependente,0.0
31,cem,0.0
32,ceprimeiromundo,0.0
33,charlesdarwin,0.0
34,ciadosaber,0.0
35,cmdpii,0.0
36,cnslpb,0.0
37,cognitivo,0.0
38,colegioalphaunis,0.0
39,colegioanchietai,0.0
40,colegioanchietaii,0.0
41,colegioarena,0.0
43,colegiobetelbrasileirosp,0.0
29,cecbdf,0.0
44,colegiobianguloiv,0.0
45,colegiobilac,0.0
46,colegiobrasilia,0.0
47,colegiocb,0.0
48,colegiocognos,0.0
49,colegiodasamericas,0.0
50,colegiodompedrosegundo,0.0
51,colegioeag,0.0
52,colegioecursodesafio,0.0
53,colegioecursoprogressao,0.0
54,colegioeducallis,0.0
30,ceespacolivre,0.0
28,ceabb,0.0
111,escoladeimpacto,0.0
14,amaisteste,0.0
2,acessocampolargo,0.0
3,acessocampolargokids,0.0
4,acessofazendariogrande,0.0
5,acessohauer,0.0
6,acessopinhais,0.0
7,acessosantafelicidade,0.0
8,acessosjpinhais,0.0
9,adrianochan,0.0
11,alfacembilingue,0.0
12,amadeus,0.0
13,amais,0.0
15,anchietaba,0.0
27,cbpdigital,0.0
16,apogeustoantonio2,0.0
17,aprovest,0.0
18,arlindocavalcanti,0.0
19,beityaacov,0.0
20,bertelsmann,0.0
21,brasilcursinhos,0.0
22,camerinocursos,0.0
23,casdinhosjc,0.0
24,casdvest,0.0
25,castelobruxo,0.0
26,cats,0.0
55,colegioensitec,0.0
56,colegioflamingo,0.0
57,colegiofuturageracao,0.0
97,dommga,0.0
86,crb,0.0
87,crescercampinas,0.0
88,cursinhoeach,0.0
89,cursobase,0.0
90,cursoenfase,0.0
91,cursoisfera,0.0
92,cursoleopoldo,0.0
93,cursoprogressao,0.0
94,cursosazambuja,0.0
95,dante,0.0
96,deltaeducacional,0.0
98,domus,0.0
58,colegioglobal,0.0
99,eacorcovado,0.0
100,eccos,0.0
101,educamais,0.0
102,educandarioterciocorreia,0.0
103,educarse,0.0
104,eduqo,0.0
105,einsteinassis,0.0
106,elitecuritibaemilianoperneta,0.0
107,eluneonline,0.0
109,escola,0.0
110,escolaceciliameireles,0.0
85,cparaiso,0.0
84,contemporaneolagoanova,0.0
83,contemporaneocidadeverde,0.0
82,contemporaneo,0.0
59,colegioguilhermedealmeida,0.0
60,colegioiguatemy,0.0
61,colegiointegral,0.0
62,colegiojoaopaulo,0.0
63,colegioliceu,0.0
64,colegiomagnum,0.0
65,colegiomodelo,0.0
66,colegiomundial,0.0
67,colegionobre,0.0
68,colegionovageracao,0.0
69,colegionovopatio,0.0
70,colegioplanck,0.0
71,colegiopremium,0.0
72,colegioprogresso,0.0
73,colegioradar,0.0
74,colegioriobranco,0.0
75,colegiosantamaria,0.0
76,colegioser,0.0
77,colegiosete,0.0
78,colegiouirapuru,0.0
79,colegiouniverso,0.0
80,colegioup,0.0
81,conexaosaber,0.0
223,wilsondeandradebarreto,0.0
