,namespace,Porcentagem de exercícios de AAs em relatórios de AD
0,aescobjetivo,0.1
1,master,0.02
2,santoamerico,0.02
3,sas,0.29
4,testevictorhugo,1.0
5,equipe,1.0
6,qescola,0.01
7,rede,0.5
8,acessoalmirantetamandare,0.0
9,moaciralves,0.0
10,murilorocha,0.0
11,montessori,0.0
12,meta,0.0
13,minhalista,0.0
14,novotempo,0.0
15,mariliamattoso,0.0
16,maplebearslz,0.0
17,navegasas,0.0
18,nucleopva,0.0
19,nucleocriativo,0.0
20,macvest,0.0
21,objetivolorena,0.0
22,objetivoteresina,0.0
23,oficinadoestudante,0.0
24,osequim,0.0
25,overabelcabral,0.0
26,overjoaopessoa,0.0
27,overlimaesilva,0.0
28,overmarciliofurtado,0.0
29,overmossoro,0.0
30,overnascimentodecastro,0.0
31,overpontanegra,0.0
32,magister,0.0
33,joaobelem,0.0
34,litteratus,0.0
35,institutoauxiliadoradf,0.0
36,faculdadeflamingo,0.0
37,fleming,0.0
38,francobrasileiro,0.0
39,fundacaobradesco,0.0
40,galois,0.0
41,garra,0.0
42,gerabixo,0.0
43,idaam,0.0
44,implantacao,0.0
45,insa,0.0
46,institutocristao,0.0
47,lasalleaguasclaras,0.0
48,institutoeurofarma,0.0
49,institutosaojose,0.0
50,integra,0.0
51,integradaeducativa,0.0
52,invictus,0.0
53,iracemarufino,0.0
54,isem,0.0
55,itamarati,0.0
56,jazzvestibular,0.0
57,pauloviana,0.0
58,overzonanorte,0.0
59,physicsalmirantebarroso,0.0
60,pearson,0.0
61,provaspoliedro,0.0
62,qescola.qmagico.com.br,0.0
63,saberviver,0.0
64,saea,0.0
65,sagradafamilia,0.0
66,santadoroteia,0.0
67,santamariacn,0.0
68,santoantonio,0.0
69,sasadapt,0.0
70,sasadaptem,0.0
71,seletivoeducallis,0.0
72,simbios,0.0
73,simuladoita,0.0
74,sobral,0.0
75,souhabilis,0.0
76,spdacruz,0.0
77,stellamarisaguaverde,0.0
78,stellamarisjuveve,0.0
79,stellamarisxaxim,0.0
80,studos,0.0
81,universitariolondrina,0.0
82,universobarcarena,0.0
83,villalobos,0.0
84,vitae,0.0
85,psantagema,0.0
86,progressaoig,0.0
87,pesenglish,0.0
88,progressaodc,0.0
89,physicsalcindocacela,0.0
90,esperanza,0.0
91,physicsaugustomontenegro,0.0
92,physicsbatistacampos,0.0
93,physicscidadenova,0.0
94,physicsconselheirofurtado,0.0
95,physicsmacapa,0.0
96,physicsumarizal,0.0
97,pioxi,0.0
98,pioxiicolegio,0.0
99,plannetaosasco,0.0
100,plannetataboao,0.0
101,poliedro,0.0
102,poliedropv,0.0
103,poliedrotreinamento,0.0
104,portinari,0.0
105,porto,0.0
106,portoseguro,0.0
107,positivoon,0.0
108,prevest,0.0
109,primeirodemaio,0.0
110,prismapatrocinio,0.0
111,profederal,0.0
112,estantemagica,0.0
113,escolamaster,0.0
114,acessoboqueirao,0.0
115,colegiobatistaindependente,0.0
116,cem,0.0
117,ceprimeiromundo,0.0
118,charlesdarwin,0.0
119,ciadosaber,0.0
120,cmdpii,0.0
121,cnslpb,0.0
122,cognitivo,0.0
123,colegioalphaunis,0.0
124,colegioanchietai,0.0
125,colegioanchietaii,0.0
126,colegioarena,0.0
127,colegiobetelbrasileirosp,0.0
128,cecbdf,0.0
129,colegiobianguloiv,0.0
130,colegiobilac,0.0
131,colegiobrasilia,0.0
132,colegiocb,0.0
133,colegiocognos,0.0
134,colegiodasamericas,0.0
135,colegiodompedrosegundo,0.0
136,colegioeag,0.0
137,colegioecursodesafio,0.0
138,colegioecursoprogressao,0.0
139,colegioeducallis,0.0
140,ceespacolivre,0.0
141,ceabb,0.0
142,escoladeimpacto,0.0
143,amaisteste,0.0
144,acessocampolargo,0.0
145,acessocampolargokids,0.0
146,acessofazendariogrande,0.0
147,acessohauer,0.0
148,acessopinhais,0.0
149,acessosantafelicidade,0.0
150,acessosjpinhais,0.0
151,adrianochan,0.0
152,alfacembilingue,0.0
153,amadeus,0.0
154,amais,0.0
155,anchietaba,0.0
156,cbpdigital,0.0
157,apogeustoantonio2,0.0
158,aprovest,0.0
159,arlindocavalcanti,0.0
160,beityaacov,0.0
161,bertelsmann,0.0
162,brasilcursinhos,0.0
163,camerinocursos,0.0
164,casdinhosjc,0.0
165,casdvest,0.0
166,castelobruxo,0.0
167,cats,0.0
168,colegioensitec,0.0
169,colegioflamingo,0.0
170,colegiofuturageracao,0.0
171,dommga,0.0
172,crb,0.0
173,crescercampinas,0.0
174,cursinhoeach,0.0
175,cursobase,0.0
176,cursoenfase,0.0
177,cursoisfera,0.0
178,cursoleopoldo,0.0
179,cursoprogressao,0.0
180,cursosazambuja,0.0
181,dante,0.0
182,deltaeducacional,0.0
183,domus,0.0
184,colegioglobal,0.0
185,eacorcovado,0.0
186,eccos,0.0
187,educamais,0.0
188,educandarioterciocorreia,0.0
189,educarse,0.0
190,eduqo,0.0
191,einsteinassis,0.0
192,elitecuritibaemilianoperneta,0.0
193,eluneonline,0.0
194,escola,0.0
195,escolaceciliameireles,0.0
196,cparaiso,0.0
197,contemporaneolagoanova,0.0
198,contemporaneocidadeverde,0.0
199,contemporaneo,0.0
200,colegioguilhermedealmeida,0.0
201,colegioiguatemy,0.0
202,colegiointegral,0.0
203,colegiojoaopaulo,0.0
204,colegioliceu,0.0
205,colegiomagnum,0.0
206,colegiomodelo,0.0
207,colegiomundial,0.0
208,colegionobre,0.0
209,colegionovageracao,0.0
210,colegionovopatio,0.0
211,colegioplanck,0.0
212,colegiopremium,0.0
213,colegioprogresso,0.0
214,colegioradar,0.0
215,colegioriobranco,0.0
216,colegiosantamaria,0.0
217,colegioser,0.0
218,colegiosete,0.0
219,colegiouirapuru,0.0
220,colegiouniverso,0.0
221,colegioup,0.0
222,conexaosaber,0.0
223,wilsondeandradebarreto,0.0
