,namespace,Unnamed: 0,Porcentagem de administradores que visualizaram relatórios de AD
0,dommga,1,1.0
1,porto,4,0.75
2,beityaacov,3,0.6666666666666666
3,jardimsaopaulo,3,0.6666666666666666
4,colegiocb,4,0.5
5,equipe,2,0.5
6,ismart,3,0.3333333333333333
7,saberviver,3,0.3333333333333333
8,institutoeurofarma,7,0.2857142857142857
9,aescobjetivo,19,0.2631578947368421
10,ceabb,4,0.25
11,colegioalphaunis,4,0.25
12,francobrasileiro,4,0.25
13,colegiomundial,9,0.2222222222222222
14,colegionovageracao,5,0.2
15,colegiobilac,5,0.2
16,magister,16,0.1875
17,ceespacolivre,6,0.16666666666666666
18,physicscidadenova,32,0.15625
19,santoamerico,7,0.14285714285714285
20,colegioflamingo,7,0.14285714285714285
21,souhabilis,7,0.14285714285714285
22,colegioglobal,8,0.125
23,physicsconselheirofurtado,26,0.11538461538461539
24,physicsalcindocacela,26,0.11538461538461539
25,spdacruz,9,0.1111111111111111
26,physicsumarizal,27,0.1111111111111111
27,sas,36,0.1111111111111111
28,physicsalmirantebarroso,45,0.1111111111111111
29,portinari,36,0.1111111111111111
30,stellamarisjuveve,38,0.10526315789473684
31,acessoalmirantetamandare,29,0.10344827586206896
32,acessopinhais,30,0.1
33,eccos,11,0.09090909090909091
34,acessosantafelicidade,34,0.08823529411764706
35,physicsmacapa,23,0.08695652173913043
36,master,93,0.08602150537634409
37,casdinhosjc,36,0.08333333333333333
38,universitariolondrina,49,0.08163265306122448
39,colegioarena,16,0.0625
40,colegioplanck,16,0.0625
41,acessoboqueirao,34,0.058823529411764705
42,alpha,21,0.047619047619047616
43,elitecuritibaemilianoperneta,22,0.045454545454545456
44,stellamarisaguaverde,22,0.045454545454545456
45,colegiosete,22,0.045454545454545456
46,overjoaopessoa,23,0.043478260869565216
47,contemporaneocidadeverde,24,0.041666666666666664
48,contemporaneolagoanova,26,0.038461538461538464
49,acessofazendariogrande,30,0.03333333333333333
50,overabelcabral,30,0.03333333333333333
51,acessocampolargo,30,0.03333333333333333
52,colegiobrasilia,35,0.02857142857142857
53,crb,295,0.013559322033898305
54,novotempo,112,0.008928571428571428
55,luminaedu,2,0.0
56,maanaim,1,0.0
57,mariaaugusta,1,0.0
58,lumiere,1,0.0
59,lumen,3,0.0
60,marciliopires,3,0.0
61,luizgonzaga,48,0.0
62,marcosfreitas,2,0.0
63,lucasmadsen,1,0.0
64,lourencofilho,1,0.0
65,lourdinascg,1,0.0
66,losango,1,0.0
67,macbrasiliaint,2,0.0
68,maplebearslz,17,0.0
69,machadodeassispicos,3,0.0
70,mackenziebrasilia,4,0.0
71,marcelinasbotucatu,1,0.0
72,manoelqueiroz,11,0.0
73,manoelpereira,1,0.0
74,manoelmarcelino,11,0.0
75,marcelochumer,1,0.0
76,manoelfrancisco,9,0.0
77,manoelbernardino,12,0.0
78,manoelbatista,11,0.0
79,magnumagostiniano,4,0.0
80,magnum,2,0.0
81,magno,4,0.0
82,magna,5,0.0
83,logicareforcoescolar,1,0.0
84,maper,2,0.0
85,madretereza,2,0.0
86,madresavina,1,0.0
87,macvest,30,0.0
88,mackenzietambore,9,0.0
89,mackenziesaopaulo,17,0.0
90,magma,1,0.0
91,abb,1,0.0
92,llesser,1,0.0
93,juarezwanderley,3,0.0
94,labatualidades,1,0.0
95,kzdireitodigital,1,0.0
96,kuadro,3,0.0
97,kl3,3,0.0
98,kiujo,1,0.0
99,kijuj,1,0.0
100,kidsbaby,2,0.0
101,khanacademy,1,0.0
102,kerygma,1,0.0
103,kepler,1,0.0
104,juntos,2,0.0
105,jpathias,1,0.0
106,livreaprender,1,0.0
107,josesoares,3,0.0
108,josepinheiro,12,0.0
109,josemelo,5,0.0
110,josemariano,2,0.0
111,josehumbertoborges,3,0.0
112,joseflorencio,2,0.0
113,josecesario,1,0.0
114,josecabral,2,0.0
115,joracycruz,1,0.0
116,joaoxxiii,15,0.0
117,joaosampaio,49,0.0
118,laboratoriosromildo,2,0.0
119,lagracia,1,0.0
120,lamark,1,0.0
121,lapiseartes,2,0.0
122,liviasoares,2,0.0
123,liviacarneiro,10,0.0
124,litteratus,5,0.0
125,linkandlearn,3,0.0
126,lighthouse,2,0.0
127,liessinbarra,3,0.0
128,liessin,4,0.0
129,liderasas,2,0.0
130,lidera,9,0.0
131,mariacarmo,14,0.0
132,liceujardim,10,0.0
133,liceufranco,1,0.0
134,libanobrasileiro,2,0.0
135,lerote,2,0.0
136,lepetitsp,2,0.0
137,leonor,1,0.0
138,leme,1,0.0
139,lealecarvalho,2,0.0
140,lavraguedes,2,0.0
