,namespace,Porcentagem de visualização dos relatórios de AD por alunos
0,colegiocb,0.7327586206896551
1,colegioplanck,0.23270440251572327
2,santoamerico,0.14534883720930233
3,dommga,0.10526315789473684
4,francobrasileiro,0.09523809523809523
5,master,0.07394296951819077
6,magister,0.047619047619047616
7,aescobjetivo,0.029157667386609073
8,porto,0.025362318840579712
9,testevictorhugo,0.025
10,sas,0.018518518518518517
11,jardimsaopaulo,0.01652892561983471
12,physicsalmirantebarroso,0.008620689655172414
13,colegiomundial,0.0015360983102918587
14,equipe,0.0
15,colegionovageracao,0.0
16,beityaacov,0.0
17,nucleopva,0.0
18,physicscidadenova,0.0
19,qescola,0.0
20,rede,0.0
21,saberviver,0.0
22,colegiodompedrosegundo,0.0
