,namespace,Unnamed: 0,Porcentagem de professores que visualizaram relatórios de AD
0,ismart,2,0.5
1,beityaacov,2,0.5
2,equipe,2,0.5
3,jardimsaopaulo,11,0.18181818181818182
4,educarse,15,0.13333333333333333
5,colegiocb,26,0.11538461538461539
6,magister,28,0.07142857142857142
7,portinari,75,0.06666666666666667
8,spdacruz,32,0.0625
9,acessofazendariogrande,37,0.05405405405405406
10,universitariolondrina,118,0.0423728813559322
11,stellamarisxaxim,48,0.041666666666666664
12,aescobjetivo,53,0.03773584905660377
13,stellamarisjuveve,114,0.03508771929824561
14,mariliamattoso,62,0.03225806451612903
15,santoamerico,106,0.02830188679245283
16,physicsaugustomontenegro,75,0.02666666666666667
17,stellamarisaguaverde,40,0.025
18,casdvest,150,0.02
19,acessoboqueirao,51,0.0196078431372549
20,colegiobrasilia,59,0.01694915254237288
21,colegioecursodesafio,63,0.015873015873015872
22,porto,68,0.014705882352941176
23,colegiojoaopaulo,72,0.013888888888888888
24,alpha,75,0.013333333333333334
25,master,87,0.011494252873563218
26,physicscidadenova,94,0.010638297872340425
27,ceprimeiromundo,111,0.009009009009009009
28,qescola,439,0.00683371298405467
29,mariaantonia,1,0.0
30,magnumagostiniano,3,0.0
31,maplebearslz,64,0.0
32,manoelbatista,10,0.0
33,magnum,2,0.0
34,manoelbernardino,11,0.0
35,manoelfrancisco,4,0.0
36,maper,35,0.0
37,manoelmarcelino,2,0.0
38,marcelochumer,1,0.0
39,manoelqueiroz,11,0.0
40,aba,5,0.0
41,mariaaugusta,3,0.0
42,marqueslima,6,0.0
43,maxeducacional,1,0.0
44,matriz,10,0.0
45,materdei,5,0.0
46,matematica,1,0.0
47,mastersul,1,0.0
48,mastersolucoes,20,0.0
49,mastersaoluis,1,0.0
50,maristateresina,4,0.0
51,mariacarmo,22,0.0
52,maristadomsilverio,58,0.0
53,mariaolinda,11,0.0
54,marianair,11,0.0
55,mariamerces,1,0.0
56,marialeao,4,0.0
57,magno,3,0.0
58,mariaeunice,15,0.0
59,marialaura,20,0.0
60,mackenziesaopaulo,6,0.0
61,magma,12,0.0
62,lasallesp,106,0.0
63,liderasas,2,0.0
64,liceujardim,92,0.0
65,lgp,1,0.0
66,lerote,2,0.0
67,lepetitsp,2,0.0
68,leonor,3,0.0
69,lealecarvalho,1,0.0
70,lauramatos,1,0.0
71,lasalledores,3,0.0
72,magistral,2,0.0
73,lasalleaguasclaras,4,0.0
74,lasalle,1,0.0
75,lapiseartes,1,0.0
76,laboratoriosromildo,2,0.0
77,lab,355,0.0
78,kuadro,1,0.0
79,kidsbaby,5,0.0
80,katrodrigues,1,0.0
81,liessin,17,0.0
82,liessinbarra,11,0.0
83,lighthouse,1,0.0
84,limanogueira,1,0.0
85,maededeus,5,0.0
86,macvest,36,0.0
87,mackenzietambore,63,0.0
88,medcel,6,0.0
89,mackenziebrasilia,16,0.0
90,macbrasiliaint,1,0.0
91,maanaim,3,0.0
92,luminaedu,1,0.0
93,lumiere,2,0.0
94,lumen,5,0.0
95,luizgonzaga,13,0.0
96,lourencofilho,1,0.0
97,lourenco,1,0.0
98,lkioio,2,0.0
99,livreaprender,1,0.0
100,liviasoares,12,0.0
101,litteratus,24,0.0
102,maxime,4,0.0
103,metropolitanojunior,1,0.0
104,melquiadescamelo,6,0.0
105,nsfatima,17,0.0
106,objetivolorena,64,0.0
107,objetivoitanhandu,1,0.0
