,namespace,Nº de AAs copiadas da estante mágica e aplicada,Início da classificação / Visualizações do relatório,Finalização da classificação / Início da classificação,Finalização da classificação / Visualizações do relatório,Porcentagem de visualização dos relatórios de AD,Porcentagem de professores que visualizaram relatórios de AD,Porcentagem de administradores que visualizaram relatórios de AD,Nº de exercícios em relatórios de AD / exercícios disponibilizados,Média de exercícios em relatórios de AD por turma,Média
0,equipe,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.4356435643564356,0.32618261826182615
1,saberviver,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222
2,colegiocb,0.0,0.0144927536231884,0.0,0.0,0.4827586206896552,0.1153846153846153,1.0,0.0,0.0,0.179181776633051
3,sas,0.0,0.0,0.0,0.0,0.0185185185185185,0.0,0.25,0.27,1.0,0.1709465020576132
4,colegiodompedrosegundo,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666
5,beityaacov,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.16666666666666666
6,jardimsaopaulo,0.0,0.0,0.0,0.0,0.0165289256198347,0.1818181818181818,1.0,0.0,0.0,0.13314967860422405
7,testevictorhugo,0.0,0.0,0.0,0.0,0.025,0.0,0.0,1.0,0.1485148514851485,0.13039053905390538
8,dommga,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,1.0,0.0,0.0,0.12280701754385964
9,colegioalphaunis,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,0.11555555555555556
10,rede,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0123762376237623,0.11248624862486249
11,colegiomodelo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111
12,saedigital,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111
13,colegiosaberviver,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111
14,ismart,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.09259259259259259
15,francobrasileiro,0.0,0.0,0.0,0.0,0.0793650793650793,0.0,0.75,0.0,0.0,0.09215167548500881
16,aescobjetivo,0.0,0.0131578947368421,0.0,0.0,0.0269978401727861,0.0377358490566037,0.4210526315789473,0.1,0.1536360532604984,0.0836200298672975
17,eccos,0.0,0.048780487804878,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.0761271249076127
18,magister,0.0,0.0,0.0,0.0,0.0476190476190476,0.0714285714285714,0.5,0.0,0.0,0.06878306878306878
19,santoamerico,0.0,0.0,0.0,0.0,0.1308139534883721,0.0283018867924528,0.2857142857142857,0.03,0.0433168316831683,0.057571884186475436
20,prevest,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
21,nucleopva,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05555555555555555
22,colegiomundial,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.04938271604938271
23,spdacruz,0.0,0.0,0.0,0.0,0.0,0.09375,0.3333333333333333,0.0,0.0,0.0474537037037037
24,colegioplanck,0.0,0.0181818181818181,0.0,0.0,0.2137931034482758,0.0,0.1875,0.0,0.0,0.046608324625565994
25,porto,0.0,0.0833333333333333,0.2857142857142857,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0.04365079365079364
26,universitariolondrina,0.0,0.0,0.0,0.0,0.0,0.0508474576271186,0.3061224489795918,0.0,0.0,0.03966332295630116
27,souhabilis,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.037037037037037035
28,nucec,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.037037037037037035
29,materamabilis,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.037037037037037035
30,mariliamattoso,0.0,0.0,0.0,0.0,0.1354838709677419,0.0483870967741935,0.0833333333333333,0.01,0.0205635948210205,0.03308532176625436
31,ceprimeiromundo,0.0,0.0,0.0,0.0,0.1648936170212765,0.0,0.0625,0.04,0.0220451732673267,0.03215986558762258
32,institutoeurofarma,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.031746031746031744
33,colegionovageracao,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776
34,ceabb,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.027777777777777776
35,master,0.0,0.0150375939849624,0.0,0.0,0.0615535889872173,0.0114942528735632,0.1290322580645161,0.01,0.0117095300861355,0.026536358221821613
36,colegiobilac,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.022222222222222223
