,Unnamed: 0,namespace,Porcentagem de administrantes que visualizaram relatórios de AA
0,0,abb,0.0
1,1,abdiasmartins,0.0
2,2,abgarrenault,0.0
3,3,abiliomartins,0.0
4,4,abm,0.0
5,5,academia,0.0
6,6,academiaboaviagem,0.0
7,7,academiacrista,0.0
8,8,academiadasespecificas,0.0
9,9,academicgeek,0.0
10,10,acesso,0.0
11,11,acessoalmirantetamandare,0.1379310344827586
12,12,acessoapogeu,0.0
13,13,acessoboqueirao,0.1470588235294117
14,14,acessocampolardo,0.0
15,15,acessocampolargo,0.1
16,16,acessocampolargokids,0.0555555555555555
17,17,acessoemilianoperneta,0.0
18,18,acessofazendariogrande,0.1
19,19,acessohauer,0.0869565217391304
20,20,acessopinhais,0.1333333333333333
21,21,acessoportao,0.0909090909090909
22,22,acessosantafelicidade,0.2352941176470588
23,23,acessosjpinhais,0.2105263157894736
24,24,acqio,0.0
25,25,adeajuda,0.0
26,26,adilsonfranco,0.0
27,27,adrianochan,0.8461538461538461
28,28,adventistacaxias,0.0
29,29,adventus,0.0
30,30,aeai,0.0
31,31,aees,0.0
32,32,aescobjetivo,0.631578947368421
33,33,agape,0.0
34,34,agathos,0.0
35,35,agoramath,0.0
36,36,agostiniano,0.0
37,37,aguiasdosaber,0.0
38,38,ahuscao,0.0
39,39,akmaestra,0.0
40,40,albertocabral,0.0
41,41,albertsabin,0.0
42,42,alfacembilingue,0.0
43,43,alferomendes,0.0
44,44,alfeurosa,0.0
45,45,almirantebarroso,0.0
46,46,alpha,0.0
47,47,alphaacompanhamento,0.0
48,48,alpheurosa,0.0
49,49,alternativocursoecolegio,0.0
50,50,alura,0.0
51,51,amadeus,0.2631578947368421
52,52,amais,0.03
53,53,amaismaker,0.0
54,54,amaisteste,0.0
55,55,americanobatistadapraiadacosta,0.0
56,56,analise,0.0
57,57,anchieta,0.0
58,58,anchietaba,0.0
59,59,anglocassianoricardo,0.0
60,60,anglojacarei,0.0
61,61,anima,0.0
62,62,animalnaopercebe,0.0
63,63,anossaatmosfera,0.0
64,64,antaresbarbosadefreitas,0.0
65,65,antaresfatima,0.0
66,66,antaresirmamaria,0.0
67,67,antaresjardins,0.0
68,68,antarespapicu,0.0
69,69,antarespraiadeiracema,0.0
70,70,antaressantosdumont,0.0
71,71,antaresseisbocas,0.0
72,72,antoniairene,0.0
73,73,antoniocesar,0.0
74,74,antoniolima,0.0
75,75,antoniomelo,0.0
76,76,antonioportela,0.0
77,77,antoniovieira,0.0
78,78,anyway,0.0
79,79,aocubo,0.0
80,80,aocubovestibular,0.0
81,81,aog,0.0
82,82,apogeu,0.0
83,83,apogeuarcoiris,0.0
84,84,apogeubenfica,0.0
85,85,apogeucemap,0.0
86,86,apogeudivinopolis,0.0
87,87,apogeumbcursos,0.0
88,88,apogeunovohorizonte,0.0
89,89,apogeuparademinas,0.0
