,namespace,user_id,id
0,mackenzietambore,60100011,15195
1,bertelsmann,627362,15248
2,cenecistaml,810605,15462
3,fisicadf,858bruno,15545
4,vestibularcidadao,858bruno,15547
5,iabcd,Carola,19568
6,ispindorama,ChristianaGusmao,19719
7,colegiocastelo,Clemm,19830
8,mestre,Conrad,19851
9,colegiosussurana,lucasomb,263376
10,equipea,thiagovidal88,204663
11,ccncertificadora,clarissaqmagico,155269
12,cnn,clarissaqmagico,155270
13,acessofazendariogrande,priscila.clemente,562048
14,overlimaesilva,fernanda.barreto01,380946
15,physicsalcindocacela,110693,569278
16,educamais,edu.fernanda.carla.sme,536166
17,isemear,clarissaqmagico,184387
18,sasadaptrelatorios,sasadmin,569283
19,sasadaptrelatorios,sasrelatorios,569282
20,sasadaptrelatorios,sas.relatorios,569281
21,marcelochumer,MChumer,26244
22,sistemaprima,Marcovito,26690
23,jesusmariajose,PauloCandido,28861
24,ccncertificadora,erikaa,155271
25,cappta,PessoasePerformance,28952
26,escolacastanheiras,Pretini,29042
27,institutoadventus,larissal,176025
28,cursoacre,professormontenegro,185652
29,porto,admin.porto,538808
30,maristadomsilverio,ltertuliano,243302
31,colegiobrasilia,larissal,182724
32,centroeducacionalkolping,clarissaqmagico,155276
33,evolucao,Renzo,29990
34,oficinadoestudante,jesusgonzales,371230
35,provaspoliedro,angela.rangel,493597
36,batistasaovicente,lucasomb,263372
37,esperoqueestesejaok,RonWeasley,30159
38,testeonzesetembro,RonWeasley,30160
39,testedozeset,RonWeasley,30162
40,eokiko,RonWeasley,30163
41,hogwarts,RonWeasley,30167
42,testedetoken,RonWeasley,30169
43,escolabatistacriativa,Ronilda,30179
44,cdi,RoseGodoi,30218
45,semearjacarei,lucasomb,262971
46,cci,SOSTHENES,30504
47,efaculdades,SamaraQM,30635
48,testetvveconquista,SamaraTESTE,30638
49,ateneulondrina,SilviaHelena,30868
50,projetovida,SilviaOliveira,30870
51,tabernaculo,Silvinha,30876
52,educamais,edu.francisca.antonia.sme,536167
53,adrianochan,gustavo.doretto,447962
54,amadeus,clarissaqmagico,60859
55,escolamodelada,daltonfernandes,176914
56,colegiounidadejardim,Sueli,31059
57,esperoqueestesejaok,Superman,31080
58,iesg,TEACHER,31150
59,acessohauer,priscila.clemente,562049
60,testeonzesetembro,Testedozeset,31512
61,simplificaquepassa,larissal,184138
62,colegiounidadejardim,Val135,31919
63,alpha,AlphaLumen,155552
64,juarezwanderley,Welingtonn,32262
65,cesimoesfilho,Zevaldo,32450
66,mathmind,clarissaqmagico,162161
67,auxiliadorarj,lucasomb,263373
68,escolaarcasp,lucasomb,262974
69,fmit,helioalves,155286
70,buddys,clarissaqmagico,155712
71,professoraleila,profleilarodrigues,165085
72,acessopinhais,priscila.clemente,562050
73,pentagono,diegoalbuquerque,240071
74,ckadima,lucasomb,262976
75,mackenzietambore,professortambore35,183252
76,oficinadoestudante,apoiovest,346133
77,luminaedu,lucasomb,262978
78,educamais,edu.francisca.cledina.sme,536168
79,colegiomastersp,lucasomb,263374
80,cepvilhena,lucasomb,262980
81,educamais,edu.francisca.deijane.sme,536169
82,educamais,edu.francisco.petronio.sme,536170
83,presbiterianacastanheira,lucasomb,262981
84,ipesimonton,lucasomb,262982
85,cct,clarissaqmagico,155288
86,ivv,alunomoreira,38980
87,cct,profbreno,155289
88,ecompo,larissal,176541
89,sociedadebread,lucasomb,262983
90,novaalianca,lucasomb,262984
91,ensinando,peterernst,179353
92,educamais,edu.glenda.maria.sme,536171
93,khanacademy,alunovisitante,39438
94,juarezwanderley,alunovisitante,39443
95,bertelsmann,alunovisitante,39445
96,singularidades,alvtvve,39494
97,reforcotiacoruja,larissal,176547
98,physicsalcindocacela,Edilson.lima,330519
99,colegiobaraodemaua,larissal,179356
100,editoracristaevangelica,clarissaqmagico,155742
