,creation,namespace,grade,id,?column?
0,2021-06-07,colegioeducallis,ef 2o ano,154753,0 days 01:32:30.124012
1,2021-06-07,aescobjetivo,ef 2o ano,154859,0 days 00:50:08.078488
2,2021-06-07,aescobjetivo,ef 2o ano,155214,0 days 01:00:09.515179
3,2021-06-07,colegioeducallis,ef 3o ano,155247,0 days 01:48:17.001637
4,2021-06-07,portinari,ef 5o ano,154740,0 days 08:27:31.888459
5,2021-06-07,acessosantafelicidade,ef 5o ano,154911,0 days 00:36:33.538905
6,2021-06-07,acessoalmirantetamandare,ef 5o ano,154990,0 days 00:22:51.269578
7,2021-06-07,acessohauer,ef 5o ano,154992,0 days 00:39:01.996772
8,2021-06-07,acessocampolargokids,ef 5o ano,154993,0 days 03:24:41.768852
9,2021-06-07,acessofazendariogrande,ef 5o ano,154994,0 days 02:58:35.233988
10,2021-06-07,acessoalmirantetamandare,ef 6o ano,155012,0 days 00:59:42.797334
11,2021-06-07,colegiofuturageracao,ef 6o ano,155041,0 days 00:40:24.469101
12,2021-06-07,integradaeducativa,ef 6o ano,155123,-1 days +23:59:56.865601
13,2021-06-07,provaspoliedro,ef 6o ano,155202,0 days 00:14:23.160831
14,2021-06-07,colegioensitec,ef 7o ano,155155,0 days 00:31:05.765803
15,2021-06-07,crb,ef 7o ano,155190,0 days 03:34:24.216447
16,2021-06-07,colegioeducallis,ef 7o ano,155272,1 days 10:08:49.342320
17,2021-06-07,colegiobilac,ef 8o ano,154809,0 days 23:29:08.177133
18,2021-06-07,acessocampolargo,ef 8o ano,155000,0 days 00:36:48.559383
19,2021-06-07,colegioplanck,ef 8o ano,155093,0 days 12:02:54.426862
20,2021-06-07,crb,ef 8o ano,155217,0 days 01:39:45.357199
21,2021-06-07,integradaeducativa,ef 8o ano,155228,0 days 01:05:28.952840
22,2021-06-07,integradaeducativa,ef 8o ano,155234,0 days 01:17:58.206465
23,2021-06-07,integradaeducativa,ef 9o ano,154735,0 days 01:18:02.690757
24,2021-06-07,acessocampolargo,ef 9o ano,154997,0 days 00:06:22.659781
25,2021-06-07,integradaeducativa,ef 9o ano,155286,0 days 01:04:15.151767
26,2021-06-07,acessoalmirantetamandare,em 1a serie,154978,0 days 03:20:39.975650
27,2021-06-07,acessocampolargo,em 1a serie,154979,0 days 00:25:22.286166
28,2021-06-07,colegioeducallis,em 1a serie,155047,0 days 00:02:31.758336
29,2021-06-07,colegiobetelbrasileirosp,em 1a serie,155102,0 days 09:15:15.989219
30,2021-06-07,einsteinassis,em 1a serie,155256,0 days 04:04:46.948866
31,2021-06-07,acessoalmirantetamandare,em 2a serie,154972,0 days 03:32:40.397845
32,2021-06-07,acessosjpinhais,em 2a serie,154975,0 days 02:20:26.033230
33,2021-06-07,crb,em 2a serie,155346,0 days 01:44:45.668488
34,2021-06-07,crb,em 3a serie,155267,0 days 00:45:16.446795
35,2021-06-07,crb,em 3a serie,155342,0 days 05:56:47.893985
36,2021-06-07,prismapatrocinio,outro,154919,0 days 08:27:39.460307
0,2021-06-08,aescobjetivo,ef 2o ano,155587,-1 days +23:39:06.939916
1,2021-06-08,villalobos,ef 4o ano,155850,0 days 00:15:20.730509
2,2021-06-08,villalobos,ef 4o ano,155858,0 days 00:40:34.105379
3,2021-06-08,amadeus,ef 6o ano,155702,1 days 02:02:07.472547
4,2021-06-08,spdacruz,ef 6o ano,155777,0 days 00:09:14.757850
5,2021-06-08,spdacruz,ef 6o ano,155778,0 days 00:53:16.254691
6,2021-06-08,spdacruz,ef 6o ano,155779,0 days 04:39:09.809891
7,2021-06-08,spdacruz,ef 6o ano,155791,0 days 04:50:40.573715
8,2021-06-08,colegiobetelbrasileirosp,ef 6o ano,155891,0 days 08:42:30.603977
9,2021-06-08,crb,ef 7o ano,155382,0 days 01:18:57.409709
10,2021-06-08,integradaeducativa,ef 7o ano,155438,0 days 02:12:42.118911
11,2021-06-08,amadeus,ef 7o ano,155462,0 days 00:12:40.141095
12,2021-06-08,amadeus,ef 7o ano,155463,0 days 00:05:53.010780
13,2021-06-08,amadeus,ef 7o ano,155466,0 days 00:07:57.388639
14,2021-06-08,prismapatrocinio,ef 7o ano,155539,0 days 00:19:51.540426
15,2021-06-08,crb,ef 7o ano,155564,0 days 06:39:07.769661
16,2021-06-08,crb,ef 7o ano,155579,0 days 01:16:04.311872
17,2021-06-08,spdacruz,ef 7o ano,155732,1 days 01:46:45.878971
18,2021-06-08,crb,ef 7o ano,155767,0 days 01:51:13.516090
19,2021-06-08,crb,ef 8o ano,155377,0 days 02:20:36.399636
20,2021-06-08,educandarioterciocorreia,ef 8o ano,155395,0 days 00:00:04.774771
21,2021-06-08,portinari,ef 8o ano,155465,-1 days +23:58:15.317621
22,2021-06-08,crb,ef 8o ano,155563,0 days 02:49:04.741353
23,2021-06-08,crb,ef 8o ano,155729,0 days 02:31:50.409625
