,namespace,grade,Porcentagem de visualização de relatórios de AA
0,acesso,em 3a serie,0.0
1,acesso,outro,0.0
2,acessoalmirantetamandare,ef 2o ano,0.28
3,acessoalmirantetamandare,ef 3o ano,0.36134453781512604
4,acessoalmirantetamandare,ef 4o ano,0.2
5,acessoalmirantetamandare,ef 5o ano,0.7485207100591716
6,acessoalmirantetamandare,ef 6o ano,0.5800711743772242
7,acessoalmirantetamandare,ef 7o ano,0.7088235294117647
8,acessoalmirantetamandare,ef 8o ano,0.7142857142857143
9,acessoalmirantetamandare,ef 9o ano,0.5064935064935064
10,acessoalmirantetamandare,em 1a serie,0.3784916201117318
11,acessoalmirantetamandare,em 2a serie,0.4741847826086957
12,acessoalmirantetamandare,em 3a serie,0.7083333333333334
13,acessoalmirantetamandare,outro,0.8
14,acessoboqueirao,ef 8o ano,0.5277190012695726
15,acessoboqueirao,ef 9o ano,0.39467148340483177
16,acessoboqueirao,em 1a serie,0.3482981833368135
17,acessoboqueirao,em 2a serie,0.31552323743281696
18,acessoboqueirao,em 3a serie,0.722397476340694
19,acessoboqueirao,outro,0.3416666666666667
20,acessocampolargo,ef 6o ano,0.7761904761904762
21,acessocampolargo,ef 7o ano,0.6196078431372549
22,acessocampolargo,ef 8o ano,0.6529605263157895
23,acessocampolargo,ef 9o ano,0.535673839184598
24,acessocampolargo,em 1a serie,0.41517857142857145
25,acessocampolargo,em 2a serie,0.48817567567567566
26,acessocampolargo,em 3a serie,0.625
27,acessocampolargo,outro,0.6571428571428571
28,acessocampolargokids,ef 2o ano,0.2375
29,acessocampolargokids,ef 3o ano,0.18181818181818182
30,acessocampolargokids,ef 4o ano,0.16666666666666666
31,acessocampolargokids,ef 5o ano,0.95
32,acessocampolargokids,outro,0.2
33,acessoemilianoperneta,em 2a serie,0.0
34,acessoemilianoperneta,em 3a serie,0.0
35,acessoemilianoperneta,outro,0.0
36,acessofazendariogrande,ef 2o ano,0.10714285714285714
37,acessofazendariogrande,ef 3o ano,0.34210526315789475
38,acessofazendariogrande,ef 4o ano,0.3482142857142857
39,acessofazendariogrande,ef 5o ano,0.6153846153846154
40,acessofazendariogrande,ef 6o ano,0.5529801324503312
41,acessofazendariogrande,ef 7o ano,0.531986531986532
42,acessofazendariogrande,ef 8o ano,0.5870445344129555
43,acessofazendariogrande,ef 9o ano,0.4677777777777778
44,acessofazendariogrande,em 1a serie,0.36846153846153845
45,acessofazendariogrande,em 2a serie,0.4031991174848318
46,acessofazendariogrande,em 3a serie,0.6090225563909775
47,acessofazendariogrande,outro,0.8095238095238095
48,acessohauer,ef 2o ano,0.26666666666666666
49,acessohauer,ef 3o ano,0.312
50,acessohauer,ef 4o ano,0.37142857142857144
51,acessohauer,ef 5o ano,0.6246819338422391
52,acessohauer,ef 6o ano,0.6996309963099631
53,acessohauer,ef 7o ano,0.6201067615658363
54,acessopinhais,em 1a serie,0.405420054200542
55,acessopinhais,em 2a serie,0.36464646464646466
56,acessopinhais,em 3a serie,0.7781954887218046
57,acessopinhais,outro,0.32653061224489793
58,acessosantafelicidade,ef 2o ano,0.275
59,acessosantafelicidade,ef 3o ano,0.21951219512195122
60,acessosantafelicidade,ef 4o ano,0.26666666666666666
61,acessosantafelicidade,ef 5o ano,0.6428571428571429
62,acessosantafelicidade,ef 6o ano,0.625
63,acessosantafelicidade,ef 7o ano,0.5368171021377672
64,acessosantafelicidade,ef 8o ano,0.6480293308890925
65,acessosantafelicidade,ef 9o ano,0.408983451536643
66,acessosantafelicidade,em 1a serie,0.3315018315018315
67,acessosantafelicidade,em 2a serie,0.33771486349848334
68,acessosantafelicidade,em 3a serie,0.7987012987012987
69,acessosantafelicidade,outro,0.39285714285714285
70,acessosjpinhais,ef 2o ano,0.09937888198757763
71,acessosjpinhais,ef 3o ano,0.3023255813953488
72,acessosjpinhais,ef 4o ano,0.2347266881028939
73,acessosjpinhais,ef 5o ano,0.44417862838915473
74,acessosjpinhais,ef 6o ano,0.5179738562091504
75,acessosjpinhais,ef 7o ano,0.46712586098935505
76,acessosjpinhais,ef 8o ano,0.479129923574368
77,acessosjpinhais,ef 9o ano,0.39719837324898327
78,acessosjpinhais,em 1a serie,0.3806881243063263
79,acessosjpinhais,em 2a serie,0.39969604863221886
80,acessosjpinhais,em 3a serie,0.6803571428571429
81,acessosjpinhais,outro,0.34523809523809523
82,adrianochan,outro,0.24882912826710984
83,aescobjetivo,ef 1o ano,0.5
84,aescobjetivo,ef 2o ano,0.5573770491803278
85,aescobjetivo,ef 3o ano,0.35
86,aescobjetivo,ef 4o ano,0.640625
87,aescobjetivo,ef 5o ano,0.4551282051282051
88,aescobjetivo,ef 6o ano,0.45622119815668205
89,aescobjetivo,ef 7o ano,0.573170731707317
90,aescobjetivo,ef 8o ano,0.5638440860215054
91,aescobjetivo,ef 9o ano,0.46944444444444444
92,aescobjetivo,em 1a serie,0.3415372964786066
93,aescobjetivo,em 2a serie,0.26952504691785767
94,aescobjetivo,em 3a serie,0.2729326705829191
95,albertsabin,em 1a serie,0.0
96,alfacembilingue,em 1a serie,0.0
97,alfeurosa,ef 3o ano,0.0
98,alfeurosa,ef 7o ano,0.0
99,alfeurosa,ef 9o ano,0.0
100,alfeurosa,em 1a serie,0.0
101,alfeurosa,em 2a serie,0.0
102,alfeurosa,em 3a serie,0.0
103,alpha,ef 3o ano,0.0
104,alpha,ef 7o ano,0.0
105,alpha,ef 9o ano,0.0
106,alpha,em 1a serie,0.0
107,alpha,em 2a serie,0.0
108,alpha,em 3a serie,0.0
109,amadeus,ef 2o ano,0.1324110671936759
110,amadeus,ef 3o ano,0.20436507936507936
111,amadeus,ef 4o ano,0.24458874458874458
112,amadeus,ef 5o ano,0.28254437869822485
113,amadeus,ef 6o ano,0.4315952503871967
114,amadeus,ef 7o ano,0.4666666666666667
115,amadeus,ef 8o ano,0.3118477593615715
116,amadeus,ef 9o ano,0.282863041982106
117,amadeus,em 1a serie,0.2179946284691137
118,amadeus,em 2a serie,0.31804176651831567
119,amadeus,em 3a serie,0.03076923076923077
120,amadeus,outro,0.0
121,amais,ef 2o ano,0.0
122,amais,ef 3o ano,0.0
123,amais,ef 9o ano,0.0
124,amais,em 1a serie,0.0
125,amais,em 2a serie,0.0
126,amais,outro,0.0
127,amaismaker,ef 2o ano,0.0
128,amaismaker,ef 5o ano,0.0
129,amaismaker,em 1a serie,0.0
130,amaismaker,em 2a serie,0.0
131,amaismaker,outro,0.0
132,amaisteste,ef 3o ano,0.0
133,amaisteste,ef 6o ano,0.16666666666666666
