,namespace,grade,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Porcentagem de visualização de relatórios de AA
0,acesso,em 3a serie,0.0,0.0,0.0,0.0
1,acesso,outro,0.0,0.0,0.0,0.0
2,acessoalmirantetamandare,ef 2o ano,0.1847222222222222,2.5,48.0,0.28
3,acessoalmirantetamandare,ef 3o ano,0.5852187028657617,7.0,78.0,0.361344537815126
4,acessoalmirantetamandare,ef 4o ano,0.8620689655172413,6.0,58.0,0.2
5,acessoalmirantetamandare,ef 5o ano,0.7137508509189925,13.0,113.0,0.7485207100591716
6,acessoalmirantetamandare,ef 6o ano,0.5957792207792207,19.0,176.0,0.5800711743772242
7,acessoalmirantetamandare,ef 7o ano,0.5813148788927336,20.0,170.0,0.7088235294117647
8,acessoalmirantetamandare,ef 8o ano,0.699812382739212,14.0,123.0,0.7142857142857143
9,acessoalmirantetamandare,ef 9o ano,0.521108179419525,33.0,379.0,0.5064935064935064
10,acessoalmirantetamandare,em 1a serie,0.3738606403013182,47.0,885.0,0.3784916201117318
11,acessoalmirantetamandare,em 2a serie,0.3483664772727273,46.0,880.0,0.4741847826086957
12,acessoalmirantetamandare,em 3a serie,0.9171511627906976,8.0,688.0,0.7083333333333334
13,acessoalmirantetamandare,outro,0.8,1.0,20.0,0.8
14,acessoboqueirao,ef 8o ano,0.5456053927923257,10.5,163.25,0.5277190012695726
15,acessoboqueirao,ef 9o ano,0.6078464458974899,14.5,373.5,0.3946714834048317
16,acessoboqueirao,em 1a serie,0.335756543250213,12.25,564.0,0.3482981833368135
17,acessoboqueirao,em 2a serie,0.3232918420345661,48.0,859.0,0.3155232374328169
18,acessoboqueirao,em 3a serie,0.8469434455704479,5.5,668.0,0.722397476340694
19,acessoboqueirao,outro,0.409517889211217,5.5,668.0,0.3416666666666667
20,acessocampolargo,ef 6o ano,0.6880407124681934,14.0,131.0,0.7761904761904762
21,acessocampolargo,ef 7o ano,0.5320675105485232,17.0,158.0,0.6196078431372549
