,namespace,grade,Porcentagem de engajamento em AAs
636,integra,ef 8o ano,1.0
28,acessocampolargokids,ef 3o ano,1.0
327,colegioensitec,ef 4o ano,1.0
614,insa,em 1a serie,1.0
615,insa,em 2a serie,1.0
222,colegiobatistaindependente,ef 5o ano,1.0
230,colegiobatistaindependente,outro,1.0
231,colegiobetelbrasileirosp,ef 1o ano,1.0
1003,psantagema,outro,1.0
631,integra,ef 3o ano,1.0
414,colegionovageracao,ef 2o ano,1.0
30,acessocampolargokids,ef 5o ano,1.0
244,colegiobilac,ef 3o ano,1.0
245,colegiobilac,ef 4o ano,1.0
246,colegiobilac,ef 5o ano,1.0
315,colegioeducallis,ef 3o ano,1.0
635,integra,ef 7o ano,1.0
417,colegionovageracao,ef 5o ano,1.0
736,nucleocriativo,outro,1.0
1092,testevictorhugo,ef 7o ano,1.0
1039,sasadapt,ef 1o ano,1.0
339,colegiofuturageracao,ef 2o ano,1.0
938,portinari,ef 4o ano,1.0
1021,santadoroteia,em 1a serie,1.0
937,portinari,ef 3o ano,1.0
153,ceespacolivre,ef 7o ano,1.0
156,ceespacolivre,em 1a serie,1.0
157,ceespacolivre,em 2a serie,1.0
1043,seletivoeducallis,ef 5o ano,1.0
175,ceprimeiromundo,ef 5o ano,1.0
353,colegioglobal,ef 7o ano,1.0
832,pearson,em 3a serie,1.0
778,overlimaesilva,ef 2o ano,1.0
342,colegiofuturageracao,ef 5o ano,1.0
341,colegiofuturageracao,ef 4o ano,1.0
340,colegiofuturageracao,ef 3o ano,1.0
277,colegiodasamericas,ef 3o ano,1.0
572,educandarioterciocorreia,ef 9o ano,0.9995098039215686
1053,spdacruz,ef 6o ano,0.9993006014827248
1055,spdacruz,ef 8o ano,0.9992804029743344
247,colegiobilac,ef 6o ano,0.9989317190421081
249,colegiobilac,ef 8o ano,0.9984185556141276
243,colegiobilac,ef 2o ano,0.9976851851851852
250,colegiobilac,ef 9o ano,0.9975907484741408
266,colegiocb,ef 4o ano,0.9957627118644068
639,integradaeducativa,ef 7o ano,0.9953345152561351
939,portinari,ef 5o ano,0.9948051948051948
384,colegiointegral,ef 9o ano,0.9947329376854599
382,colegiointegral,ef 7o ano,0.9940636331734706
267,colegiocb,ef 5o ano,0.9940476190476191
155,ceespacolivre,ef 9o ano,0.9930555555555556
644,integradaeducativa,em 3a serie,0.9926436061981531
383,colegiointegral,ef 8o ano,0.9925787844682048
805,overpontanegra,ef 1o ano,0.9920634920634921
248,colegiobilac,ef 7o ano,0.9918623378825125
460,colegiouirapuru,ef 4o ano,0.9902597402597403
381,colegiointegral,ef 6o ano,0.9899172397715351
777,overlimaesilva,ef 1o ano,0.98989898989899
1054,spdacruz,ef 7o ano,0.9894027840143691
316,colegioeducallis,ef 4o ano,0.9887587822014051
346,colegiofuturageracao,ef 9o ano,0.9885057471264368
328,colegioensitec,ef 5o ano,0.9876847290640394
640,integradaeducativa,ef 8o ano,0.9876637222053001
379,colegiointegral,ef 4o ano,0.9864724245577523
314,colegioeducallis,ef 2o ano,0.9854700854700855
914,pioxi,ef 7o ano,0.9853407290015848
998,psantagema,ef 8o ano,0.9847775175644028
1057,spdacruz,em 1a serie,0.9834827049848159
794,overmossoro,ef 5o ano,0.9818181818181818
326,colegioensitec,ef 3o ano,0.9814323607427056
162,cem,ef 5o ano,0.9813457694870087
