,namespace,grade,Número de AAs por turma
0,acessoalmirantetamandare,ef 2o ano,2.5
1,acessoalmirantetamandare,ef 3o ano,7.0
2,acessoalmirantetamandare,ef 4o ano,6.0
3,acessoalmirantetamandare,ef 5o ano,13.0
4,acessoalmirantetamandare,ef 6o ano,19.0
5,acessoalmirantetamandare,ef 7o ano,20.0
6,acessoalmirantetamandare,ef 8o ano,14.0
7,acessoalmirantetamandare,ef 9o ano,33.0
8,acessoalmirantetamandare,em 1a serie,47.0
9,acessoalmirantetamandare,em 2a serie,46.0
10,acessoalmirantetamandare,em 3a serie,8.0
11,acessoalmirantetamandare,outro,1.0
12,acessoboqueirao,ef 8o ano,10.5
13,acessoboqueirao,ef 9o ano,14.5
14,acessoboqueirao,em 1a serie,12.25
15,acessoboqueirao,em 2a serie,48.0
16,acessoboqueirao,em 3a serie,5.5
17,acessoboqueirao,outro,5.5
18,acessocampolargo,ef 6o ano,14.0
19,acessocampolargo,ef 7o ano,17.0
20,acessocampolargo,ef 8o ano,19.0
21,acessocampolargo,ef 9o ano,29.0
22,acessocampolargo,em 1a serie,42.0
23,acessocampolargo,em 2a serie,37.0
24,acessocampolargo,em 3a serie,8.0
25,acessocampolargo,outro,7.0
26,acessocampolargokids,ef 2o ano,5.0
27,acessocampolargokids,ef 3o ano,2.5
28,acessocampolargokids,ef 4o ano,6.0
29,acessocampolargokids,ef 5o ano,4.0
30,acessocampolargokids,outro,5.0
31,acessofazendariogrande,ef 2o ano,2.0
32,acessofazendariogrande,ef 3o ano,8.0
33,acessofazendariogrande,ef 4o ano,8.0
34,acessofazendariogrande,ef 5o ano,13.0
35,acessofazendariogrande,ef 6o ano,21.0
36,acessofazendariogrande,ef 7o ano,22.0
37,acessofazendariogrande,ef 8o ano,19.0
38,acessofazendariogrande,ef 9o ano,45.0
39,acessofazendariogrande,em 1a serie,50.0
40,acessofazendariogrande,em 2a serie,49.0
41,acessofazendariogrande,em 3a serie,7.0
42,acessofazendariogrande,outro,7.0
43,acessohauer,ef 2o ano,5.0
44,acessohauer,ef 3o ano,5.0
45,acessohauer,ef 4o ano,5.0
46,acessohauer,ef 5o ano,12.5
47,acessohauer,ef 6o ano,10.666666666666666
48,acessohauer,ef 7o ano,10.333333333333334
49,acessopinhais,em 1a serie,45.0
50,acessopinhais,em 2a serie,44.0
51,acessopinhais,em 3a serie,7.0
52,acessopinhais,outro,7.0
53,acessosantafelicidade,ef 2o ano,5.0
54,acessosantafelicidade,ef 3o ano,7.0
55,acessosantafelicidade,ef 4o ano,6.0
56,acessosantafelicidade,ef 5o ano,14.0
57,acessosantafelicidade,ef 6o ano,20.0
58,acessosantafelicidade,ef 7o ano,20.0
59,acessosantafelicidade,ef 8o ano,16.0
60,acessosantafelicidade,ef 9o ano,36.0
61,acessosantafelicidade,em 1a serie,42.0
62,acessosantafelicidade,em 2a serie,43.0
63,acessosantafelicidade,em 3a serie,7.0
64,acessosantafelicidade,outro,7.0
65,acessosjpinhais,ef 2o ano,2.0
66,acessosjpinhais,ef 3o ano,1.75
67,acessosjpinhais,ef 4o ano,1.0
68,acessosjpinhais,ef 5o ano,9.5
69,acessosjpinhais,ef 6o ano,12.666666666666666
70,acessosjpinhais,ef 7o ano,13.666666666666666
71,acessosjpinhais,ef 8o ano,12.666666666666666
72,acessosjpinhais,ef 9o ano,19.0
73,acessosjpinhais,em 1a serie,51.0
74,acessosjpinhais,em 2a serie,47.0
75,acessosjpinhais,em 3a serie,7.0
76,acessosjpinhais,outro,7.0
77,adrianochan,outro,0.095
78,aescobjetivo,ef 1o ano,10.0
79,aescobjetivo,ef 2o ano,13.5
80,aescobjetivo,ef 3o ano,20.0
81,aescobjetivo,ef 4o ano,6.5
