,namespace,grade,numero_ex
0,acessoalmirantetamandare,ef 2o ano,48.0
1,acessoalmirantetamandare,ef 3o ano,78.0
2,acessoalmirantetamandare,ef 4o ano,58.0
3,acessoalmirantetamandare,ef 5o ano,113.0
4,acessoalmirantetamandare,ef 6o ano,176.0
5,acessoalmirantetamandare,ef 7o ano,170.0
6,acessoalmirantetamandare,ef 8o ano,123.0
7,acessoalmirantetamandare,ef 9o ano,379.0
8,acessoalmirantetamandare,em 1a serie,885.0
9,acessoalmirantetamandare,em 2a serie,880.0
10,acessoalmirantetamandare,em 3a serie,688.0
11,acessoalmirantetamandare,outro,20.0
12,acessoboqueirao,ef 8o ano,163.25
13,acessoboqueirao,ef 9o ano,373.5
14,acessoboqueirao,em 1a serie,564.0
15,acessoboqueirao,em 2a serie,859.0
16,acessoboqueirao,em 3a serie,668.0
17,acessoboqueirao,outro,668.0
18,acessocampolargo,ef 6o ano,131.0
19,acessocampolargo,ef 7o ano,158.0
20,acessocampolargo,ef 8o ano,173.0
21,acessocampolargo,ef 9o ano,374.0
22,acessocampolargo,em 1a serie,950.0
23,acessocampolargo,em 2a serie,683.0
24,acessocampolargo,em 3a serie,688.0
25,acessocampolargo,outro,668.0
26,acessocampolargokids,ef 2o ano,48.0
27,acessocampolargokids,ef 3o ano,56.0
28,acessocampolargokids,ef 4o ano,60.0
29,acessocampolargokids,ef 5o ano,64.0
30,acessocampolargokids,outro,48.0
31,acessofazendariogrande,ef 2o ano,19.0
32,acessofazendariogrande,ef 3o ano,89.0
33,acessofazendariogrande,ef 4o ano,78.0
34,acessofazendariogrande,ef 5o ano,113.0
35,acessofazendariogrande,ef 6o ano,172.0
36,acessofazendariogrande,ef 7o ano,180.0
37,acessofazendariogrande,ef 8o ano,157.0
38,acessofazendariogrande,ef 9o ano,655.0
39,acessofazendariogrande,em 1a serie,880.0
40,acessofazendariogrande,em 2a serie,877.0
41,acessofazendariogrande,em 3a serie,668.0
42,acessofazendariogrande,outro,668.0
43,acessohauer,ef 2o ano,48.0
44,acessohauer,ef 3o ano,56.0
45,acessohauer,ef 4o ano,50.0
46,acessohauer,ef 5o ano,109.0
47,acessohauer,ef 6o ano,136.0
48,acessohauer,ef 7o ano,130.66666666666666
49,acessopinhais,em 1a serie,848.0
50,acessopinhais,em 2a serie,843.0
51,acessopinhais,em 3a serie,668.0
52,acessopinhais,outro,668.0
53,acessosantafelicidade,ef 2o ano,48.0
54,acessosantafelicidade,ef 3o ano,78.0
55,acessosantafelicidade,ef 4o ano,60.0
56,acessosantafelicidade,ef 5o ano,121.0
57,acessosantafelicidade,ef 6o ano,170.0
58,acessosantafelicidade,ef 7o ano,191.0
59,acessosantafelicidade,ef 8o ano,159.0
60,acessosantafelicidade,ef 9o ano,435.0
61,acessosantafelicidade,em 1a serie,840.0
62,acessosantafelicidade,em 2a serie,845.0
63,acessosantafelicidade,em 3a serie,668.0
64,acessosantafelicidade,outro,668.0
65,acessosjpinhais,ef 2o ano,71.25
66,acessosjpinhais,ef 3o ano,58.25
67,acessosjpinhais,ef 4o ano,59.42857142857143
68,acessosjpinhais,ef 5o ano,159.0
69,acessosjpinhais,ef 6o ano,181.66666666666666
70,acessosjpinhais,ef 7o ano,199.0
71,acessosjpinhais,ef 8o ano,191.0
72,acessosjpinhais,ef 9o ano,303.0
73,acessosjpinhais,em 1a serie,884.0
74,acessosjpinhais,em 2a serie,853.0
75,acessosjpinhais,em 3a serie,635.0
76,acessosjpinhais,outro,635.0
77,adrianochan,outro,391.175
78,aescobjetivo,ef 1o ano,67.0
79,aescobjetivo,ef 2o ano,89.5
80,aescobjetivo,ef 3o ano,105.0
81,aescobjetivo,ef 4o ano,88.5
82,aescobjetivo,ef 5o ano,151.5
83,aescobjetivo,ef 6o ano,321.0
84,aescobjetivo,ef 7o ano,297.5
85,aescobjetivo,ef 8o ano,353.0
86,aescobjetivo,ef 9o ano,378.0
87,aescobjetivo,em 1a serie,434.6666666666667
88,aescobjetivo,em 2a serie,807.8
89,aescobjetivo,em 3a serie,1253.0
90,amadeus,ef 2o ano,90.0
91,amadeus,ef 3o ano,100.0
92,amadeus,ef 4o ano,92.0
93,amadeus,ef 5o ano,93.0
94,amadeus,ef 6o ano,198.66666666666666
95,amadeus,ef 7o ano,275.0
96,amadeus,ef 8o ano,207.66666666666666
97,amadeus,ef 9o ano,117.86666666666666
98,amadeus,em 1a serie,229.4
99,amadeus,em 2a serie,288.0
100,amadeus,em 3a serie,20.0
101,amais,em 3a serie,176.0
102,amais,outro,395.0
103,amaisteste,ef 3o ano,28.0
104,amaisteste,ef 6o ano,12.0
105,amaisteste,ef 9o ano,5.0
106,amaisteste,em 1a serie,5.0
107,amaisteste,em 3a serie,5.0
108,apogeustoantonio2,ef 9o ano,91.0
109,apogeustoantonio2,outro,250.07692307692307
110,aprovest,outro,51.0
111,beityaacov,em 3a serie,95.0
112,brasilcursinhos,outro,148.33333333333334
113,camerinocursos,outro,10.0
114,casdinhosjc,ef 8o ano,287.0
115,casdinhosjc,ef 9o ano,172.0
116,casdvest,outro,129.66666666666666
117,cats,outro,195.0
118,cbpdigital,ef 2o ano,150.0
119,cbpdigital,ef 3o ano,150.0
120,cbpdigital,ef 4o ano,166.5
121,cbpdigital,ef 5o ano,169.5
122,cbpdigital,ef 6o ano,194.0
123,cbpdigital,ef 7o ano,108.5
124,cbpdigital,ef 8o ano,141.33333333333334
125,cbpdigital,ef 9o ano,132.0
126,ceabb,ef 3o ano,55.0
127,ceabb,ef 4o ano,10.0
128,ceabb,ef 5o ano,10.0
129,ceabb,ef 6o ano,198.0
130,ceabb,ef 7o ano,201.0
131,ceabb,ef 8o ano,188.0
132,ceabb,ef 9o ano,179.0
133,cecbdf,em 1a serie,201.0
134,cecbdf,em 2a serie,221.0
135,cecbdf,em 3a serie,241.0
136,ceespacolivre,ef 5o ano,54.0
137,ceespacolivre,ef 6o ano,93.0
138,ceespacolivre,ef 7o ano,84.0
139,ceespacolivre,ef 8o ano,78.0
140,ceespacolivre,ef 9o ano,64.0
141,ceespacolivre,em 1a serie,115.0
142,ceespacolivre,em 2a serie,71.5
143,cem,ef 2o ano,72.0
144,cem,ef 3o ano,64.0
145,cem,ef 4o ano,77.0
146,cem,ef 5o ano,79.0
147,cem,ef 6o ano,103.0
148,cem,ef 7o ano,92.0
149,cem,ef 8o ano,86.0
150,cem,ef 9o ano,111.0
151,cem,em 1a serie,136.0
152,cem,em 2a serie,125.0
153,cem,em 3a serie,111.0
154,ceprimeiromundo,ef 1o ano,20.0
155,ceprimeiromundo,ef 2o ano,1.0
156,ceprimeiromundo,ef 3o ano,26.666666666666668
157,ceprimeiromundo,ef 4o ano,35.333333333333336
158,ceprimeiromundo,ef 5o ano,24.333333333333332
159,ceprimeiromundo,ef 6o ano,103.66666666666667
160,ceprimeiromundo,ef 7o ano,120.0
161,ceprimeiromundo,ef 8o ano,121.71428571428571
162,ceprimeiromundo,ef 9o ano,107.57142857142857
163,ceprimeiromundo,em 1a serie,249.6
164,ceprimeiromundo,em 2a serie,243.66666666666666
