,namespace,grade,Tempo de correção por aluno por questão
0,acessoalmirantetamandare,ef 5o ano,0 days 00:22:51.269578
1,acessoalmirantetamandare,ef 6o ano,0 days 03:15:51.592873800
2,acessoalmirantetamandare,ef 7o ano,0 days 01:29:10.170030
3,acessoalmirantetamandare,ef 9o ano,0 days 01:06:06.360122
4,acessoalmirantetamandare,em 1a serie,0 days 02:46:28.180070666
5,acessoalmirantetamandare,em 2a serie,0 days 03:32:40.397845
6,acessocampolargo,ef 7o ano,0 days 01:46:58.886820800
7,acessocampolargo,ef 8o ano,0 days 01:17:17.031381
8,acessocampolargo,ef 9o ano,0 days 02:32:34.169899400
9,acessocampolargo,em 1a serie,0 days 01:14:58.759793250
10,acessocampolargo,em 2a serie,0 days 02:32:43.117564400
11,acessocampolargokids,ef 5o ano,0 days 00:41:34.062401200
12,acessofazendariogrande,ef 5o ano,0 days 04:18:45.709813666
13,acessofazendariogrande,ef 8o ano,0 days 07:34:05.683774
14,acessohauer,ef 5o ano,0 days 01:07:47.140651571
15,acessohauer,ef 7o ano,0 days 01:07:18.986420555
16,acessosantafelicidade,ef 5o ano,0 days 00:51:30.015888500
17,acessosantafelicidade,ef 8o ano,0 days 09:47:08.074776333
18,acessosjpinhais,ef 7o ano,0 days 01:30:13.896946
19,acessosjpinhais,ef 9o ano,0 days 00:33:30.809392666
20,acessosjpinhais,em 2a serie,0 days 01:15:18.937341
21,aescobjetivo,ef 1o ano,0 days 01:58:20.234811
22,aescobjetivo,ef 2o ano,0 days 00:59:15.419889400
23,aescobjetivo,ef 3o ano,0 days 00:31:11.643383
24,aescobjetivo,ef 4o ano,0 days 00:08:06.219848
25,amadeus,ef 3o ano,0 days 00:56:47.708308500
26,amadeus,ef 6o ano,0 days 06:56:29.028977714
27,amadeus,ef 7o ano,0 days 00:05:57.272107500
28,amadeus,ef 8o ano,0 days 14:26:33.811862625
29,amadeus,ef 9o ano,4 days 08:56:59.538858523
30,cbpdigital,ef 3o ano,0 days 00:02:46.090292500
31,cbpdigital,ef 4o ano,0 days 00:11:23.934187500
32,cbpdigital,ef 5o ano,0 days 00:16:49.264997500
33,ceespacolivre,ef 5o ano,0 days 07:29:55.208023
34,ceespacolivre,ef 7o ano,0 days 16:45:09.151614200
35,ceespacolivre,em 1a serie,0 days 06:15:46.113063250
36,ceespacolivre,em 2a serie,0 days 09:40:30.368939421
37,ciadosaber,ef 6o ano,0 days 20:21:35.009736
38,colegioalphaunis,ef 6o ano,0 days 12:25:50.999400
39,colegioalphaunis,ef 7o ano,0 days 07:32:07.670142
40,colegioalphaunis,ef 8o ano,0 days 03:47:18.213198625
41,colegioalphaunis,ef 9o ano,0 days 00:51:35.377557727
42,colegiobatistaindependente,ef 7o ano,0 days 01:52:16.069560166
43,colegiobatistaindependente,ef 8o ano,1 days 10:22:36.100390
44,colegiobatistaindependente,ef 9o ano,0 days 01:18:30.523693200
45,colegiobatistaindependente,em 1a serie,0 days 12:08:47.669448200
46,colegiobatistaindependente,em 2a serie,0 days 08:43:20.591252
47,colegiobatistaindependente,em 3a serie,0 days 07:23:48.243876
48,colegiobatistaindependente,outro,-1 days +23:59:54.278129
49,colegiobetelbrasileirosp,ef 1o ano,0 days 11:09:11.360454
50,colegiobetelbrasileirosp,ef 6o ano,0 days 02:28:46.247036500
51,colegiobetelbrasileirosp,ef 7o ano,0 days 13:02:13.829574142
52,colegiobetelbrasileirosp,ef 8o ano,0 days 01:17:55.748995142
53,colegiobetelbrasileirosp,ef 9o ano,0 days 11:34:20.521917625
54,colegiobetelbrasileirosp,em 1a serie,0 days 06:44:13.247236363
55,colegiobetelbrasileirosp,em 2a serie,0 days 06:16:26.790371875
56,colegiobetelbrasileirosp,em 3a serie,0 days 21:21:24.984875
57,colegiobilac,ef 4o ano,0 days 00:12:39.642570500
58,colegiobilac,ef 6o ano,0 days 02:02:06.633027818
59,colegiobilac,ef 7o ano,0 days 01:05:25.617752
60,colegiobilac,ef 8o ano,0 days 03:19:27.054313500
61,colegiobilac,ef 9o ano,0 days 03:08:10.913599727
62,colegiobrasilia,em 1a serie,0 days 01:20:05.682933
63,colegiocb,ef 6o ano,0 days 01:16:47.904730333
64,colegiocb,ef 7o ano,0 days 00:20:54.745788500
65,colegiocb,ef 8o ano,-1 days +23:57:21.016929500
66,colegiocb,ef 9o ano,0 days 00:26:03.329422
67,colegiocb,em 2a serie,0 days 00:53:38.651868
68,colegiocb,em 3a serie,0 days 01:41:43.187858
69,colegiodasamericas,ef 6o ano,0 days 01:29:07.996334
70,colegiodasamericas,ef 7o ano,0 days 00:05:24.423348750
71,colegiodasamericas,ef 8o ano,1 days 14:23:25.706248166
72,colegiodasamericas,ef 9o ano,0 days 03:21:01.647892750
73,colegiodasamericas,em 1a serie,0 days 03:57:55.178374750
74,colegiodasamericas,em 2a serie,0 days 12:26:58.608942500
75,colegiodasamericas,em 3a serie,0 days 07:03:44.176942750
