,namespace,Porcentagem de administrantes que visualizaram relatórios de AA
0,abb,0.0
1,abdiasmartins,0.0
2,abgarrenault,0.0
3,abiliomartins,0.0
4,abm,0.0
5,academia,0.0
6,academiaboaviagem,0.0
7,academiacrista,0.0
8,academiadasespecificas,0.0
9,academicgeek,0.0
10,acesso,0.0
11,acessoalmirantetamandare,0.13793103448275862
12,acessoapogeu,0.0
13,acessoboqueirao,0.14705882352941177
14,acessocampolardo,0.0
15,acessocampolargo,0.1
16,acessocampolargokids,0.05555555555555555
17,acessoemilianoperneta,0.0
18,acessofazendariogrande,0.1
19,acessohauer,0.08695652173913043
20,acessopinhais,0.13333333333333333
21,acessoportao,0.09090909090909091
22,acessosantafelicidade,0.23529411764705882
23,acessosjpinhais,0.21052631578947367
24,acqio,0.0
25,adeajuda,0.0
26,adilsonfranco,0.0
27,adrianochan,0.8461538461538461
28,adventistacaxias,0.0
29,adventus,0.0
30,aeai,0.0
31,aees,0.0
32,aescobjetivo,0.631578947368421
33,agape,0.0
34,agathos,0.0
35,agoramath,0.0
36,agostiniano,0.0
37,aguiasdosaber,0.0
38,ahuscao,0.0
39,akmaestra,0.0
40,albertocabral,0.0
41,albertsabin,0.0
42,alfacembilingue,0.0
43,alferomendes,0.0
44,alfeurosa,0.0
45,almirantebarroso,0.0
46,alpha,0.0
47,alphaacompanhamento,0.0
48,alpheurosa,0.0
49,alternativocursoecolegio,0.0
50,alura,0.0
51,amadeus,0.2631578947368421
52,amais,0.03
53,amaismaker,0.0
54,amaisteste,0.0
55,americanobatistadapraiadacosta,0.0
56,analise,0.0
57,anchieta,0.0
58,anchietaba,0.0
59,anglocassianoricardo,0.0
60,anglojacarei,0.0
61,anima,0.0
62,animalnaopercebe,0.0
63,anossaatmosfera,0.0
64,antaresbarbosadefreitas,0.0
65,antaresfatima,0.0
66,antaresirmamaria,0.0
67,antaresjardins,0.0
68,antarespapicu,0.0
69,antarespraiadeiracema,0.0
70,antaressantosdumont,0.0
71,antaresseisbocas,0.0
72,antoniairene,0.0
73,antoniocesar,0.0
74,antoniolima,0.0
75,antoniomelo,0.0
76,antonioportela,0.0
77,antoniovieira,0.0
78,anyway,0.0
79,aocubo,0.0
80,aocubovestibular,0.0
81,aog,0.0
82,apogeu,0.0
83,apogeuarcoiris,0.0
84,apogeubenfica,0.0
85,apogeucemap,0.0
86,apogeudivinopolis,0.0
87,apogeumbcursos,0.0
88,apogeunovohorizonte,0.0
89,apogeuparademinas,0.0
90,apogeupiaget,0.0
91,apogeupousoalegre,0.0
92,apogeustoantonio1,0.0
93,apogeustoantonio2,0.34615384615384615
94,apogeuuba,0.0
95,apotec,0.0
96,aprendaquimica,0.0
97,aprendemesmo,0.0
98,aprovest,0.5
99,arbos,0.0
100,arbosscs,0.0
101,arcadenoe,0.0
102,arco,0.0
103,arena,0.0
104,aridesa,0.0
105,arlindocavalcanti,0.0
106,arp,0.0
107,arquidiocesano,0.0
108,arturferreira,0.0
109,arturtavares,0.0
110,asario,0.0
111,asdfghfdsa,0.0
112,asjiu,0.0
113,assisbrasil,0.0
114,ateneulondrina,0.0
115,ativaaprendizagem,0.0
116,atmo,0.0
117,atuall,0.0
118,augustolaranja,0.0
119,aurora,0.0
120,autores,0.0
121,auxiliadorarj,0.0
122,avaliacaoapogeu,0.0
123,babycamp,0.0
124,babyhouse,0.0
125,bahema,0.0
126,bancodequestoes,0.0
127,bancodequestoesgratuito,0.0
128,baraodemaua,0.0
129,barquinhodepapeldf,0.0
130,barraazul,0.0
131,barradevbarranull,0.0
132,batistaagnusdei,0.0
133,batistaburitis,0.0
134,batistadaprimeira,0.0
135,batistaibicui,0.0
136,batistaindependente,0.0
137,batistamaranata,0.0
138,batistanovasiao,0.0
139,batistaregular,0.0
140,batistariopretense,0.0
141,batistasantosdumont,0.0
142,batistasaovicente,0.0
143,batistashalon,0.0
144,batistavistaalegre,0.0
145,beityaacov,0.6666666666666666
146,benjaminconstant,0.0
147,benjamitacardona,0.0
148,berlaar,0.0
149,bernardosayao,0.0
150,bertelsmann,0.0
151,betesda,0.0
152,betuel,0.0
153,bilac,0.0
154,biologiabarauna,0.0
155,biologiaprofluis,0.0
156,blueschooleducacional,0.0
157,blumenaucoc,0.0
158,boaviagem,0.0
159,bondienglish,0.0
160,bonfim,0.0
161,borapassar,0.0
162,borgesamorim,0.0
163,bosquemananciais,0.0
164,bozano,0.0
165,bragaenglish,0.0
166,brasilcursinhos,0.17647058823529413
167,brasilsoft,0.0
168,buddys,0.0
169,bumerangeprofissoes,0.0
170,buser,0.0
171,c7s,0.0
172,cacbab,0.0
173,cadern,0.0
174,calculo2,0.0
175,cam,0.0
176,camerinocursos,1.0
177,camp,0.0
178,campeia,0.0
179,campossalles,0.0
180,canalrevisao,0.0
181,capacitacaoinspira,0.0
182,capellakids,0.0
183,cappta,0.0
184,cardealarcoverde,0.0
185,carlospicaza,0.0
186,carpediem,0.0
187,cascavelense,0.0
188,casdinhosjc,0.25
189,casdvest,0.17142857142857143
190,castelinhodosaber,0.0
191,castelodeeducacao,0.0
192,castroalves,0.0
193,catamaravita,0.0
194,catarinense,0.0
195,catolica,0.0
196,cats,1.0
197,caur,0.0
198,cav,0.0
199,cbas,0.0
200,cbatistanovasiao,0.0
201,cbbrasileiro,0.0
202,cbic,0.0
203,cbpalmas,0.0
204,cbpdigital,0.8333333333333334
205,ccdivitoriaregia,0.0
206,cce,0.0
207,cci,0.0
208,ccncertificadora,0.0
209,ccpa,0.0
210,ccserrinha,0.0
211,cct,0.0
212,cdf,0.0
213,cdi,0.0
214,ceabb,0.5
215,ceac,0.0
216,cealegriadesaber,0.0
217,ceantenorreis,0.0
218,ceantoniocarlosmagalhaes,0.0
219,cearacruz,0.0
220,ceasf,0.0
221,cebeijaflor,0.0
222,cebnossasenhoraaparecida,0.0
223,cebnsa,0.0
224,cecb,0.5
225,cecbdf,1.0
226,ceccataguases,0.0
227,cecenecista,0.0
228,cecgama,0.0
229,cecharlesdarwin,0.0
230,cedac,0.0
231,cedecisivo,0.0
232,ceescolita,0.0
233,ceespacolivre,0.5
234,cefa,0.0
235,cegetsemani,0.0
236,cei,0.0
237,ceitaipaiva,0.0
238,ceivanilsoncosta,0.0
239,cejosueroberto,0.0
240,cekerigma,0.0
241,celauracabral,0.0
242,celp,0.0
243,cem,0.7142857142857143
244,cema,0.0
245,cemanoelgoncalves,0.0
246,cemardf,0.0
247,cemaristasaojose,0.0
248,cemj,0.0
249,cemluciamayvore,0.0
250,cemonza,0.0
251,cempacanguaretamarn,0.0
252,cenaza,0.0
253,cenecistaml,0.0
254,cenic,0.0
255,cenpec,0.0
256,censic,0.0
257,centec,0.0
258,centreensinoetreinamento,0.0
259,centroarcadenoe,0.0
260,centrodeensinomoderno,0.0
261,centrodeensinosementinhadofuturo,0.0
262,centrodeensinoserrano,0.0
263,centroeaviv,0.0
264,centroedcordeiro,0.0
265,centroeditalva,0.0
266,centroeducacionalaprendiz,0.0
267,centroeducacionalaviv,0.0
268,centroeducacionalbrasileirinho,0.0
269,centroeducacionalimpar,0.0
270,centroeducacionalinovacao,0.0
271,centroeducacionalkolping,0.0
272,centroeducacionalmeta,0.0
273,centroeducacionalsonhodedeus,0.0
274,centroedupincelmagico,0.0
275,centroescolaranamelia,0.0
276,centrosuperiordetecnologia,0.0
277,cep,0.0
278,cepaulista,0.0
279,cepaulofreire,0.0
280,cepe,0.0
281,cepep,0.0
282,ceportoseguro,0.0
283,cepotencial,0.0
284,cepquinzedenovembro,0.0
285,ceprabotucatu,0.0
286,cepresbiterianodebayeux,0.0
287,ceprimeiromundo,0.3125
288,ceprojetar,0.0
289,cepvilhena,0.0
290,cerecantointerativo,0.0
291,ceribeirogil,0.0
292,cermac,0.0
293,certus,0.0
294,cesaber,0.0
295,cesc,0.0
296,cesemeando,0.0
