,namespace,Porcentagem de visualização de relatórios de AA
0,acesso,0.0
1,acessoalmirantetamandare,0.5221418234442836
2,acessoboqueirao,0.3970269235676917
3,acessocampolargo,0.5137555982085733
4,acessocampolargokids,0.37058823529411766
5,acessoemilianoperneta,0.0
6,acessofazendariogrande,0.4460919540229885
7,acessohauer,0.6166710910538891
8,acessopinhais,0.40893719806763285
9,acessosantafelicidade,0.4271736331645352
10,acessosjpinhais,0.42710997442455245
11,adrianochan,0.2257228587015821
12,aescobjetivo,0.34310439910066604
13,albertsabin,0.0
14,alfacembilingue,0.0
15,alfeurosa,0.0
16,alpha,0.0
17,amadeus,0.30237451157198675
18,amais,0.0
19,amaismaker,0.0
20,amaisteste,0.058823529411764705
21,anchietaba,0.0
22,anossaatmosfera,0.0
23,apogeubenfica,0.0
24,apogeupousoalegre,0.0
25,apogeustoantonio1,0.0
26,apogeustoantonio2,0.38759213759213756
27,aprovest,0.8588235294117647
28,arena,0.0
29,arlindocavalcanti,0.0
30,atmo,0.0
31,augustolaranja,0.0
32,avaliacaoapogeu,0.0
33,bahema,0.0
34,beityaacov,0.06666666666666667
35,benjaminconstant,0.0
36,bertelsmann,0.014285714285714285
37,blueschooleducacional,0.0
38,boaviagem,0.0
39,borapassar,0.0
40,bosquemananciais,0.0
41,brasilcursinhos,0.47005988023952094
42,camerinocursos,0.05052631578947368
43,capacitacaoinspira,0.0
44,casdinhosjc,0.4188991719434973
45,casdvest,0.049896408839779006
46,catamaravita,0.0
47,catarinense,0.0
48,cats,0.4393939393939394
49,caur,0.0
50,cav,0.0
51,cbpdigital,0.6688787185354691
52,ceabb,0.12743506493506493
53,cecbdf,0.0
54,ceespacolivre,0.6289825282631039
55,cem,0.7968694414799004
56,ceprimeiromundo,0.1766582230978516
57,cepseguro,0.0
58,cfc,0.0
59,cfimaculadaconceicao,0.0
60,charlesdarwin,0.0
61,ciadosaber,0.4305785123966942
62,classea,0.0
63,cmdpii,0.0
64,cnslpb,0.2569867619247741
65,cognita,0.0
66,cognitivo,0.0
67,colegioalbertsabin,0.0
68,colegioalphaunis,0.533447265625
69,colegioanchietai,0.0
70,colegioanchietaii,0.0
71,colegioarena,0.37029752899647
72,colegiobatistaindependente,0.6659574468085107
73,colegiobetelbrasileirosp,0.7605696484201158
74,colegiobianguloiv,0.0
75,colegiobilac,0.24060420787628126
76,colegiobrasilia,0.39611409923248925
77,colegiocb,0.6135764944275582
78,colegiocognos,0.0
79,colegiodasamericas,0.8471926083866382
80,colegiodelta,0.0
81,colegiodompedrosegundo,0.5555555555555556
82,colegiodosjesuitas,0.0
83,colegioeag,0.5683229813664596
84,colegioeccos,0.0
85,colegioecursodesafio,0.27347974837214434
86,colegioecursoprogressao,0.6077682981589583
87,colegioeducallis,0.45465686274509803
88,colegioensitec,0.6104567652973284
89,colegioexatus,0.0
90,colegioflamingo,0.45822911455727866
91,colegiofuturageracao,0.749400479616307
92,colegioglobal,0.7456579334707094
93,colegioguilhermedealmeida,0.4293239683933275
94,colegioiguatemy,0.4407288317256163
95,colegiointegral,0.7420138377741793
96,colegioitamarati,0.0
97,colegiojoaopaulo,0.5018677435638567
98,colegioliceu,0.05714285714285714
99,colegiomagnum,0.3377814845704754
100,colegiomarilia,0.0
101,colegiomartinus,0.0
102,colegiomodelo,0.0
103,colegiomundial,0.3629032258064516
104,colegionobre,0.0
105,colegionovageracao,0.2111111111111111
106,colegionovopatio,0.5462962962962963
107,colegiopadreeustaquio,0.0
108,colegiopassionista,0.0
109,colegiopioxii,0.0
110,colegioplanck,0.5830760849827492
111,colegiopremium,0.4681034482758621
112,colegioprogresso,0.0
113,colegioradar,0.0
114,colegioriobranco,0.0
115,colegiosaberviver,0.0
116,colegiosalesianorn,0.0
117,colegiosantadoroteia,0.0
118,colegiosantamaria,0.025
119,colegiosaojudas,0.0
120,colegiosaoluis,0.0
121,colegioser,0.2677496991576414
122,colegiosete,0.3957020418452231
123,colegiouirapuru,0.2943691037735849
124,colegiounidadejardim,0.0
125,colegiouniverso,0.5432378079436903
126,colegioup,0.42110029431741003
127,coleguium,0.0
128,colsantamaria,0.0
129,conexaosaber,0.11333941051352173
130,conib,0.0
131,contemporaneo,0.0
132,contemporaneocidadeverde,0.5257698541329011
133,contemporaneolagoanova,0.6340198963149782
134,cparaiso,0.04081632653061224
135,crb,0.2988708144669909
136,crescercampinas,0.46352718781274327
137,cruzeiro,0.0
138,culturainglesa,0.0
139,cursinhoeach,0.20408163265306123
140,cursobase,0.4090909090909091
141,cursoenfase,0.23275862068965517
142,cursoisfera,0.3888213851761847
143,cursoleopoldo,0.25193798449612403
144,cursoprogressao,0.16666666666666666
