,namespace,Porcentagem de relatórios de AA visualizados por docente
0,acessoalmirantetamandare,0.8867916659841325
1,acessoboqueirao,1.0
2,acessocampolargo,0.6666666666666666
3,acessocampolargokids,0.9416666666666667
4,acessofazendariogrande,0.7176434676434676
5,acessohauer,0.9924242424242423
6,acessopinhais,0.9722222222222222
7,acessosjpinhais,0.603819186854439
8,adrianochan,0.5432900432900433
9,aescobjetivo,0.6455816155352411
10,alfacembilingue,1.0
11,alpha,0.0
12,amadeus,0.6140497737556561
13,amais,1.0
14,amaisteste,0.3333333333333333
15,anchietaba,0.5
16,antoniomelo,0.0
17,aprovest,0.0
18,arlindocavalcanti,0.5
19,barraazul,0.0
20,beityaacov,1.0
21,brasilcursinhos,0.3333333333333333
22,casdinhosjc,0.5555555555555555
23,castelobruxo,0.0
24,cats,0.3333333333333333
25,cbpdigital,0.6121687239186862
26,ceabb,0.5689814814814814
27,ceespacolivre,0.8496753246753247
28,cem,0.7681482406482407
29,ceprimeiromundo,0.7020996368510376
30,charlesdarwin,0.0
31,ciadosaber,0.768119763093971
32,cnslpb,0.6532407407407407
33,cognitivo,0.0
34,colegioalphaunis,0.6759327973613688
35,colegioarena,0.110933198065551
36,colegiobatistaindependente,0.7728314852710013
37,colegiobetelbrasileirosp,0.9644727821198409
38,colegiobilac,0.8140054656978432
39,colegiobrasilia,0.7284278166026562
40,colegiocb,0.8027563018580116
41,colegiodasamericas,0.7997523456076088
42,colegioeag,0.625
43,colegioecursodesafio,0.5712258615567438
44,colegioecursoprogressao,0.8701324752555463
45,colegioeducallis,0.6504024934875999
46,colegioensitec,0.962218045112782
47,colegioflamingo,0.9390031874818894
48,colegiofuturageracao,0.8998746351687529
49,colegioglobal,0.7724015958978366
50,colegioguilhermedealmeida,1.0
51,colegioiguatemy,0.7002373463764832
52,colegiointegral,0.4885970063522729
53,colegiojoaopaulo,0.7867469176292706
54,colegiomagnum,0.0
55,colegiomartinus,0.0
56,colegionobre,1.0
57,colegionovageracao,0.0
58,colegiopremium,0.9041723356009072
59,colegioprogresso,0.0
60,colegioradar,0.0
61,colegiosantamaria,0.6666666666666666
62,colegioser,0.4
63,colegiosete,0.7118580765639589
64,colegiouirapuru,0.8091168932078023
65,colegiouniverso,0.5974920634920635
66,colegioup,0.5288006616665171
67,conexaosaber,0.8620650183150182
68,contemporaneo,0.5694444444444444
69,contemporaneocidadeverde,0.6742011278195489
70,contemporaneolagoanova,0.7313351771685106
71,cparaiso,1.0
72,crescercampinas,0.5020479650304212
73,cursinhoeach,0.125
74,cursoenfase,0.25
75,cursoisfera,0.42857142857142855
76,cursosazambuja,0.13015873015873014
77,deltaeducacional,0.20256005568505567
78,dommga,0.0
79,eacorcovado,0.8050595238095238
80,eccos,0.9455128205128206
81,educamais,0.0
82,educandarioterciocorreia,0.9446500498224635
83,educarse,0.013888888888888888
84,einsteinassis,0.6683857808857809
85,elitecuritibaemilianoperneta,0.6873737373737375
86,eluneonline,0.6666666666666666
87,escolaceciliameireles,0.48194444444444445
88,escolajardimdasnacoes,0.25
89,escolamaster,0.85
90,esperanza,0.0
91,estantemagica,0.0
92,faculdadeflamingo,0.8828151646333464
93,franciscopinto,0.0
94,galois,0.0
95,garra,0.4033333333333333
