,namespace,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Tempo de correção por aluno por questão,Tempo médio entre criação e publicação de AA por questão,Tempo médio entre publicação e ínicio de AA,Porcentagem de visualização de relatórios de AA,Porcentagem de relatórios de AA visualizados por docente,Porcentagem de administrantes que visualizaram relatórios de AA
0,pearson,1.0,1.0,6.0,0,0 days 00:00:47.319482500,-1 days +23:59:04.160353,0.0,0.0,1.0
1,sasadapt,1.0,2.0,8.0,0,0 days 00:01:24.190281250,0 days 00:01:31.155784,0.0208333333333333,0.1111111111111111,0.1
2,colegiobilac,0.9954990857517934,16.1,186.0,0 days 02:34:34.200078512,0 days 00:11:57.486642399,2 days 07:27:47.694933751,0.2406042078762812,0.8140054656978432,0.6
3,spdacruz,0.9839409550227858,6.089285714285714,104.08928571428572,0 days 14:24:33.218290402,0 days 00:48:27.767518159,4 days 10:53:19.910075575,0.7785556727726096,0.8492060572664021,0.3333333333333333
4,integra,0.9782657912610369,5.0,48.66666666666666,0 days 14:46:36.358221333,0 days 03:12:13.281811606,6 days 06:57:59.479658977,0.7616279069767442,0.9230769230769232,0.5
5,colegioeducallis,0.9633637074826183,1.84375,50.075,1 days 07:56:28.332620747,0 days 04:49:28.190064804,1 days 07:37:08.581042528,0.4562324929971988,0.6504024934875999,0.6296296296296297
6,colegionovageracao,0.9620253164556962,1.0,17.5,0,0 days 00:00:12.136444295,0 days 17:08:37.700908,0.2111111111111111,0.0,0.6
7,integradaeducativa,0.9595893135844784,2.5892857142857144,22.071428571428573,0 days 04:17:17.441636287,0 days 10:33:41.659539189,1 days 14:44:49.527897424,0.6721457130164371,0.8744894135219213,0.2
8,educandarioterciocorreia,0.9388394329047148,16.142857142857142,173.42857142857142,0 days 06:03:25.131077673,0 days 00:11:57.686382272,1 days 03:50:03.820714123,0.382661996497373,0.9446500498224636,0.3333333333333333
9,colegiocb,0.9334422726415688,5.075,49.675,0 days 00:45:27.482451133,0 days 00:05:55.172541108,4 days 11:48:20.336233015,0.6135764944275582,0.8027563018580116,0.5
10,colegiobetelbrasileirosp,0.9287914139057396,1.6517857142857142,8.714285714285714,0 days 08:58:12.260110596,0 days 00:32:34.152903866,4 days 01:02:09.812628345,0.7605696484201158,0.9644727821198408,0.6
11,colegioglobal,0.9273230294485382,7.521739130434782,83.91304347826087,0 days 03:55:59.241421733,0 days 01:33:04.660872414,5 days 08:09:32.799854572,0.7456579334707094,0.7724015958978366,0.625
12,progressaoig,0.9220716783216784,3.1746031746031744,42.68253968253968,0 days 03:25:52.549987833,0 days 00:04:32.797304493,3 days 20:45:33.114706890,1.076491092176607,0.8103989230602133,0.6
13,overlimaesilva,0.9195876288659792,5.785714285714286,67.78571428571429,0,0 days 00:01:09.431332204,0 days 22:13:19.377356370,0.7919762258543833,0.927933177933178,0.05
14,santamariacn,0.9180883142632904,5.0,162.4,0,0 days 04:46:30.504859972,3 days 21:53:42.171177440,0.5653939886271324,0.620907738095238,1.0
15,aprovest,0.9176470588235294,0.3333333333333333,51.0,0,0 days 00:00:18.639025117,0 days 02:54:49.610401,0.8588235294117647,0.0,0.5
