,namespace,Porcentagem de engajamento em AAs
169,pearson,1.0
209,sasadapt,1.0
44,colegiobilac,0.9954990857517934
218,spdacruz,0.9839409550227858
130,integra,0.9782657912610369
53,colegioeducallis,0.9633637074826185
68,colegionovageracao,0.9620253164556962
131,integradaeducativa,0.9595893135844784
102,educandarioterciocorreia,0.9388394329047148
46,colegiocb,0.9334422726415688
42,colegiobetelbrasileirosp,0.9287914139057396
57,colegioglobal,0.9273230294485382
195,progressaoig,0.9220716783216784
162,overlimaesilva,0.9195876288659793
204,santamariacn,0.9180883142632905
17,aprovest,0.9176470588235294
29,ceespacolivre,0.9172302737520129
179,pioxi,0.9155316967247723
30,cem,0.9151682543261372
45,colegiobrasilia,0.9145579625611897
60,colegiointegral,0.8911574060116374
48,colegiodasamericas,0.8906337633202468
52,colegioecursoprogressao,0.8855216394858338
3,acessocampolargokids,0.8844743276283619
197,psantagema,0.8813883139627448
56,colegiofuturageracao,0.8704361054766734
188,portoseguro,0.8677405311275577
194,progressaodc,0.8645409107737875
180,pioxiicolegio,0.8500443655723159
200,saberviver,0.8446601941747572
54,colegioensitec,0.8404704077719545
41,colegiobatistaindependente,0.8396188295508115
123,idaam,0.8334895052473763
78,colegiouirapuru,0.8238511665597461
26,cbpdigital,0.8231596185847486
25,cats,0.8138694638694639
55,colegioflamingo,0.8050518479127892
66,colegiomundial,0.7932148626817448
144,maplebearslz,0.786560595802302
105,einsteinassis,0.7691566928050626
134,isem,0.7545335897788158
132,invictus,0.7470483182855442
37,colegioalphaunis,0.7346250309088982
182,plannetataboao,0.7328706570916638
125,insa,0.7312035448827902
100,eccos,0.7232589340163434
187,porto,0.7053793842523186
23,casdinhosjc,0.6975399233868962
135,itamarati,0.6933333333333334
143,magister,0.6875643666323378
186,portinari,0.6800508967945478
192,prismapatrocinio,0.6796228783015003
19,beityaacov,0.6702127659574468
5,acessohauer,0.6701555458642244
35,cnslpb,0.666598507310091
80,colegioup,0.664626975742959
128,institutoeurofarma,0.6616915422885572
50,colegioeag,0.6601529311809685
226,villalobos,0.6563471703980099
87,crescercampinas,0.645080799646348
174,physicsbatistacampos,0.6385201346004511
145,mariliamattoso,0.6228312987885386
70,colegioplanck,0.6190651687677918
148,minhalista,0.6166666666666667
71,colegiopremium,0.6087352483588206
99,eacorcovado,0.6057692307692307
107,elitecuritibaemilianoperneta,0.6035451404536578
79,colegiouniverso,0.598169910062361
202,sagradafamilia,0.5937400191632066
160,overabelcabral,0.5904717436677163
199,rede,0.5833333333333334
97,dommga,0.5628277335404933
129,institutosaojose,0.556733660389302
172,physicsalmirantebarroso,0.5552862304110703
203,santadoroteia,0.5447002541486022
33,ciadosaber,0.5392866720300349
167,overzonanorte,0.5378425667839922
7,acessosantafelicidade,0.5349531908811549
175,physicscidadenova,0.5329725240220672
0,acessoalmirantetamandare,0.5274554726184317
176,physicsconselheirofurtado,0.5231430086325451
139,lasalleaguasclaras,0.516425176770604
224,universitariolondrina,0.5161123039573488
114,escolamaster,0.5144629671919008
126,institutoauxiliadoradf,0.5064233848445354
1,acessoboqueirao,0.500322219810675
189,positivoon,0.5
51,colegioecursodesafio,0.49970890360268794
142,macvest,0.498303647158609
84,contemporaneolagoanova,0.4979528549277962
163,overmarciliofurtado,0.4964687648602476
225,universobarcarena,0.49448168393974623
215,simuladoita,0.48948933374822806
63,colegiomagnum,0.4822384428223844
8,acessosjpinhais,0.48074784542674454
2,acessocampolargo,0.47945495220663004
77,colegiosete,0.47158874574498916
12,amadeus,0.4715770975410677
6,acessopinhais,0.4699591035815937
140,liessinbarra,0.4642857142857143
4,acessofazendariogrande,0.461347688542304
178,physicsumarizal,0.4597066785744188
177,physicsmacapa,0.4575131652947492
221,stellamarisxaxim,0.45162196492256584
98,domus,0.4462915601023018
10,aescobjetivo,0.4414846394288568
