,namespace,Número de AAs por turma
0,acessoalmirantetamandare,15.071428571428571
1,acessoboqueirao,10.421052631578947
2,acessocampolargo,19.5
3,acessocampolargokids,3.4285714285714284
4,acessofazendariogrande,19.666666666666668
5,acessohauer,8.384615384615385
6,acessopinhais,22.5
7,acessosantafelicidade,17.571428571428573
8,acessosjpinhais,9.205882352941176
9,adrianochan,0.09313725490196079
10,aescobjetivo,12.571428571428571
11,alfacembilingue,1.0
12,amadeus,5.8979591836734695
13,amais,4.333333333333333
14,amaisteste,1.2
15,anchietaba,1.0
16,apogeustoantonio2,1.6666666666666667
17,aprovest,0.3333333333333333
18,arlindocavalcanti,1.0
19,beityaacov,1.5
20,bertelsmann,1.5
21,brasilcursinhos,1.3529411764705883
22,camerinocursos,0.14285714285714285
23,casdinhosjc,1.7142857142857142
24,casdvest,2.0
25,castelobruxo,1.0
26,cats,3.0
27,cbpdigital,3.8214285714285716
28,ceabb,13.285714285714286
29,cecbdf,0.5
30,ceespacolivre,4.434782608695652
31,cem,13.384615384615385
32,ceprimeiromundo,4.472222222222222
33,charlesdarwin,2.0
34,ciadosaber,6.076923076923077
35,cmdpii,9.0
36,cnslpb,4.521739130434782
37,cognitivo,1.0
38,colegioalphaunis,8.75
39,colegioanchietai,2.25
40,colegioanchietaii,1.8
41,colegioarena,2.5
42,colegiobatistaindependente,12.45
43,colegiobetelbrasileirosp,1.6517857142857142
44,colegiobianguloiv,0.8181818181818182
45,colegiobilac,16.1
46,colegiobrasilia,9.279411764705882
47,colegiocb,5.075
48,colegiocognos,1.0
49,colegiodasamericas,1.6859504132231404
50,colegiodompedrosegundo,0.5
51,colegioeag,1.4285714285714286
52,colegioecursodesafio,8.74074074074074
53,colegioecursoprogressao,3.855614973262032
54,colegioeducallis,1.84375
55,colegioensitec,8.0
56,colegioflamingo,18.333333333333332
57,colegiofuturageracao,10.555555555555555
58,colegioglobal,7.521739130434782
59,colegioguilhermedealmeida,1.0666666666666667
60,colegioiguatemy,8.61111111111111
61,colegiointegral,4.875
62,colegiojoaopaulo,7.095238095238095
63,colegioliceu,1.5
64,colegiomagnum,0.46153846153846156
65,colegiomartinus,1.0
66,colegiomodelo,0.75
67,colegiomundial,0.6
68,colegionobre,1.0
69,colegionovageracao,1.0
70,colegionovopatio,0.8333333333333334
71,colegioplanck,2.1494252873563218
72,colegiopremium,5.777777777777778
73,colegioprogresso,1.0
74,colegioradar,1.0
75,colegioriobranco,1.0
76,colegiosantamaria,3.0
77,colegioser,2.0
78,colegiosete,8.878787878787879
79,colegiouirapuru,3.588235294117647
80,colegiouniverso,6.8
81,colegioup,11.7
82,conexaosaber,7.947368421052632
83,contemporaneo,3.0
84,contemporaneocidadeverde,7.8125
85,contemporaneolagoanova,5.764705882352941
86,cparaiso,1.0
87,crb,9.094594594594595
88,crescercampinas,6.377358490566038
89,cursinhoeach,1.0
90,cursobase,1.0
91,cursoenfase,1.2
92,cursoisfera,11.9
93,cursoleopoldo,0.4
94,cursoprogressao,1.0
95,cursosazambuja,0.6428571428571429
96,dante,0.3333333333333333
97,deltaeducacional,6.333333333333333
98,dommga,2.0
99,domus,1.0
100,eacorcovado,1.4
101,eccos,2.925925925925926
102,educamais,1.0
103,educandarioterciocorreia,16.142857142857142
104,educarse,5.0
105,eduqo,1.0
106,einsteinassis,10.857142857142858
107,elitecuritiba,0.125
108,elitecuritibaemilianoperneta,12.6
109,eluneonline,0.6666666666666666
110,equipe,1.0
111,escola,1.0
112,escolaceciliameireles,8.8
113,escoladeimpacto,0.6666666666666666
114,escolajardimdasnacoes,2.0
115,escolamaster,1.5
116,esperanza,1.0
117,estantemagica,1.0
118,faculdadeflamingo,3.25
119,fleming,2.0
120,francobrasileiro,2.6666666666666665
121,fundacaobradesco,1.0
122,galois,1.0
123,garra,6.0
124,gerabixo,2.0
