,namespace,numero_ex
0,acessoalmirantetamandare,263.2857142857143
1,acessoboqueirao,419.6842105263158
2,acessocampolargo,478.125
3,acessocampolargokids,56.57142857142857
4,acessofazendariogrande,379.6666666666667
5,acessohauer,95.53846153846153
6,acessopinhais,756.75
7,acessosantafelicidade,330.92857142857144
8,acessosjpinhais,205.64705882352942
9,adrianochan,390.578431372549
10,aescobjetivo,459.92857142857144
11,alfacembilingue,3.0
12,amadeus,137.6530612244898
13,amais,250.33333333333334
14,amaisteste,11.0
15,anchietaba,24.0
16,apogeustoantonio2,228.86666666666667
17,aprovest,51.0
18,arlindocavalcanti,12.0
19,beityaacov,50.0
20,bertelsmann,10.0
21,brasilcursinhos,90.52941176470588
22,camerinocursos,10.0
23,casdinhosjc,188.42857142857142
24,casdvest,108.83333333333333
25,castelobruxo,1.0
26,cats,195.0
27,cbpdigital,69.75
28,ceabb,120.14285714285714
29,cecbdf,221.0
30,ceespacolivre,75.95652173913044
31,cem,84.6923076923077
32,ceprimeiromundo,127.375
33,charlesdarwin,5.0
34,ciadosaber,63.34615384615385
35,cmdpii,663.0
36,cnslpb,106.30434782608695
37,cognitivo,3.0
38,colegioalphaunis,159.41666666666666
39,colegioanchietai,216.0
40,colegioanchietaii,173.0
41,colegioarena,52.30769230769231
42,colegiobatistaindependente,150.25
43,colegiobetelbrasileirosp,8.714285714285714
44,colegiobianguloiv,181.0
45,colegiobilac,186.0
46,colegiobrasilia,170.2941176470588
47,colegiocb,49.675
48,colegiocognos,3.0
49,colegiodasamericas,15.297520661157025
50,colegiodompedrosegundo,78.0
51,colegioeag,12.0
52,colegioecursodesafio,120.85185185185185
53,colegioecursoprogressao,34.22994652406417
54,colegioeducallis,50.075
55,colegioensitec,85.1875
56,colegioflamingo,256.0
57,colegiofuturageracao,101.11111111111111
58,colegioglobal,83.91304347826087
59,colegioguilhermedealmeida,30.2
60,colegioiguatemy,123.66666666666667
61,colegiointegral,97.47222222222223
62,colegiojoaopaulo,219.04761904761904
63,colegioliceu,221.0
64,colegiomagnum,220.6153846153846
65,colegiomartinus,3.0
66,colegiomodelo,3.75
67,colegiomundial,60.8
68,colegionobre,3.0
69,colegionovageracao,17.5
70,colegionovopatio,57.0
71,colegioplanck,47.47126436781609
72,colegiopremium,130.55555555555554
73,colegioprogresso,2.0
74,colegioradar,3.0
75,colegioriobranco,2.0
76,colegiosantamaria,12.0
77,colegioser,51.333333333333336
78,colegiosete,175.87878787878788
79,colegiouirapuru,44.31372549019608
80,colegiouniverso,312.8
81,colegioup,170.73333333333332
82,conexaosaber,69.0
83,contemporaneo,46.0
84,contemporaneocidadeverde,183.625
85,contemporaneolagoanova,220.58823529411765
86,cparaiso,3.5
87,crb,229.0
88,crescercampinas,108.24528301886792
89,cursinhoeach,50.0
90,cursobase,50.0
91,cursoenfase,221.0
