,namespace,Semana,Porcentagem de visualização de relatórios de AA
0,acesso,23,0.0
1,acesso,24,0.0
2,acesso,25,0.0
3,acesso,27,0.0
4,acesso,30,0.0
5,acesso,31,0.0
6,acesso,32,0.0
7,acesso,33,0.0
8,acesso,34,0.0
9,acesso,35,0.0
10,acessoalmirantetamandare,23,0.6186186186186187
11,acessoalmirantetamandare,24,0.727735368956743
12,acessoalmirantetamandare,25,0.461038961038961
13,acessoalmirantetamandare,26,0.4250871080139373
14,acessoalmirantetamandare,27,0.43519781718963163
15,acessoalmirantetamandare,30,0.5280898876404494
16,acessoalmirantetamandare,31,0.7378048780487805
17,acessoalmirantetamandare,32,0.6832579185520362
18,acessoalmirantetamandare,33,0.6205533596837944
19,acessoalmirantetamandare,34,0.4015748031496063
20,acessoalmirantetamandare,35,0.08035714285714286
21,acessoboqueirao,23,0.6092636579572447
22,acessoboqueirao,24,0.7098765432098766
23,acessoboqueirao,25,0.33630221130221133
24,acessoboqueirao,26,0.34245562130177515
25,acessoboqueirao,27,0.23948220064724918
26,acessoboqueirao,28,0.12307692307692308
27,acessoboqueirao,29,0.5493827160493827
28,acessoboqueirao,30,0.44214372716199757
29,acessoboqueirao,31,0.7917570498915402
30,acessoboqueirao,32,0.6787383177570093
31,acessoboqueirao,33,0.6198428290766208
32,acessoboqueirao,34,0.37485311398354876
33,acessoboqueirao,35,0.014563106796116505
34,acessocampolargo,23,0.602880658436214
35,acessocampolargo,24,0.6879659211927582
36,acessocampolargo,25,0.6
37,acessocampolargo,26,0.6386946386946387
38,acessocampolargo,27,0.20927152317880796
39,acessocampolargo,30,0.4666666666666667
40,acessocampolargo,31,0.9507389162561576
41,acessocampolargo,32,0.5614035087719298
42,acessocampolargo,33,0.7308781869688386
43,acessocampolargo,34,0.6065989847715736
44,acessocampolargo,35,0.10112359550561797
45,acessocampolargokids,23,1.0
46,acessocampolargokids,24,1.0
47,acessocampolargokids,25,1.0
48,acessocampolargokids,26,0.22916666666666666
49,acessocampolargokids,27,0.3793103448275862
50,acessocampolargokids,31,0.3275862068965517
51,acessocampolargokids,32,0.3103448275862069
52,acessocampolargokids,33,0.2413793103448276
53,acessocampolargokids,34,0.4
54,acessoemilianoperneta,23,0.0
55,acessoemilianoperneta,24,0.0
56,acessoemilianoperneta,25,0.0
57,acessoemilianoperneta,26,0.0
58,acessoemilianoperneta,27,0.0
59,acessoemilianoperneta,29,0.0
60,acessoemilianoperneta,30,0.0
61,acessoemilianoperneta,31,0.0
62,acessoemilianoperneta,32,0.0
63,acessoemilianoperneta,33,0.0
64,acessoemilianoperneta,34,0.0
65,acessofazendariogrande,23,0.5363748458692972
66,acessofazendariogrande,24,0.696319018404908
67,acessofazendariogrande,25,0.38654934003771213
68,acessofazendariogrande,26,0.43742255266418834
69,acessofazendariogrande,27,0.33712737127371273
70,acessofazendariogrande,30,0.6136363636363636
71,acessofazendariogrande,31,0.7619047619047619
72,acessofazendariogrande,32,0.6691729323308271
73,acessofazendariogrande,33,0.6827094474153298
74,acessofazendariogrande,34,0.38719068413391555
75,acessofazendariogrande,35,0.03409090909090909
76,acessohauer,23,0.5442477876106194
77,acessohauer,24,0.4530321046373365
78,acessohauer,25,0.7123287671232876
79,acessohauer,26,0.41304347826086957
80,acessohauer,27,0.8045738045738046
81,acessohauer,29,0.7857142857142857
82,acessohauer,31,0.7012578616352201
83,acessohauer,32,0.729064039408867
84,acessohauer,33,0.6289308176100629
85,acessohauer,34,0.6017699115044248
86,acessopinhais,23,0.35877862595419846
87,acessopinhais,24,0.7255813953488373
88,acessopinhais,25,0.3833943833943834
89,acessopinhais,26,0.40988372093023256
90,acessopinhais,27,0.2674033149171271
91,acessopinhais,30,0.8
92,acessopinhais,31,0.9302325581395349
93,acessopinhais,32,0.7769230769230769
94,acessopinhais,33,0.6336633663366337
95,acessopinhais,34,0.35944700460829493
96,acessopinhais,35,0.023316062176165803
97,acessosantafelicidade,23,0.6283704572098476
98,acessosantafelicidade,24,0.7089985486211902
99,acessosantafelicidade,25,0.36668116572422793
100,acessosantafelicidade,26,0.3415841584158416
101,acessosantafelicidade,27,0.2675893886966551
102,acessosantafelicidade,30,0.8541666666666666
103,acessosantafelicidade,31,0.7846153846153846
104,acessosantafelicidade,32,0.6832740213523132
105,acessosantafelicidade,33,0.6534017971758665
106,acessosantafelicidade,34,0.40974967061923584
107,acessosantafelicidade,35,0.029835390946502057
108,acessosjpinhais,23,0.5264462809917355
109,acessosjpinhais,24,0.5332114564290067
110,acessosjpinhais,25,0.4412737799834574
111,acessosjpinhais,26,0.4027777777777778
112,acessosjpinhais,27,0.3119086460032626
113,acessosjpinhais,28,0.16230366492146597
114,acessosjpinhais,29,0.37543859649122807
115,acessosjpinhais,30,0.6739130434782609
116,acessosjpinhais,31,0.6393897364771152
117,acessosjpinhais,32,0.6117256637168141
118,acessosjpinhais,33,0.6279826464208242
119,acessosjpinhais,34,0.3745113369820172
120,acessosjpinhais,35,0.09904761904761905
121,adrianochan,23,0.25675675675675674
122,adrianochan,24,0.2443762781186094
123,adrianochan,25,0.5657276995305164
124,adrianochan,26,0.4962825278810409
125,adrianochan,27,0.0
126,adrianochan,30,0.0
127,adrianochan,31,0.25621251071122536
128,adrianochan,32,0.19805825242718447
129,adrianochan,33,0.07337883959044368
130,adrianochan,34,0.10521500457456541
131,adrianochan,35,0.0
132,aescobjetivo,23,0.4190503432494279
133,aescobjetivo,24,0.505291908501195
134,aescobjetivo,25,0.08426966292134831
135,aescobjetivo,26,0.02967359050445104
136,aescobjetivo,28,0.9120879120879121
137,aescobjetivo,29,0.6142857142857143
138,aescobjetivo,30,0.698943661971831
139,aescobjetivo,31,0.5902616760516728
140,aescobjetivo,32,0.530550918196995
141,aescobjetivo,33,0.17106347897774113
142,aescobjetivo,34,0.09299895506792058
143,aescobjetivo,35,0.04654088050314465
144,albertsabin,23,0.0
145,albertsabin,24,0.0
146,albertsabin,25,0.0
147,albertsabin,27,0.0
148,albertsabin,28,0.0
149,albertsabin,29,0.0
150,albertsabin,30,0.0
151,albertsabin,32,0.0
152,albertsabin,33,0.0
153,albertsabin,34,0.0
154,albertsabin,35,0.0
155,alfacembilingue,23,0.0
156,alfacembilingue,24,0.0
157,alfacembilingue,25,0.0
158,alfacembilingue,27,0.0
159,alfacembilingue,28,0.0
160,alfacembilingue,29,0.0
161,alfacembilingue,30,0.0
162,alfacembilingue,32,0.0
163,alfacembilingue,33,0.0
164,alfacembilingue,34,0.0
165,alfacembilingue,35,0.0
166,alfeurosa,23,0.0
167,alfeurosa,24,0.0
168,alfeurosa,25,0.0
169,alfeurosa,26,0.0
170,alfeurosa,27,0.0
171,alfeurosa,28,0.0
172,alfeurosa,31,0.0
173,alfeurosa,32,0.0
174,alfeurosa,33,0.0
175,alfeurosa,35,0.0
176,alpha,23,0.0
177,alpha,24,0.0
178,alpha,25,0.0
179,alpha,26,0.0
180,alpha,27,0.0
181,alpha,28,0.0
182,alpha,31,0.0
183,alpha,32,0.0
184,alpha,33,0.0
185,alpha,35,0.0
186,amadeus,23,0.4707623982235381
187,amadeus,24,0.23661033087360153
188,amadeus,26,0.0
189,amadeus,27,0.0
190,amadeus,29,0.030756442227763924
191,amadeus,30,0.1541436464088398
192,amadeus,31,0.15307057745187902
193,amadeus,32,0.8214285714285714
194,amadeus,33,0.8256658595641646
195,amadeus,34,0.40515106488360575
196,amadeus,35,0.11103542234332425
