,namespace,Semana,Porcentagem de relatórios de AA visualizados por docente
0,acessoalmirantetamandare,23,1.0
1,acessoalmirantetamandare,24,0.9523809523809523
2,acessoalmirantetamandare,25,1.0
3,acessoalmirantetamandare,26,1.0
4,acessoalmirantetamandare,27,0.9333333333333333
5,acessoalmirantetamandare,31,1.0
6,acessoalmirantetamandare,32,0.875
7,acessoalmirantetamandare,33,0.6
8,acessoalmirantetamandare,34,0.75
9,acessoalmirantetamandare,35,0.14285714285714285
10,acessoboqueirao,25,1.0
11,acessoboqueirao,29,1.0
12,acessoboqueirao,30,1.0
13,acessoboqueirao,31,1.0
14,acessoboqueirao,32,1.0
15,acessoboqueirao,33,1.0
16,acessoboqueirao,34,1.0
17,acessoboqueirao,35,1.0
18,acessocampolargo,24,1.0
19,acessocampolargo,25,0.5
20,acessocampolargo,26,1.0
21,acessocampolargo,32,0.0
22,acessocampolargo,35,1.0
23,acessocampolargokids,23,1.0
24,acessocampolargokids,24,1.0
25,acessocampolargokids,25,1.0
26,acessocampolargokids,26,1.0
27,acessocampolargokids,27,1.0
28,acessocampolargokids,31,1.0
29,acessocampolargokids,32,1.0
30,acessocampolargokids,33,1.0
31,acessocampolargokids,34,0.5
32,acessocampolargokids,35,0.0
33,acessofazendariogrande,23,1.0
34,acessofazendariogrande,24,1.0
35,acessofazendariogrande,25,0.8333333333333334
36,acessofazendariogrande,26,0.75
37,acessofazendariogrande,27,0.9375
38,acessofazendariogrande,31,0.75
39,acessofazendariogrande,32,0.8
40,acessofazendariogrande,33,1.0
41,acessofazendariogrande,34,0.6777777777777777
42,acessofazendariogrande,35,0.2
43,acessohauer,23,0.9
44,acessohauer,25,1.0
45,acessohauer,26,1.0
46,acessohauer,27,1.0
47,acessohauer,31,1.0
48,acessohauer,32,1.0
49,acessohauer,33,1.0
50,acessopinhais,24,0.9166666666666666
51,acessopinhais,25,1.0
52,acessopinhais,26,1.0
53,acessopinhais,27,0.9583333333333334
54,acessopinhais,35,1.0
55,acessosjpinhais,23,0.975
56,acessosjpinhais,24,0.9166666666666667
57,acessosjpinhais,25,0.6179365079365079
58,acessosjpinhais,26,0.9002976190476191
59,acessosjpinhais,27,0.8628747795414462
60,acessosjpinhais,28,1.0
61,acessosjpinhais,29,0.3333333333333333
62,acessosjpinhais,30,0.0
63,acessosjpinhais,31,0.9285714285714286
64,acessosjpinhais,32,0.7857142857142857
65,acessosjpinhais,33,0.5512820512820512
66,acessosjpinhais,34,0.8
