,namespace,Semana,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Tempo de correção por aluno por questão,Tempo médio entre criação e publicação de AA por questão,Tempo médio entre publicação e ínicio de AA,Porcentagem de visualização de relatórios de AA,Porcentagem de relatórios de AA visualizados por docente
0,colegiobetelbrasileirosp,24.0,1.0,1.0,5.962962962962963,0 days 13:55:13.006018294,0 days 00:53:06.668719154,1 days 21:46:12.577417740,0.8378378378378378,0.9761904761904762
1,stellamarisxaxim,27.0,1.0,1.0,90.0,0,0 days 00:04:03.014609500,2 days 00:00:27.203528,1.0,0.0
2,colegiofuturageracao,23.0,1.0,2.75,22.5,0 days 00:52:50.089875375,0 days 02:37:58.934604618,6 days 11:16:03.257481272,0.9134615384615384,1.0
3,eccos,35.0,1.0,1.5,14.0,0 days 01:22:59.626672,0 days 02:07:42.641745383,0 days 11:08:25.211558666,0.1428571428571428,0.5
4,integradaeducativa,35.0,1.0,1.0,5.0,0,0 days 00:00:33.290414800,0 days 01:13:46.485773,0.0,0.0
5,progressaoig,30.0,1.0,1.0,10.0,0 days 01:30:14.553773,0 days 00:00:07.861004700,8 days 23:14:55.716974,0.7692307692307693,1.0
6,colegiobrasilia,30.0,1.0,0.2857142857142857,10.0,0,0 days 05:17:29.488990350,12 days 04:54:02.031035,0.5927601809954751,0.5
7,colegiobilac,35.0,1.0,1.3333333333333333,16.333333333333332,0,0 days 00:02:53.261388774,0 days 15:03:21.438899250,0.0,0.6666666666666667
8,colegiodasamericas,25.0,1.0,1.0,8.0,0 days 02:01:26.365472,0 days 00:00:35.852663375,2 days 18:44:23.330288,1.0,1.0
9,acessocampolargokids,23.0,1.0,0.5,8.0,0 days 03:24:41.768852,0 days 02:36:51.684282,2 days 04:36:50.732097,1.0,1.0
10,overmossoro,30.0,1.0,1.0,10.0,0,0 days 00:01:45.212510300,4 days 06:59:38.592412,1.0,1.0
11,elitecuritibaemilianoperneta,29.0,1.0,0.5,90.0,0,0 days 00:00:46.200282977,5 days 03:59:27.483502,0.7611940298507462,0.0
12,colegiobatistaindependente,32.0,1.0,1.0,10.0,0,0 days 00:00:15.108820400,0 days 02:51:02.378225,0.8888888888888888,1.0
13,overlimaesilva,23.0,1.0,1.0,10.0,0,0 days 00:00:45.795205666,1 days 02:56:42.929127666,0.8148148148148148,1.0
14,colegiobetelbrasileirosp,25.0,1.0,1.0,6.869565217391305,0 days 05:31:57.758637,0 days 00:01:11.562830973,1 days 11:04:32.127670695,0.6777777777777778,1.0
