,namespace,Semana,Porcentagem de engajamento em AAs
281,colegiobetelbrasileirosp,24,1.0
1201,stellamarisxaxim,27,1.0
380,colegiofuturageracao,23,1.0
619,eccos,35,1.0
721,integradaeducativa,35,1.0
1068,progressaoig,30,1.0
304,colegiobrasilia,30,1.0
298,colegiobilac,35,1.0
325,colegiodasamericas,25,1.0
35,acessocampolargokids,23,1.0
881,overmossoro,30,1.0
645,elitecuritibaemilianoperneta,29,1.0
276,colegiobatistaindependente,32,1.0
855,overlimaesilva,23,1.0
282,colegiobetelbrasileirosp,25,1.0
37,acessocampolargokids,25,1.0
458,colegioplanck,29,1.0
381,colegiofuturageracao,24,1.0
334,colegioeag,27,1.0
860,overlimaesilva,32,1.0
915,pearson,31,1.0
382,colegiofuturageracao,25,1.0
1132,santoamerico,28,1.0
1145,sasadapt,25,1.0
1067,progressaoig,28,1.0
1209,testevictorhugo,32,1.0
859,overlimaesilva,31,1.0
392,colegioglobal,26,1.0
209,cem,25,1.0
206,ceespacolivre,35,1.0
708,integra,25,1.0
205,ceespacolivre,34,1.0
491,colegiouirapuru,26,1.0
36,acessocampolargokids,24,1.0
1176,spdacruz,33,0.9976472565330644
291,colegiobilac,24,0.9976171564733916
290,colegiobilac,23,0.9973226238286479
1172,spdacruz,25,0.9962426941274701
197,ceespacolivre,23,0.9960899315738025
293,colegiobilac,30,0.995788365359305
295,colegiobilac,32,0.9952718676122931
584,cursosazambuja,27,0.9940828402366864
294,colegiobilac,31,0.9936481634907484
1171,spdacruz,24,0.993223897690399
297,colegiobilac,34,0.99291975724882
1173,spdacruz,26,0.992902767920511
550,crescercampinas,30,0.9923076923076923
717,integradaeducativa,31,0.9922337278106509
968,pioxi,34,0.9920318725099602
19,acessoboqueirao,31,0.991411501120239
64,acessohauer,34,0.9911894273127754
296,colegiobilac,33,0.9903846153846154
311,colegiocb,24,0.989976287993102
1057,progressaodc,31,0.9898477157360406
857,overlimaesilva,25,0.9896907216494846
374,colegioflamingo,25,0.9896613190730837
759,magister,30,0.9895245769540693
1204,stellamarisxaxim,32,0.9891402714932127
709,integra,34,0.9876385336743393
386,colegiofuturageracao,33,0.9873737373737373
283,colegiobetelbrasileirosp,31,0.9867549668874173
856,overlimaesilva,24,0.9865030674846625
710,integradaeducativa,23,0.9864705882352941
156,brasilcursinhos,27,0.986013986013986
391,colegioglobal,25,0.9855353677897336
365,colegioensitec,29,0.9855047748976807
305,colegiobrasilia,31,0.9848183404242294
373,colegioflamingo,24,0.9844451091833682
711,integradaeducativa,24,0.9842563958391903
712,integradaeducativa,25,0.9839018009860147
387,colegiofuturageracao,34,0.9836065573770492
510,colegioup,31,0.9833333333333333
1120,santamariacn,29,0.9832402234636871
715,integradaeducativa,29,0.9831932773109243
292,colegiobilac,29,0.9829821717990276
1069,progressaoig,31,0.9827745878866456
511,colegioup,33,0.9825147852918488
1066,progressaoig,27,0.9819985304922851
624,educandarioterciocorreia,25,0.9817142857142858
306,colegiobrasilia,32,0.981609794217244
358,colegioeducallis,33,0.981228490979247
127,amadeus,32,0.9810288721179811
716,integradaeducativa,30,0.980147620259608
378,colegioflamingo,34,0.9797891036906854
230,ciadosaber,23,0.9792122538293216
622,educandarioterciocorreia,23,0.9785714285714285
456,colegioplanck,25,0.9781434983412477
30,acessocampolargo,31,0.9779411764705882
71,acessopinhais,31,0.9770114942528736
1071,progressaoig,33,0.976911976911977
404,colegioiguatemy,24,0.9767441860465116
1086,psantagema,23,0.9764705882352941
355,colegioeducallis,25,0.9760056457304164
973,pioxiicolegio,32,0.9758125472411187
414,colegiointegral,23,0.9748082884646762
1175,spdacruz,32,0.9739040363539161
1118,santamariacn,27,0.9736078886310905
1088,psantagema,25,0.9733806566104702
357,colegioeducallis,32,0.9730348960169193
623,educandarioterciocorreia,24,0.9719541616405307
498,colegiouniverso,23,0.9718154186239293
965,pioxi,24,0.9714552881539446
385,colegiofuturageracao,32,0.9713774597495528
310,colegiocb,23,0.9712337356952501
425,colegiointegral,35,0.9711935947086724
861,overlimaesilva,33,0.9710982658959537
256,colegioalphaunis,33,0.9706498951781971
416,colegiointegral,26,0.9705882352941176
320,colegiocb,35,0.9703017915113623
317,colegiocb,32,0.9702452754322477
1123,santamariacn,32,0.9692307692307692
625,educandarioterciocorreia,26,0.9691428571428572
1005,portinari,32,0.9690154211150652
707,integra,24,0.9685106382978723
504,colegioup,23,0.9682539682539683
1121,santamariacn,30,0.968054211035818
464,colegioplanck,35,0.9668874172185431
62,acessohauer,32,0.9667994687915007
379,colegioflamingo,35,0.9662921348314607
59,acessohauer,27,0.9662095984329089
41,acessocampolargokids,32,0.9660377358490566
319,colegiocb,34,0.9660116302386205
403,colegioiguatemy,23,0.9655172413793104
706,integra,23,0.9655172413793104
61,acessohauer,31,0.9654676258992806
324,colegiodasamericas,24,0.9654228004108182
360,colegioeducallis,35,0.9651980747871158
714,integradaeducativa,27,0.965034965034965
270,colegiobatistaindependente,23,0.9649122807017544
363,colegioensitec,25,0.9639727361246349
419,colegiointegral,29,0.9639304818578273
356,colegioeducallis,31,0.9635416666666666
1064,progressaoig,25,0.9631336405529954
862,overlimaesilva,34,0.9624277456647399
451,colegionovageracao,35,0.9620253164556962
301,colegiobrasilia,25,0.9604471195184867
1170,spdacruz,23,0.960119900951388
718,integradaeducativa,32,0.9595959595959596
