,namespace,Semana,Número de AAs por turma
0,acessoalmirantetamandare,23,2.25
1,acessoalmirantetamandare,24,3.4285714285714284
2,acessoalmirantetamandare,25,5.0
3,acessoalmirantetamandare,26,2.7142857142857144
4,acessoalmirantetamandare,27,3.9166666666666665
5,acessoalmirantetamandare,30,0.6666666666666666
6,acessoalmirantetamandare,31,0.9090909090909091
7,acessoalmirantetamandare,32,1.1666666666666667
8,acessoalmirantetamandare,33,1.1666666666666667
9,acessoalmirantetamandare,34,1.4
10,acessoalmirantetamandare,35,1.75
11,acessoboqueirao,23,0.6
12,acessoboqueirao,24,2.3333333333333335
13,acessoboqueirao,25,2.6666666666666665
14,acessoboqueirao,26,3.1666666666666665
15,acessoboqueirao,27,3.0
16,acessoboqueirao,28,1.0
17,acessoboqueirao,29,0.3333333333333333
18,acessoboqueirao,30,0.75
19,acessoboqueirao,31,0.5833333333333334
20,acessoboqueirao,32,0.8571428571428571
21,acessoboqueirao,33,0.7058823529411765
22,acessoboqueirao,34,0.6470588235294118
23,acessoboqueirao,35,1.4166666666666667
24,acessocampolargo,23,1.625
25,acessocampolargo,24,4.166666666666667
26,acessocampolargo,25,2.75
27,acessocampolargo,26,3.3333333333333335
28,acessocampolargo,27,4.875
29,acessocampolargo,30,0.5
30,acessocampolargo,31,1.0
31,acessocampolargo,32,0.75
32,acessocampolargo,33,2.125
33,acessocampolargo,34,1.125
34,acessocampolargo,35,2.0
35,acessocampolargokids,23,0.5
36,acessocampolargokids,24,0.5
37,acessocampolargokids,25,0.5
38,acessocampolargokids,26,0.6
39,acessocampolargokids,27,0.5714285714285714
40,acessocampolargokids,31,0.5714285714285714
41,acessocampolargokids,32,0.5714285714285714
42,acessocampolargokids,33,0.5714285714285714
43,acessocampolargokids,34,0.6666666666666666
44,acessofazendariogrande,23,2.4444444444444446
45,acessofazendariogrande,24,4.142857142857143
46,acessofazendariogrande,25,4.444444444444445
47,acessofazendariogrande,26,4.0
48,acessofazendariogrande,27,4.363636363636363
49,acessofazendariogrande,30,0.5
50,acessofazendariogrande,31,1.0
51,acessofazendariogrande,32,1.1666666666666667
52,acessofazendariogrande,33,1.1818181818181819
53,acessofazendariogrande,34,1.9090909090909092
54,acessofazendariogrande,35,2.5714285714285716
55,acessohauer,23,2.25
56,acessohauer,24,3.0
57,acessohauer,25,1.25
58,acessohauer,26,1.0
59,acessohauer,27,1.1666666666666667
60,acessohauer,29,1.0
61,acessohauer,31,0.8333333333333334
62,acessohauer,32,1.0
63,acessohauer,33,0.8333333333333334
64,acessohauer,34,0.75
65,acessopinhais,23,0.25
66,acessopinhais,24,5.0
67,acessopinhais,25,4.75
68,acessopinhais,26,8.0
69,acessopinhais,27,5.25
70,acessopinhais,30,0.5
71,acessopinhais,31,1.0
72,acessopinhais,32,0.75
73,acessopinhais,33,1.25
74,acessopinhais,34,0.75
75,acessopinhais,35,4.5
76,acessosantafelicidade,23,1.6363636363636365
77,acessosantafelicidade,24,3.2222222222222223
78,acessosantafelicidade,25,4.090909090909091
79,acessosantafelicidade,26,3.0
80,acessosantafelicidade,27,4.0
81,acessosantafelicidade,30,0.5
82,acessosantafelicidade,31,1.0
83,acessosantafelicidade,32,1.2142857142857142
84,acessosantafelicidade,33,1.1428571428571428
85,acessosantafelicidade,34,1.3846153846153846
86,acessosantafelicidade,35,2.6666666666666665
87,acessosjpinhais,23,1.1764705882352942
88,acessosjpinhais,24,2.1333333333333333
89,acessosjpinhais,25,2.8333333333333335
90,acessosjpinhais,26,1.3
91,acessosjpinhais,27,2.0606060606060606
92,acessosjpinhais,28,0.4
93,acessosjpinhais,29,3.0
94,acessosjpinhais,30,0.5
95,acessosjpinhais,31,0.5666666666666667
96,acessosjpinhais,32,0.7241379310344828
97,acessosjpinhais,33,0.6129032258064516
98,acessosjpinhais,34,1.2173913043478262
99,acessosjpinhais,35,1.2941176470588236
100,adrianochan,23,0.014705882352941176
101,adrianochan,24,0.014705882352941176
102,adrianochan,25,0.008
103,adrianochan,26,0.007352941176470588
104,adrianochan,31,0.01990049751243781
105,adrianochan,32,0.014925373134328358
106,adrianochan,33,0.009852216748768473
107,adrianochan,34,0.014705882352941176
108,adrianochan,35,0.0049504950495049506
109,aescobjetivo,23,2.0416666666666665
110,aescobjetivo,24,2.0833333333333335
111,aescobjetivo,25,1.4
112,aescobjetivo,26,1.0
113,aescobjetivo,28,0.3333333333333333
114,aescobjetivo,29,0.8333333333333334
115,aescobjetivo,30,0.7333333333333333
116,aescobjetivo,31,2.0869565217391304
117,aescobjetivo,32,2.04
118,aescobjetivo,33,1.7727272727272727
119,aescobjetivo,34,2.5
120,aescobjetivo,35,0.7222222222222222
121,alfacembilingue,25,1.0
122,amadeus,23,1.6111111111111112
123,amadeus,24,2.4193548387096775
124,amadeus,29,2.0
125,amadeus,30,0.65
126,amadeus,31,2.7333333333333334
127,amadeus,32,0.7222222222222222
128,amadeus,33,0.7666666666666667
129,amadeus,34,1.206896551724138
130,amadeus,35,1.0555555555555556
131,amais,23,2.5
132,amais,24,3.0
133,amais,33,1.5
134,amais,34,1.0
135,amaisteste,28,0.5
136,amaisteste,33,0.5
137,amaisteste,35,2.0
138,anchietaba,30,1.0
139,apogeustoantonio2,23,0.7777777777777778
140,apogeustoantonio2,24,0.6
141,apogeustoantonio2,25,0.1111111111111111
142,apogeustoantonio2,26,0.6666666666666666
143,apogeustoantonio2,28,1.0
144,apogeustoantonio2,29,0.6
145,apogeustoantonio2,31,1.0
146,apogeustoantonio2,32,0.46153846153846156
147,apogeustoantonio2,34,1.0
148,aprovest,27,0.3333333333333333
149,arlindocavalcanti,25,1.0
150,beityaacov,23,1.0
151,beityaacov,32,1.0
152,beityaacov,33,1.0
153,bertelsmann,28,1.0
154,bertelsmann,31,1.0
155,brasilcursinhos,25,0.5
156,brasilcursinhos,27,0.5
157,brasilcursinhos,28,1.5
158,brasilcursinhos,29,1.6666666666666667
159,brasilcursinhos,30,1.0
160,brasilcursinhos,34,0.75
161,brasilcursinhos,35,1.2
162,camerinocursos,29,0.14285714285714285
163,casdinhosjc,23,0.6666666666666666
164,casdinhosjc,24,0.4
165,casdinhosjc,25,0.5
166,casdinhosjc,27,0.25
167,casdinhosjc,31,0.25
168,casdinhosjc,33,0.25
169,casdvest,24,1.0
170,casdvest,25,1.0
171,casdvest,26,0.4
172,casdvest,27,0.4
173,casdvest,28,1.0
174,casdvest,29,1.0
175,casdvest,30,0.2
176,casdvest,31,0.2
177,casdvest,32,0.2
178,casdvest,33,0.2
179,castelobruxo,30,1.0
180,cats,29,1.0
181,cats,30,1.0
182,cats,34,1.0
183,cbpdigital,23,1.4
184,cbpdigital,24,4.588235294117647
185,cbpdigital,25,1.0
186,cbpdigital,26,0.25
187,cbpdigital,31,1.1666666666666667
188,cbpdigital,32,1.0
189,cbpdigital,33,1.0
190,cbpdigital,34,1.6875
191,cbpdigital,35,2.0
192,ceabb,26,1.5
193,ceabb,27,1.7142857142857142
194,ceabb,31,2.0
195,ceabb,35,14.2
196,cecbdf,33,0.16666666666666666
197,cecbdf,34,0.3333333333333333
198,ceespacolivre,23,0.6666666666666666
199,ceespacolivre,24,1.7333333333333334
