,namespace,Semana,numero_ex
1140,santoamerico,27,1084.0
1156,sas,33,745.0
240,cmdpii,34,660.0
1150,sas,23,454.0
684,francobrasileiro,28,361.0
1155,sas,32,340.0
602,dommga,25,271.0
685,francobrasileiro,30,270.0
1085,provaspoliedro,27,244.66666666666666
1121,sagradafamilia,34,229.75
1174,souhabilis,26,225.0
699,institutoauxiliadoradf,34,221.0
440,colegioliceu,33,221.0
751,lasalleaguasclaras,34,221.0
1124,santadoroteia,34,220.0
197,cecbdf,34,220.0
290,colegiobianguloiv,34,220.0
673,escolamaster,33,216.3846153846154
262,colegioanchietaii,34,215.0
260,colegioanchietai,34,215.0
1153,sas,30,202.0
707,institutosaojose,33,192.42857142857142
894,overnascimentodecastro,25,186.0
132,amais,24,182.0
747,jardimsaopaulo,23,181.0
1052,profederal,31,180.0
266,colegioarena,31,168.75
533,contemporaneolagoanova,33,159.0
929,physicsalmirantebarroso,23,147.33333333333334
131,amais,23,144.5
527,contemporaneocidadeverde,33,142.0
68,acessopinhais,26,140.0
953,physicsconselheirofurtado,23,138.27272727272728
855,overjoaopessoa,25,137.6
698,insa,34,132.0
1259,vitae,28,130.0
195,ceabb,35,127.6
73,acessopinhais,33,126.0
501,colegiouniverso,25,122.66666666666667
791,master,26,122.43243243243244
964,physicsumarizal,23,122.16666666666667
644,elitecuritibaemilianoperneta,26,120.0
437,colegiojoaopaulo,33,117.82352941176471
961,physicsmacapa,25,116.71428571428571
1223,universitariolondrina,23,114.0
119,aescobjetivo,34,111.77272727272727
947,physicscidadenova,23,111.5625
14,acessoboqueirao,26,111.0
854,overjoaopessoa,24,110.66666666666667
538,crb,24,108.70491803278688
960,physicsmacapa,23,108.3
641,elitecuritibaemilianoperneta,23,107.6
937,physicsaugustomontenegro,25,107.57142857142857
949,physicscidadenova,25,106.92857142857143
860,overjoaopessoa,35,105.0
499,colegiouniverso,23,104.25
954,physicsconselheirofurtado,25,104.0
690,garra,30,104.0
1203,stellamarisjuveve,29,101.33333333333333
142,apogeustoantonio2,26,101.0
885,overmossoro,25,101.0
589,cursosazambuja,31,101.0
69,acessopinhais,27,100.5
651,elitecuritibaemilianoperneta,34,100.0
708,institutosaojose,34,100.0
1078,progressaoig,33,99.66666666666667
1053,profederal,32,98.83333333333333
1224,universitariolondrina,24,98.08823529411765
1202,stellamarisjuveve,27,98.0
81,acessosantafelicidade,30,98.0
49,acessofazendariogrande,30,98.0
94,acessosjpinhais,30,98.0
70,acessopinhais,30,98.0
351,colegioecursoprogressao,33,97.61538461538461
109,aescobjetivo,23,97.08333333333333
67,acessopinhais,25,97.0
1226,universitariolondrina,26,96.56
1066,progressaodc,33,96.33333333333333
943,physicsbatistacampos,25,96.25
534,contemporaneolagoanova,34,96.22222222222223
935,physicsaugustomontenegro,23,96.11111111111111
807,montessori,33,96.0
650,elitecuritibaemilianoperneta,33,96.0
815,novotempo,33,96.0
958,physicsconselheirofurtado,33,96.0
896,overnascimentodecastro,33,96.0
695,idaam,33,96.0
442,colegiomagnum,33,96.0
180,cats,29,96.0
1167,simbios,33,96.0
632,educarse,32,96.0
604,domus,33,96.0
480,colegiosete,24,95.54838709677419
427,colegiojoaopaulo,23,94.94117647058823
181,cats,30,94.0
927,physicsalcindocacela,33,93.42857142857143
105,adrianochan,32,93.02985074626865
107,adrianochan,34,92.83823529411765
139,apogeustoantonio2,23,92.55555555555556
74,acessopinhais,34,92.5
675,estantemagica,27,91.0
928,physicsalcindocacela,34,90.73684210526316
273,colegiobatistaindependente,25,90.63636363636364
858,overjoaopessoa,33,90.25
161,brasilcursinhos,35,90.0
156,brasilcursinhos,27,90.0
897,overnascimentodecastro,34,90.0
952,physicscidadenova,34,90.0
1154,sas,31,90.0
150,beityaacov,23,90.0
1158,sasadaptem,23,90.0
441,colegiomagnum,23,90.0
1166,simbios,23,90.0
959,physicsconselheirofurtado,34,90.0
523,contemporaneocidadeverde,23,90.0
963,physicsmacapa,34,90.0
748,jardimsaopaulo,24,90.0
65,acessopinhais,23,90.0
443,colegiomagnum,34,90.0
756,macvest,27,90.0
758,macvest,33,90.0
969,physicsumarizal,34,90.0
1213,stellamarisxaxim,27,90.0
529,contemporaneolagoanova,23,90.0
528,contemporaneocidadeverde,34,90.0
806,montessori,23,90.0
823,nucleopva,28,90.0
808,montessori,34,90.0
813,novotempo,23,90.0
816,novotempo,34,90.0
1168,simbios,34,90.0
155,brasilcursinhos,25,90.0
691,garra,31,90.0
633,educarse,33,90.0
940,physicsaugustomontenegro,34,90.0
603,domus,23,90.0
561,cursoenfase,23,90.0
893,overnascimentodecastro,23,90.0
605,domus,34,90.0
694,idaam,23,90.0
696,idaam,34,90.0
934,physicsalmirantebarroso,34,90.0
646,elitecuritibaemilianoperneta,29,90.0
565,cursoenfase,34,90.0
640,elitecuritiba,23,90.0
27,acessocampolargo,26,88.66666666666667
1225,universitariolondrina,25,88.63333333333334
144,apogeustoantonio2,29,88.6
692,gerabixo,24,88.0
911,overzonanorte,25,86.54545454545455
407,colegioiguatemy,26,86.0
1214,stellamarisxaxim,29,86.0
859,overjoaopessoa,34,85.71428571428571
32,acessocampolargo,33,85.25
242,cnslpb,24,85.125
134,amais,34,85.0
923,physicsalcindocacela,23,84.47058823529412
600,deltaeducacional,34,84.0
882,overmarciliofurtado,35,83.375
761,magister,29,82.0
184,cbpdigital,24,82.0
853,overjoaopessoa,23,81.42857142857143
569,cursoisfera,26,80.5
146,apogeustoantonio2,32,80.15384615384616
454,colegionovopatio,25,80.0
966,physicsumarizal,25,79.46153846153847
951,physicscidadenova,33,79.38461538461539
15,acessoboqueirao,27,78.61538461538461
892,overmossoro,35,78.33333333333333
21,acessoboqueirao,33,78.23529411764706
448,colegiomundial,28,78.0
334,colegiodompedrosegundo,28,78.0
47,acessofazendariogrande,26,76.6
101,adrianochan,24,76.59558823529412
776,mariliamattoso,24,76.41666666666667
219,ceprimeiromundo,26,76.4
701,institutocristao,24,76.4
886,overmossoro,26,76.0
66,acessopinhais,24,76.0
1065,progressaodc,32,76.0
118,aescobjetivo,33,75.9090909090909
564,cursoenfase,33,75.6
75,acessopinhais,35,75.5
126,amadeus,31,75.46666666666667
597,deltaeducacional,26,75.4
160,brasilcursinhos,34,75.0
1180,souhabilis,34,75.0
775,mariliamattoso,23,74.75
1238,universobarcarena,25,74.72727272727273
220,ceprimeiromundo,27,74.57894736842105
962,physicsmacapa,33,74.125
939,physicsaugustomontenegro,33,74.125
933,physicsalmirantebarroso,33,74.125
110,aescobjetivo,24,73.875
1230,universitariolondrina,30,73.82758620689656
1237,universobarcarena,24,73.75
471,colegiopremium,33,73.61538461538461
1233,universitariolondrina,33,72.94444444444444
883,overmossoro,23,72.72727272727273
111,aescobjetivo,25,72.6
852,overabelcabral,35,72.53333333333333
917,overzonanorte,33,72.33333333333333
1236,universobarcarena,23,72.27272727272727
872,overmarciliofurtado,25,71.75
1227,universitariolondrina,27,71.57142857142857
339,colegioecursodesafio,23,71.47368421052632
968,physicsumarizal,33,71.0
554,crescercampinas,33,70.88461538461539
946,physicsbatistacampos,33,70.875
500,colegiouniverso,24,70.77777777777777
926,physicsalcindocacela,27,70.0
502,colegiouniverso,26,70.0
503,colegiouniverso,32,70.0
1234,universitariolondrina,34,69.69767441860465
13,acessoboqueirao,25,68.93333333333334
438,colegiojoaopaulo,34,68.88888888888889
819,nucleocriativo,25,68.625
28,acessocampolargo,27,68.25
543,crb,32,68.07462686567165
1129,santamariacn,29,67.5
