,namespace,Semana,Tempo de correção por aluno por questão
0,acessoalmirantetamandare,23,0 days 02:03:58.610101750
1,acessoalmirantetamandare,26,0 days 02:22:47.477453
2,acessoalmirantetamandare,27,0 days 06:14:06.976555
3,acessoalmirantetamandare,31,0 days 01:24:31.664797
4,acessoalmirantetamandare,32,0 days 01:51:01.723615500
5,acessoalmirantetamandare,33,0 days 01:43:22.404363
6,acessoalmirantetamandare,34,0 days 00:58:25.080462
7,acessocampolargo,23,0 days 00:22:51.168443333
8,acessocampolargo,24,0 days 04:31:40.685107
9,acessocampolargo,25,0 days 01:49:30.326042571
10,acessocampolargo,26,0 days 00:38:44.262657666
11,acessocampolargo,27,0 days 03:23:32.365186500
12,acessocampolargo,33,0 days 01:04:43.820686500
13,acessocampolargo,34,0 days 00:18:33.316964
14,acessocampolargokids,23,0 days 03:24:41.768852
15,acessocampolargokids,25,0 days 00:02:20.466770
16,acessocampolargokids,31,0 days 00:37:44.912210
17,acessocampolargokids,33,-1 days +23:21:27.661970
18,acessocampolargokids,34,0 days 00:01:35.502204
19,acessofazendariogrande,23,0 days 02:58:35.233988
20,acessofazendariogrande,25,0 days 01:35:06.817641
21,acessofazendariogrande,27,0 days 07:50:15.481786666
22,acessohauer,23,0 days 00:39:01.996772
23,acessohauer,25,0 days 00:07:44.611070
24,acessohauer,27,0 days 02:05:01.319668
25,acessohauer,31,0 days 01:38:06.635639250
26,acessohauer,33,0 days 01:03:22.476793750
27,acessohauer,34,0 days 00:34:23.791359
28,acessosantafelicidade,23,0 days 00:36:33.538905
29,acessosantafelicidade,25,1 days 01:59:08.894315
30,acessosantafelicidade,27,0 days 01:41:07.665007
31,acessosantafelicidade,31,0 days 01:06:26.492872
32,acessosjpinhais,23,0 days 02:20:26.033230
33,acessosjpinhais,24,0 days 00:16:29.505331
34,acessosjpinhais,26,0 days 01:04:50.502981
35,acessosjpinhais,27,0 days 02:04:46.495054
36,acessosjpinhais,31,0 days 01:40:57.999844
37,acessosjpinhais,32,0 days 00:14:42.130659
38,acessosjpinhais,33,0 days 00:10:24.597832
39,aescobjetivo,23,0 days 00:29:48.177861
40,aescobjetivo,24,0 days 01:57:44.309459333
41,aescobjetivo,31,0 days 00:27:03.113654
42,aescobjetivo,32,0 days 00:34:38.909824333
43,aescobjetivo,33,0 days 01:14:45.939097
44,amadeus,23,0 days 12:06:11.844118950
45,amadeus,24,0 days 02:35:04.758212933
46,amadeus,29,2 days 03:29:15.707920
47,amadeus,30,0 days 02:20:14.594680
48,amadeus,32,4 days 13:25:54.416679800
49,amadeus,33,15 days 12:14:11.741419750
50,cbpdigital,24,0 days 00:11:57.138618750
51,ceespacolivre,23,0 days 02:34:43.495899
52,ceespacolivre,24,0 days 04:10:19.355367750
53,ceespacolivre,25,0 days 00:47:39.767045
54,ceespacolivre,26,0 days 03:17:48.247210
55,ceespacolivre,27,0 days 03:13:59.964707200
56,ceespacolivre,28,0 days 07:29:55.208023
57,ceespacolivre,32,0 days 23:53:32.620144250
58,ceespacolivre,33,0 days 19:34:15.721217857
59,ceespacolivre,34,0 days 08:46:03.569679500
60,ceespacolivre,35,0 days 05:30:06.084224
61,ciadosaber,33,0 days 20:21:35.009736
62,colegioalphaunis,24,0 days 00:52:56.501800833
63,colegioalphaunis,25,0 days 02:21:44.737852666
64,colegioalphaunis,26,0 days 00:55:49.246731
65,colegioalphaunis,27,0 days 07:41:26.118745400
66,colegioalphaunis,33,0 days 01:35:02.191421
67,colegioalphaunis,34,0 days 00:02:49.506340
68,colegiobatistaindependente,23,0 days 15:08:48.668099666
69,colegiobatistaindependente,24,-1 days +23:46:47.998292
70,colegiobatistaindependente,25,0 days 00:25:44.572665250
71,colegiobatistaindependente,26,0 days 04:06:16.365384375
72,colegiobatistaindependente,27,0 days 20:40:30.622150
73,colegiobatistaindependente,33,2 days 14:49:06.531804
74,colegiobatistaindependente,34,0 days 00:39:04.092519857
75,colegiobatistaindependente,35,-1 days +23:59:48.225951
76,colegiobetelbrasileirosp,23,0 days 04:05:25.555437100
77,colegiobetelbrasileirosp,24,0 days 13:55:13.006018294
78,colegiobetelbrasileirosp,25,0 days 05:31:57.758637
79,colegiobetelbrasileirosp,32,0 days 01:44:14.790020333
80,colegiobetelbrasileirosp,33,0 days 17:14:13.302842
81,colegiobetelbrasileirosp,34,0 days 19:17:24.828096333
82,colegiobilac,23,0 days 04:57:45.852154444
83,colegiobilac,24,0 days 02:12:43.112444222
84,colegiobilac,29,0 days 00:43:36.428138
85,colegiobilac,30,0 days 01:15:57.643221222
86,colegiobilac,31,0 days 02:16:02.929944600
87,colegiobilac,34,0 days 01:06:08.605099
88,colegiobrasilia,32,0 days 01:20:05.682933
89,colegiocb,23,0 days 00:01:32.107539
90,colegiocb,31,0 days 03:45:31.951193
91,colegiocb,32,0 days 00:02:40.342041
92,colegiocb,34,0 days 00:19:25.752199600
93,colegiocb,35,0 days 01:10:09.325083200
94,colegiodasamericas,24,0 days 13:05:04.037421235
95,colegiodasamericas,25,0 days 02:01:26.365472
96,colegiodasamericas,26,0 days 05:47:21.263462428
97,colegiodasamericas,30,0 days 05:18:31.227423083
98,colegiodasamericas,31,1 days 19:14:09.184562250
99,colegiodasamericas,33,-2 days +01:27:34.186888
100,colegioeducallis,23,1 days 03:25:07.327969370
101,colegioeducallis,24,1 days 09:31:44.058122437
102,colegioeducallis,25,2 days 18:30:10.007053
103,colegioeducallis,31,0 days 08:10:30.646516
104,colegioeducallis,32,1 days 21:25:25.687177909
105,colegioeducallis,33,0 days 04:59:49.737679428
106,colegioeducallis,34,0 days 06:29:24.526673500
107,colegioeducallis,35,0 days 03:27:59.041734
108,colegioensitec,23,0 days 00:31:05.765803
109,colegioensitec,25,0 days 00:11:18.398222
110,colegioensitec,29,0 days 00:27:29.287577
111,colegioensitec,30,0 days 00:18:08.530597
112,colegioensitec,31,0 days 00:03:10.102010
113,colegioensitec,32,0 days 00:10:51.348791666
114,colegioflamingo,24,0 days 00:03:13.098180500
115,colegioflamingo,25,0 days 04:24:30.680410500
116,colegioflamingo,34,0 days 02:20:30.537488
117,colegiofuturageracao,23,0 days 00:52:50.089875375
118,colegiofuturageracao,24,0 days 00:59:32.735688857
119,colegiofuturageracao,25,0 days 02:09:16.878525636
120,colegiofuturageracao,32,0 days 00:43:50.245384900
121,colegiofuturageracao,33,0 days 00:05:34.600503333
122,colegiofuturageracao,34,0 days 00:46:43.612111500
123,colegiofuturageracao,35,0 days 01:37:18.934476
124,colegioglobal,24,0 days 03:41:29.782015875
125,colegioglobal,25,0 days 00:45:36.381617
126,colegioglobal,26,0 days 20:21:50.224940
127,colegioglobal,32,0 days 00:48:12.993862500
128,colegioglobal,33,0 days 01:33:29.718492750
129,colegioglobal,34,0 days 01:34:01.024302625
130,colegioiguatemy,23,0 days 00:00:30.665487
131,colegiointegral,29,0 days 02:26:07.306349
132,colegiointegral,30,0 days 07:43:37.917391
133,colegiointegral,33,0 days 06:48:41.770958384
134,colegiointegral,34,0 days 06:09:35.584625
135,colegiojoaopaulo,23,0 days 09:42:33.495076
136,colegiojoaopaulo,24,0 days 07:48:10.136009
137,colegiojoaopaulo,25,1 days 02:29:12.597661250
138,colegiojoaopaulo,35,0 days 00:12:04.177294
139,colegioplanck,23,0 days 13:17:24.461214666
140,colegioplanck,24,0 days 14:14:48.816211
141,colegioplanck,25,0 days 05:13:56.008241666
142,colegiopremium,24,1 days 12:30:42.058092666
143,colegiopremium,25,6 days 02:18:46.407508
144,colegiopremium,26,3 days 18:49:21.871153600
145,colegiopremium,31,0 days 16:13:33.410529250
146,colegiouniverso,24,0 days 02:31:48.419947333
147,colegiouniverso,25,0 days 01:54:33.178792333
148,colegioup,23,0 days 01:55:24.203001500
149,colegioup,24,0 days 03:21:20.781521555
150,colegioup,25,0 days 02:12:22.292782863
151,colegioup,26,0 days 00:54:01.561674909
152,crb,23,0 days 03:31:37.963123720
153,crb,24,0 days 04:46:23.359722600
154,crb,26,0 days 00:05:26.476559
155,crb,31,2 days 00:15:23.527858833
156,crb,32,1 days 03:36:26.122208375
157,crb,33,1 days 00:33:36.190963500
158,crescercampinas,30,0 days 02:43:48.600753
159,crescercampinas,32,0 days 06:50:55.709110714
160,crescercampinas,33,1 days 01:00:15.151848833
161,crescercampinas,34,0 days 09:49:03.662955
162,eccos,25,32 days 06:30:20.895631500
163,eccos,31,0 days 07:18:52.953648500
164,eccos,32,0 days 07:49:05.038693818
165,eccos,33,0 days 17:27:14.544813800
166,eccos,34,0 days 03:07:58.383765333
167,eccos,35,0 days 01:22:59.626672
168,educandarioterciocorreia,23,0 days 00:00:04.774771
169,educandarioterciocorreia,24,0 days 08:15:13.289803250
170,educandarioterciocorreia,25,0 days 02:29:54.462497727
171,educandarioterciocorreia,26,0 days 07:15:14.384684545
172,educandarioterciocorreia,31,0 days 05:33:26.404076
173,educandarioterciocorreia,33,0 days 00:21:20.867828
174,einsteinassis,23,0 days 01:56:23.299867
175,einsteinassis,24,0 days 01:27:23.661439500
176,einsteinassis,25,0 days 02:18:26.656244
177,elitecuritibaemilianoperneta,23,0 days 00:53:39.003139666
178,elitecuritibaemilianoperneta,24,0 days 00:27:00.442469
179,integra,24,0 days 06:46:45.719198
180,integra,25,1 days 06:46:17.636268
181,integradaeducativa,23,0 days 01:35:30.236900777
182,integradaeducativa,24,0 days 02:48:32.119810750
183,integradaeducativa,25,0 days 03:42:56.041997750
184,integradaeducativa,26,0 days 05:31:04.882270714
185,integradaeducativa,31,0 days 01:04:37.327975
186,integradaeducativa,32,0 days 10:00:45.684323
187,integradaeducativa,33,0 days 12:34:03.474221166
188,integradaeducativa,34,0 days 00:54:47.152720
189,invictus,26,0 days 04:30:52.887030
190,invictus,33,0 days 20:06:10.388343500
191,isem,23,9 days 00:24:16.627173500
192,magister,30,0 days 00:50:28.126574250
193,magister,32,0 days 00:46:24.796317
194,magister,33,-1 days +23:35:12.466416
195,maplebearslz,31,0 days 01:13:16.991545400
196,maplebearslz,35,0 days 00:20:17.358237
197,nucleocriativo,23,0 days 04:26:37.969663
198,pioxi,23,0 days 01:59:10.223446750
199,pioxi,24,0 days 01:08:14.106193444
200,pioxi,25,0 days 00:36:18.530671428
201,pioxiicolegio,31,0 days 00:07:45.010196
202,pioxiicolegio,32,0 days 01:49:30.111652
203,portinari,23,0 days 02:52:58.574894
204,portinari,24,0 days 00:00:58.733863
205,portinari,27,0 days 02:22:18.158422
206,portinari,28,0 days 01:12:22.750464500
207,portinari,29,0 days 00:12:31.267821333
208,portinari,31,0 days 00:38:29.424701500
209,portinari,32,0 days 00:20:30.257419666
210,portinari,33,0 days 00:14:53.915095666
211,porto,25,0 days 01:13:08.087399
212,porto,32,-1 days +22:56:22.150674
213,prismapatrocinio,23,0 days 04:23:45.500366500
214,prismapatrocinio,24,0 days 00:33:18.001454
215,progressaodc,31,0 days 18:36:27.710436
216,progressaodc,33,0 days 03:52:58.576567
217,progressaoig,27,0 days 13:46:17.481051
218,progressaoig,30,0 days 01:30:14.553773
219,progressaoig,33,0 days 00:27:53.139634333
220,progressaoig,35,0 days 03:55:03.846200
221,provaspoliedro,23,0 days 00:14:23.160831
222,provaspoliedro,24,0 days 09:36:12.611580500
223,provaspoliedro,25,1 days 09:55:31.060703
224,provaspoliedro,31,0 days 04:56:53.595710333
225,provaspoliedro,32,0 days 22:40:11.625574692
226,provaspoliedro,33,0 days 13:19:02.131661809
227,provaspoliedro,34,0 days 06:53:12.227838814
228,provaspoliedro,35,0 days 00:33:57.446342666
229,psantagema,23,0 days 10:15:27.217035
230,psantagema,24,1 days 16:59:19.291372560
231,psantagema,25,1 days 13:20:40.217656
232,psantagema,32,0 days 17:29:59.771035
233,psantagema,33,1 days 00:08:27.973788500
234,psantagema,34,0 days 02:25:58.121544
235,santoamerico,23,0 days 16:28:41.687947
236,santoamerico,24,0 days 02:10:01.459793
237,santoamerico,31,-1 days +23:49:58.041453
238,santoamerico,33,0 days 00:24:16.988626
239,santoamerico,34,0 days 00:26:56.544900
240,spdacruz,23,0 days 06:20:29.066419333
241,spdacruz,24,0 days 12:37:53.540457878
242,spdacruz,25,1 days 17:10:48.617088965
243,spdacruz,26,0 days 00:39:39.623761
244,spdacruz,31,0 days 00:00:01.082515
245,spdacruz,32,0 days 08:33:35.780473404
246,spdacruz,33,0 days 04:04:53.539981606
247,spdacruz,34,0 days 03:13:53.047386
248,stellamarisaguaverde,23,0 days 06:56:44.543397
249,stellamarisaguaverde,24,0 days 01:11:51.278761500
250,stellamarisjuveve,23,0 days 00:44:38.497921600
251,stellamarisjuveve,24,0 days 00:51:52.490242
252,stellamarisjuveve,33,0 days 01:14:07.281540
253,stellamarisjuveve,34,0 days 00:16:22.567781
254,universobarcarena,23,0 days 00:02:32.362543
255,villalobos,23,0 days 01:36:14.937840428
256,villalobos,24,0 days 02:43:03.766483400
257,villalobos,25,0 days 02:39:01.613857
258,villalobos,31,0 days 00:59:45.773550
259,villalobos,32,0 days 01:10:55.878851500
260,villalobos,33,0 days 08:41:58.991148500
