,namespace,Porcentagem de engajamento em AAs,Média de AAs por turma,Média de exercícios por turma,Correção de exercícios discursivos,"('Criação de AA', '')",Publicação da AA,Acesso à relatórios de AA por aluno,Porcentagem de visualização de relatórios de AA por professor,Porcentagem de administradores que visualizaram relatórios de AA,Média
0,progressaoig,0.9258801236661015,0.21875670746097894,0.1406621315192744,0.7975777710776772,0.9820875563745248,1.0,0.7498345881745203,0.7361216054327508,0.6,0.6834356093006476
1,prismapatrocinio,0.7148700823081029,0.4181826834470436,0.3285594405594406,0.810833165985003,0.9046380570659636,1.0,0.5208925188192866,0.6243000356878802,0.8,0.680252887096969
2,colegiobrasilia,0.9103872765502339,0.34847871952283505,0.2671452991452991,0.9189507177065634,0.9846417426477577,0.7468244636003247,0.37081446998179335,0.7614583420261464,0.6,0.6565223367978837
3,colegioensitec,0.8079615334292817,0.11914702154077778,0.08727272727272727,0.9721911465443719,0.8430075567638179,1.0,0.5556538882927774,0.8532860195360197,0.6,0.6487244325977525
4,colegiocb,0.8633654688869413,0.07772965941718618,0.05696638176638177,0.9362181080591188,0.9378821131994091,1.0,0.5765804229426148,0.763827045969903,0.5,0.6347299111379505
5,colegioglobal,0.9260327524969607,0.2051976482091173,0.16525874125874127,0.7244052062578036,0.6352331915844975,1.0,0.6470519004427078,0.7714010856868001,0.625,0.6332867251040697
6,colegiofuturageracao,0.7265881853855127,0.16751534764193596,0.11822222222222223,0.9372912448743581,0.8598116461369466,1.0,0.6877327935222669,0.8913858071752808,0.25,0.6265052496620582
7,colegiobetelbrasileirosp,0.9005530222179101,0.02698342497398411,0.01048122568865603,0.4705305248553578,0.8868327211902759,1.0,0.6841031459305168,0.8854851930107943,0.6,0.6072188064297216
8,universitariolondrina,0.5254884659781104,1.0,0.7980683760683761,0.0,0.8652129421981656,0.8273969034793126,0.3200693949906259,0.7742274776905309,0.3541666666666667,0.60718113634131
9,colegioflamingo,0.7777836747691328,0.44829391329177176,0.31979487179487176,0.8645143975250632,0.9921636230642945,0.4106198416254993,0.15998719107896325,0.9021164021164023,0.5714285714285714,0.6051891651882856
10,pioxiicolegio,0.8566335870507756,0.21129776804835101,0.14256410256410257,0.9375971083068573,0.4792128168718774,0.8091218453091157,0.5082669330790685,0.7393217893217893,0.75,0.6037795500613264
11,villalobos,0.6697432148405373,0.22216405717095766,0.1053846153846154,0.821816599484152,0.8905906103159614,1.0,0.338785917244418,0.7513012181616834,0.631578947368421,0.6034850199967496
12,cem,0.8932312651087833,0.3146104359638838,0.14601398601398602,0.0,0.9422369559630162,0.9288900915229352,0.7253250323815852,0.7626294538794538,0.7142857142857143,0.6030247705688175
13,colegioalphaunis,0.7280229247148013,0.23985152048731737,0.24967032967032968,0.8107926826361053,0.7963491145631096,1.0,0.46208676685337063,0.6246856318284889,0.5,0.6012732189726137
14,colegiobilac,0.6975875581680138,0.3026697758530434,0.25326495726495724,0.8316660528651056,0.9509221624829567,0.8292380840931415,0.2178267418096816,0.7947163439290847,0.5,0.5975435196073317
15,stellamarisjuveve,0.3996451507342414,0.36596392709275216,0.37948717948717947,0.9193355221778048,0.8024518570735698,1.0,0.40411264307055106,0.8543490178240817,0.21052631578947367,0.592874623694406
16,nucleocriativo,0.24119810825013138,0.30059313931202764,0.2351888111888112,0.7301894491551716,0.8243732973816947,0.8452914477031918,0.22632808469596036,0.9152029343205815,1.0,0.5909294746675078
17,colegiobatistaindependente,0.7969995019920318,0.29568996970129596,0.2578233618233618,0.4480673061707357,0.9667117339606435,0.45683616085754897,0.6524353738709205,0.720150785594334,0.6666666666666666,0.5845978734041711
18,isem,0.7422822635223073,0.30858448171540065,0.12260805860805861,0.0,0.9684790268397795,1.0,0.7012362459457978,0.8466692772386673,0.5,0.5766510393188901
19,mariliamattoso,0.6000398231015909,0.4732784466758673,0.6696153846153846,0.0,0.9426360770437694,0.7077274791007697,0.6179553572562124,0.877506723158897,0.2608695652173913,0.5721809840188758
20,spdacruz,0.9794797474430454,0.20086690746350414,0.14408791208791208,0.18227886533592455,0.8380885330118908,1.0,0.5065761857113315,0.9204121828821905,0.3333333333333333,0.5672359630299035
21,elitecuritibaemilianoperneta,0.5282480393611799,0.37690953219435586,0.812,0.941549617883394,0.3933228649558691,0.7626578900265973,0.22590668457648552,0.7729166666666668,0.2857142857142857,0.5665806201532039
22,aescobjetivo,0.4883404230394705,0.3972302860134203,0.4027794871794872,0.7398424651168398,0.36347856950549523,1.0,0.448226304955211,0.6206349851780053,0.631578947368421,0.5657901631507056
23,colegioiguatemy,0.49612285492734565,0.1826012468471898,0.14577435897435898,0.9036748157503453,0.5243623236562502,0.9523410367929087,0.49845815969839563,0.7193714008729489,0.6666666666666666,0.56548587379849
24,colegiointegral,0.8768460154137414,0.12204349688288202,0.17362841880341878,0.7212625703696769,0.9754775301423001,1.0,0.1965282226116369,0.49629021670509393,0.5192307692307693,0.5645896933510577
25,universobarcarena,0.4928273241045232,0.4030838052634084,0.3553504273504274,0.7502900532914252,0.9967022149195237,1.0,0.27944297856591876,0.3855491350099673,0.4090909090909091,0.5635929830662336
26,magister,0.7392458842272969,0.06995669347546757,0.08256410256410256,0.9180798684758845,0.8407175970184937,1.0,0.37584938281532704,0.7138888888888889,0.29411764705882354,0.5593800071693649
